231TH    235U A DECAY (7.04E+8 Y)      2005GA36,2018MA03,1975VA1122NDS    202210
231TH  H TYP=FUL$AUT=Balraj Singh, Jagdish K. Tuli, and Edgardo Browne$
231TH2 H CIT=NDS 185, 560 (2022)$CUT=31-Aug-2022$
231TH c  2018Ma03: measurement of absolute photon intensities in the range of
231TH2c  31-410 keV at four laboratories: 32 |g rays at JRC, Geel; eight |g rays
231TH3c  at CIEMAT, Madrid; six |g rays each at ENEA, Rome and at CMI,
231TH4c  Praha. Recommended values of I|g/100 decays given for 32 |g rays,
231TH5c  based on experimental data from all the four labs.
231TH c  2017Le03, 2021LeZZ: measurement of relative and absolute photon
231TH2c  intensities of Th x-rays, and 23 |g rays in the range 72-238 keV at
231TH3c  CEA-LNHB-Saclay. Corrected relative-intensity data received
231TH4c  March 5, 2021 from the first author of 2017Le03 (M.-C. L~epy as a
231TH5c  private communication 2021LeZZ, as the evaluators enquired about
231TH6c  some issues with the published values).
231TH c  2006Al28: measurement of absolute gamma-ray intensities of six |g rays
231TH2c  from 143 to 231 keV.
231TH c  2005Ga36: measurement of energies and absolute intensities of 13 |a
231TH2c  groups using a silicon-implanted detector and enriched uranium at
231TH3c  CIEMAT, Madrid in the frame of the EUROMET 591 cooperation project,
231TH4c  with energies measured relative to E|a values of prominent |a groups
231TH5c  in the decays of {+234}U and {+236}U decay.
231TH c  2004Da24: measurement of energies and intensities of 15 |a groups using
231TH2c  {+235}U mass-separated source and a Passivated Implanted Planar Silicon
231TH3c  (PIPS) detector at Orsay. Monte Carlo simulations
231TH c  1999Yu01: measured |a|g-coin and |g|g-coin involving the following |g
231TH2c  rays: 143.7, 163.3, 182.7, 185.7, 202.1 and 205.3 keV, and the |a
231TH3c  transitions to the 0, 41.9, 96.1, 185.7, 205.3, 236.9, 277.8 and
231TH4c  387.8 keV levels. Measured relative |g|g-coin intensities, and
231TH5c  extracted |g-branching ratios
231TH c  1999Ch12: measurement of absolute intensity of 185.7|g
231TH c  1996Ru11: measurement of absolute intensities of Th x rays and eight
231TH2c  |g rays in the range of 109 to 205 keV at CEA-Saclay.
231TH c  1992Li05: measurement of absolute intensities of eight |g rays in the
231TH2c  range of 109 to 205 keV using highly enriched {+235}U source at BNL.
231TH c  1984He12: measurement of absolute intensities of five |g rays, and
231TH2c  precise energies of six |g rays at Idaho Falls. Note that 1974HeYW,
231TH3c  1971KrZH, 1971Cl03 are from the same lab as 1984He12
