# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.787E+01  6.082E+00    4380 A      6135 A      4573 A   
  11.00 keV   6.097E+01  6.044E+00    4774 A      6516 A      4868 A   
  12.00 keV   6.396E+01  6.002E+00    5167 A      6881 A      5152 A   
  13.00 keV   6.687E+01  5.955E+00    5559 A      7234 A      5428 A   
  14.00 keV   6.968E+01  5.906E+00    5951 A      7575 A      5697 A   
  15.00 keV   7.243E+01  5.856E+00    6341 A      7905 A      5957 A   
  16.00 keV   7.510E+01  5.803E+00    6730 A      8225 A      6211 A   
  17.00 keV   7.772E+01  5.751E+00    7119 A      8535 A      6459 A   
  18.00 keV   8.028E+01  5.697E+00    7506 A      8836 A      6701 A   
  20.00 keV   8.525E+01  5.591E+00    8281 A      9410 A      7170 A   
  22.50 keV   9.123E+01  5.460E+00    9243 A      1.01 um     7729 A   
  25.00 keV   9.697E+01  5.333E+00    1.02 um     1.07 um     8260 A   
  27.50 keV   1.025E+02  5.211E+00    1.11 um     1.13 um     8766 A   
  30.00 keV   1.079E+02  5.093E+00    1.21 um     1.19 um     9250 A   
  32.50 keV   1.131E+02  4.980E+00    1.30 um     1.24 um     9715 A   
  35.00 keV   1.182E+02  4.873E+00    1.39 um     1.30 um     1.02 um  
  37.50 keV   1.232E+02  4.770E+00    1.49 um     1.35 um     1.06 um  
  40.00 keV   1.280E+02  4.672E+00    1.58 um     1.39 um     1.10 um  
  45.00 keV   1.374E+02  4.488E+00    1.76 um     1.48 um     1.18 um  
  50.00 keV   1.465E+02  4.320E+00    1.94 um     1.56 um     1.25 um  
  55.00 keV   1.552E+02  4.166E+00    2.11 um     1.64 um     1.32 um  
  60.00 keV   1.636E+02  4.024E+00    2.28 um     1.71 um     1.39 um  
  65.00 keV   1.717E+02  3.893E+00    2.45 um     1.77 um     1.45 um  
  70.00 keV   1.795E+02  3.772E+00    2.62 um     1.83 um     1.51 um  
  80.00 keV   1.945E+02  3.554E+00    2.94 um     1.94 um     1.62 um  
  90.00 keV   2.087E+02  3.364E+00    3.25 um     2.04 um     1.72 um  
 100.00 keV   2.221E+02  3.196E+00    3.56 um     2.13 um     1.82 um  
 110.00 keV   2.348E+02  3.047E+00    3.86 um     2.21 um     1.90 um  
 120.00 keV   2.468E+02  2.914E+00    4.15 um     2.29 um     1.99 um  
 130.00 keV   2.583E+02  2.793E+00    4.43 um     2.35 um     2.06 um  
 140.00 keV   2.692E+02  2.684E+00    4.71 um     2.42 um     2.13 um  
 150.00 keV   2.796E+02  2.584E+00    4.98 um     2.47 um     2.20 um  
 160.00 keV   2.895E+02  2.493E+00    5.25 um     2.53 um     2.26 um  
 170.00 keV   2.990E+02  2.408E+00    5.51 um     2.58 um     2.33 um  
 180.00 keV   3.081E+02  2.331E+00    5.76 um     2.62 um     2.38 um  
 200.00 keV   3.250E+02  2.191E+00    6.26 um     2.71 um     2.49 um  
 225.00 keV   3.442E+02  2.042E+00    6.87 um     2.81 um     2.62 um  
 250.00 keV   3.613E+02  1.915E+00    7.46 um     2.89 um     2.73 um  
 275.00 keV   3.765E+02  1.804E+00    8.03 um     2.97 um     2.84 um  
 300.00 keV   3.901E+02  1.707E+00    8.58 um     3.04 um     2.94 um  
 325.00 keV   4.022E+02  1.622E+00    9.13 um     3.10 um     3.03 um  
 350.00 keV   4.128E+02  1.546E+00    9.66 um     3.16 um     3.11 um  
 375.00 keV   4.222E+02  1.477E+00   10.19 um     3.21 um     3.20 um  
 400.00 keV   4.304E+02  1.415E+00   10.71 um     3.27 um     3.28 um  
 450.00 keV   4.438E+02  1.308E+00   11.73 um     3.36 um     3.42 um  
 500.00 keV   4.536E+02  1.217E+00   12.74 um     3.45 um     3.56 um  
 550.00 keV   4.606E+02  1.139E+00   13.74 um     3.52 um     3.69 um  
 600.00 keV   4.652E+02  1.072E+00   14.74 um     3.60 um     3.82 um  
 650.00 keV   4.679E+02  1.014E+00   15.73 um     3.67 um     3.94 um  
 700.00 keV   4.690E+02  9.616E-01   16.72 um     3.73 um     4.05 um  
 800.00 keV   4.677E+02  8.737E-01   18.72 um     3.86 um     4.28 um  
 900.00 keV   4.631E+02  8.021E-01   20.75 um     3.98 um     4.49 um  
   1.00 MeV   4.565E+02  7.424E-01   22.82 um     4.09 um     4.70 um  
   1.10 MeV   4.485E+02  6.918E-01   24.92 um     4.20 um     4.91 um  
