# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.689E+01  1.412E+01    3525 A      3951 A      3008 A   
  11.00 keV   9.166E+01  1.385E+01    3865 A      4206 A      3215 A   
  12.00 keV   9.624E+01  1.358E+01    4204 A      4451 A      3414 A   
  13.00 keV   1.007E+02  1.333E+01    4542 A      4687 A      3607 A   
  14.00 keV   1.049E+02  1.308E+01    4880 A      4913 A      3794 A   
  15.00 keV   1.091E+02  1.283E+01    5216 A      5132 A      3975 A   
  16.00 keV   1.131E+02  1.260E+01    5553 A      5342 A      4152 A   
  17.00 keV   1.170E+02  1.238E+01    5888 A      5546 A      4324 A   
  18.00 keV   1.209E+02  1.216E+01    6222 A      5743 A      4492 A   
  20.00 keV   1.283E+02  1.175E+01    6889 A      6116 A      4817 A   
  22.50 keV   1.371E+02  1.129E+01    7716 A      6552 A      5202 A   
  25.00 keV   1.454E+02  1.086E+01    8535 A      6960 A      5567 A   
  27.50 keV   1.534E+02  1.046E+01    9346 A      7342 A      5914 A   
  30.00 keV   1.611E+02  1.010E+01    1.01 um     7701 A      6245 A   
  32.50 keV   1.685E+02  9.771E+00    1.09 um     8039 A      6561 A   
  35.00 keV   1.756E+02  9.463E+00    1.17 um     8359 A      6864 A   
  37.50 keV   1.825E+02  9.177E+00    1.25 um     8661 A      7155 A   
  40.00 keV   1.892E+02  8.911E+00    1.33 um     8948 A      7434 A   
  45.00 keV   2.020E+02  8.430E+00    1.48 um     9479 A      7965 A   
  50.00 keV   2.141E+02  8.006E+00    1.63 um     9964 A      8460 A   
  55.00 keV   2.256E+02  7.629E+00    1.77 um     1.04 um     8924 A   
  60.00 keV   2.366E+02  7.292E+00    1.92 um     1.08 um     9361 A   
  65.00 keV   2.471E+02  6.988E+00    2.06 um     1.12 um     9773 A   
  70.00 keV   2.571E+02  6.713E+00    2.19 um     1.16 um     1.02 um  
  80.00 keV   2.761E+02  6.231E+00    2.46 um     1.22 um     1.09 um  
  90.00 keV   2.938E+02  5.824E+00    2.72 um     1.28 um     1.16 um  
 100.00 keV   3.103E+02  5.474E+00    2.97 um     1.33 um     1.22 um  
 110.00 keV   3.257E+02  5.169E+00    3.22 um     1.37 um     1.27 um  
 120.00 keV   3.403E+02  4.901E+00    3.46 um     1.41 um     1.32 um  
 130.00 keV   3.540E+02  4.664E+00    3.69 um     1.45 um     1.37 um  
 140.00 keV   3.670E+02  4.451E+00    3.92 um     1.48 um     1.42 um  
 150.00 keV   3.793E+02  4.260E+00    4.14 um     1.52 um     1.46 um  
 160.00 keV   3.910E+02  4.086E+00    4.36 um     1.55 um     1.50 um  
 170.00 keV   4.021E+02  3.928E+00    4.57 um     1.57 um     1.54 um  
 180.00 keV   4.127E+02  3.784E+00    4.78 um     1.60 um     1.58 um  
 200.00 keV   4.323E+02  3.528E+00    5.19 um     1.65 um     1.65 um  
 225.00 keV   4.543E+02  3.259E+00    5.68 um     1.70 um     1.73 um  
 250.00 keV   4.740E+02  3.032E+00    6.16 um     1.75 um     1.80 um  
 275.00 keV   4.914E+02  2.838E+00    6.63 um     1.79 um     1.87 um  
 300.00 keV   5.070E+02  2.671E+00    7.08 um     1.82 um     1.93 um  
 325.00 keV   5.210E+02  2.524E+00    7.53 um     1.86 um     1.99 um  
 350.00 keV   5.334E+02  2.394E+00    7.96 um     1.89 um     2.04 um  
 375.00 keV   5.445E+02  2.278E+00    8.39 um     1.92 um     2.09 um  
 400.00 keV   5.544E+02  2.175E+00    8.81 um     1.95 um     2.14 um  
 450.00 keV   5.710E+02  1.996E+00    9.65 um     2.00 um     2.23 um  
 500.00 keV   5.840E+02  1.847E+00   10.46 um     2.05 um     2.32 um  
 550.00 keV   5.940E+02  1.721E+00   11.27 um     2.09 um     2.40 um  
 600.00 keV   6.016E+02  1.612E+00   12.06 um     2.13 um     2.47 um  
 650.00 keV   6.071E+02  1.518E+00   12.85 um     2.16 um     2.54 um  
 700.00 keV   6.108E+02  1.435E+00   13.64 um     2.20 um     2.61 um  
 800.00 keV   6.142E+02  1.296E+00   15.21 um     2.27 um     2.74 um  
 900.00 keV   6.135E+02  1.184E+00   16.79 um     2.33 um     2.86 um  
   1.00 MeV   6.099E+02  1.091E+00   18.37 um     2.39 um     2.98 um  
   1.10 MeV   6.042E+02  1.013E+00   19.98 um     2.45 um     3.09 um  
   1.20 MeV   5.971E+02  9.462E-01   21.60 um     2.51 um     3.21 um  
   1.30 MeV   5.891E+02  8.884E-01   23.24 um     2.56 um     3.32 um  
   1.40 MeV   5.804E+02  8.378E-01   24.92 um     2.62 um     3.42 um  
   1.50 MeV   5.713E+02  7.931E-01   26.62 um     2.67 um     3.53 um  
   1.60 MeV   5.621E+02  7.533E-01   28.35 um     2.72 um     3.64 um  
   1.70 MeV   5.527E+02  7.177E-01   30.11 um     2.77 um     3.75 um  
   1.80 MeV   5.434E+02  6.855E-01   31.90 um     2.83 um     3.86 um  
   2.00 MeV   5.250E+02  6.298E-01   35.58 um     2.95 um     4.08 um  
   2.25 MeV   5.030E+02  5.725E-01   40.38 um     3.13 um     4.35 um  
   2.50 MeV   4.824E+02  5.255E-01   45.38 um     3.31 um     4.64 um  
   2.75 MeV   4.631E+02  4.862E-01   50.60 um     3.49 um     4.93 um  
   3.00 MeV   4.453E+02  4.527E-01   56.04 um     3.67 um     5.23 um  
   3.25 MeV   4.288E+02  4.239E-01   61.69 um     3.86 um     5.53 um  
   3.50 MeV   4.135E+02  3.987E-01   67.56 um     4.05 um     5.85 um  
   3.75 MeV   3.993E+02  3.766E-01   73.65 um     4.25 um     6.18 um  
   4.00 MeV   3.861E+02  3.570E-01   79.95 um     4.45 um     6.51 um  
   4.50 MeV   3.624E+02  3.237E-01   93.19 um     5.04 um     7.21 um  
   5.00 MeV   3.417E+02  2.964E-01  107.27 um     5.64 um     7.95 um  
   5.50 MeV   3.236E+02  2.737E-01  122.18 um     6.24 um     8.72 um  
   6.00 MeV   3.075E+02  2.544E-01  137.90 um     6.85 um     9.53 um  
   6.50 MeV   2.931E+02  2.378E-01  154.42 um     7.47 um    10.38 um  
   7.00 MeV   2.802E+02  2.234E-01  171.73 um     8.10 um    11.27 um  
   8.00 MeV   2.580E+02  1.995E-01  208.65 um    10.09 um    13.14 um  
   9.00 MeV   2.417E+02  1.805E-01  248.41 um    12.00 um    15.14 um  
  10.00 MeV   2.264E+02  1.650E-01  290.87 um    13.89 um    17.26 um  
