# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.557E+02  4.326E+01    2383 A      1311 A      1098 A   
  11.00 keV   2.701E+02  4.138E+01    2605 A      1385 A      1171 A   
  12.00 keV   2.838E+02  3.968E+01    2823 A      1454 A      1240 A   
  13.00 keV   2.971E+02  3.814E+01    3037 A      1518 A      1305 A   
  14.00 keV   3.100E+02  3.673E+01    3248 A      1578 A      1368 A   
  15.00 keV   3.224E+02  3.544E+01    3455 A      1634 A      1427 A   
  16.00 keV   3.345E+02  3.425E+01    3659 A      1687 A      1484 A   
  17.00 keV   3.462E+02  3.315E+01    3860 A      1737 A      1539 A   
  18.00 keV   3.576E+02  3.213E+01    4057 A      1784 A      1591 A   
  20.00 keV   3.794E+02  3.030E+01    4444 A      1872 A      1690 A   
  22.50 keV   4.053E+02  2.832E+01    4912 A      1969 A      1804 A   
  25.00 keV   4.297E+02  2.662E+01    5365 A      2056 A      1908 A   
  27.50 keV   4.528E+02  2.515E+01    5804 A      2135 A      2004 A   
  30.00 keV   4.748E+02  2.385E+01    6229 A      2205 A      2094 A   
  32.50 keV   4.957E+02  2.269E+01    6644 A      2270 A      2177 A   
  35.00 keV   5.158E+02  2.166E+01    7047 A      2329 A      2255 A   
  37.50 keV   5.350E+02  2.073E+01    7441 A      2383 A      2328 A   
  40.00 keV   5.534E+02  1.989E+01    7825 A      2434 A      2397 A   
  45.00 keV   5.883E+02  1.842E+01    8569 A      2525 A      2524 A   
  50.00 keV   6.208E+02  1.718E+01    9284 A      2604 A      2638 A   
  55.00 keV   6.512E+02  1.611E+01    9972 A      2675 A      2743 A   
  60.00 keV   6.799E+02  1.519E+01    1.06 um     2738 A      2839 A   
  65.00 keV   7.070E+02  1.437E+01    1.13 um     2795 A      2927 A   
  70.00 keV   7.327E+02  1.365E+01    1.19 um     2846 A      3010 A   
  80.00 keV   7.804E+02  1.243E+01    1.31 um     2939 A      3159 A   
  90.00 keV   8.239E+02  1.143E+01    1.43 um     3018 A      3290 A   
 100.00 keV   8.637E+02  1.060E+01    1.54 um     3087 A      3408 A   
 110.00 keV   9.004E+02  9.887E+00    1.64 um     3147 A      3515 A   
 120.00 keV   9.342E+02  9.276E+00    1.75 um     3201 A      3613 A   
 130.00 keV   9.654E+02  8.744E+00    1.85 um     3250 A      3703 A   
 140.00 keV   9.944E+02  8.275E+00    1.94 um     3294 A      3787 A   
 150.00 keV   1.021E+03  7.859E+00    2.04 um     3335 A      3865 A   
 160.00 keV   1.046E+03  7.487E+00    2.13 um     3372 A      3938 A   
 170.00 keV   1.069E+03  7.152E+00    2.22 um     3407 A      4006 A   
 180.00 keV   1.091E+03  6.849E+00    2.31 um     3440 A      4072 A   
 200.00 keV   1.130E+03  6.320E+00    2.48 um     3503 A      4192 A   
 225.00 keV   1.171E+03  5.773E+00    2.70 um     3575 A      4329 A   
 250.00 keV   1.206E+03  5.321E+00    2.90 um     3639 A      4452 A   
 275.00 keV   1.234E+03  4.940E+00    3.10 um     3697 A      4566 A   
 300.00 keV   1.258E+03  4.614E+00    3.30 um     3750 A      4671 A   
 325.00 keV   1.278E+03  4.333E+00    3.49 um     3799 A      4769 A   
 350.00 keV   1.294E+03  4.086E+00    3.68 um     3845 A      4862 A   
 375.00 keV   1.308E+03  3.868E+00    3.87 um     3888 A      4950 A   
 400.00 keV   1.318E+03  3.674E+00    4.06 um     3929 A      5034 A   
 450.00 keV   1.332E+03  3.344E+00    4.43 um     4023 A      5193 A   
 500.00 keV   1.339E+03  3.072E+00    4.80 um     4111 A      5341 A   
 550.00 keV   1.341E+03  2.844E+00    5.17 um     4194 A      5482 A   
 600.00 keV   1.338E+03  2.651E+00    5.54 um     4273 A      5617 A   
 650.00 keV   1.332E+03  2.483E+00    5.91 um     4350 A      5746 A   
 700.00 keV   1.324E+03  2.337E+00    6.28 um     4425 A      5872 A   
 800.00 keV   1.302E+03  2.095E+00    7.04 um     4632 A      6116 A   
 900.00 keV   1.276E+03  1.901E+00    7.81 um     4834 A      6353 A   
   1.00 MeV   1.248E+03  1.742E+00    8.59 um     5033 A      6585 A   
   1.10 MeV   1.219E+03  1.609E+00    9.40 um     5232 A      6815 A   
   1.20 MeV   1.190E+03  1.497E+00   10.23 um     5430 A      7045 A   
   1.30 MeV   1.161E+03  1.400E+00   11.07 um     5629 A      7276 A   
