# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.571E+02  3.138E+01    2961 A      2084 A      1684 A   
  11.00 keV   1.649E+02  3.018E+01    3256 A      2217 A      1804 A   
  12.00 keV   1.725E+02  2.908E+01    3548 A      2343 A      1920 A   
  13.00 keV   1.798E+02  2.807E+01    3839 A      2463 A      2032 A   
  14.00 keV   1.870E+02  2.714E+01    4128 A      2577 A      2140 A   
  15.00 keV   1.940E+02  2.628E+01    4415 A      2686 A      2245 A   
  16.00 keV   2.008E+02  2.549E+01    4699 A      2790 A      2345 A   
  17.00 keV   2.075E+02  2.474E+01    4980 A      2889 A      2443 A   
  18.00 keV   2.142E+02  2.405E+01    5259 A      2983 A      2538 A   
  20.00 keV   2.271E+02  2.279E+01    5809 A      3160 A      2718 A   
  22.50 keV   2.430E+02  2.142E+01    6481 A      3362 A      2929 A   
  25.00 keV   2.585E+02  2.023E+01    7136 A      3544 A      3125 A   
  27.50 keV   2.739E+02  1.919E+01    7773 A      3710 A      3307 A   
  30.00 keV   2.890E+02  1.826E+01    8393 A      3861 A      3477 A   
  32.50 keV   3.041E+02  1.743E+01    8996 A      3999 A      3635 A   
  35.00 keV   3.190E+02  1.669E+01    9583 A      4126 A      3784 A   
  37.50 keV   3.340E+02  1.601E+01    1.02 um     4243 A      3924 A   
  40.00 keV   3.489E+02  1.540E+01    1.07 um     4350 A      4055 A   
  45.00 keV   3.785E+02  1.432E+01    1.18 um     4542 A      4296 A   
  50.00 keV   4.080E+02  1.340E+01    1.28 um     4708 A      4510 A   
  55.00 keV   4.373E+02  1.261E+01    1.38 um     4853 A      4703 A   
  60.00 keV   4.661E+02  1.191E+01    1.47 um     4979 A      4877 A   
  65.00 keV   4.943E+02  1.130E+01    1.55 um     5091 A      5035 A   
  70.00 keV   5.217E+02  1.076E+01    1.64 um     5191 A      5179 A   
  80.00 keV   5.732E+02  9.833E+00    1.80 um     5363 A      5433 A   
  90.00 keV   6.192E+02  9.070E+00    1.94 um     5505 A      5651 A   
 100.00 keV   6.589E+02  8.430E+00    2.08 um     5625 A      5843 A   
 110.00 keV   6.925E+02  7.884E+00    2.22 um     5729 A      6013 A   
 120.00 keV   7.210E+02  7.411E+00    2.35 um     5821 A      6168 A   
 130.00 keV   7.459E+02  6.999E+00    2.47 um     5904 A      6310 A   
 140.00 keV   7.685E+02  6.634E+00    2.60 um     5978 A      6442 A   
 150.00 keV   7.900E+02  6.310E+00    2.72 um     6046 A      6564 A   
 160.00 keV   8.113E+02  6.019E+00    2.83 um     6108 A      6678 A   
 170.00 keV   8.327E+02  5.757E+00    2.95 um     6166 A      6785 A   
 180.00 keV   8.545E+02  5.519E+00    3.06 um     6219 A      6886 A   
 200.00 keV   8.992E+02  5.103E+00    3.28 um     6317 A      7071 A   
 225.00 keV   9.558E+02  4.671E+00    3.53 um     6424 A      7275 A   
 250.00 keV   1.011E+03  4.313E+00    3.78 um     6515 A      7454 A   
 275.00 keV   1.062E+03  4.010E+00    4.01 um     6594 A      7613 A   
 300.00 keV   1.108E+03  3.751E+00    4.24 um     6663 A      7757 A   
 325.00 keV   1.149E+03  3.527E+00    4.45 um     6724 A      7887 A   
 350.00 keV   1.184E+03  3.330E+00    4.66 um     6779 A      8007 A   
 375.00 keV   1.214E+03  3.156E+00    4.86 um     6830 A      8118 A   
 400.00 keV   1.239E+03  3.000E+00    5.06 um     6877 A      8221 A   
 450.00 keV   1.275E+03  2.735E+00    5.45 um     6971 A      8411 A   
 500.00 keV   1.297E+03  2.516E+00    5.83 um     7056 A      8584 A   
 550.00 keV   1.308E+03  2.332E+00    6.21 um     7134 A      8743 A   
 600.00 keV   1.310E+03  2.176E+00    6.59 um     7207 A      8893 A   
 650.00 keV   1.306E+03  2.040E+00    6.97 um     7277 A      9036 A   
 700.00 keV   1.297E+03  1.922E+00    7.35 um     7344 A      9174 A   
 800.00 keV   1.271E+03  1.725E+00    8.12 um     7512 A      9438 A   
 900.00 keV   1.238E+03  1.568E+00    8.91 um     7678 A      9692 A   
   1.00 MeV   1.202E+03  1.438E+00    9.72 um     7843 A      9942 A   
   1.10 MeV   1.166E+03  1.330E+00   10.56 um     8010 A      1.02 um  
   1.20 MeV   1.131E+03  1.238E+00   11.42 um     8180 A      1.04 um  
   1.30 MeV   1.097E+03  1.159E+00   12.31 um     8353 A      1.07 um  
   1.40 MeV   1.064E+03  1.090E+00   13.23 um     8531 A      1.09 um  
   1.50 MeV   1.033E+03  1.029E+00   14.18 um     8714 A      1.12 um  
   1.60 MeV   1.003E+03  9.752E-01   15.16 um     8901 A      1.15 um  
   1.70 MeV   9.756E+02  9.271E-01   16.16 um     9094 A      1.17 um  
   1.80 MeV   9.493E+02  8.839E-01   17.20 um     9293 A      1.20 um  
   2.00 MeV   9.008E+02  8.092E-01   19.35 um     9940 A      1.26 um  
   2.25 MeV   8.474E+02  7.328E-01   22.20 um     1.09 um     1.33 um  
   2.50 MeV   8.006E+02  6.705E-01   25.22 um     1.19 um     1.42 um  
   2.75 MeV   7.592E+02  6.185E-01   28.42 um     1.30 um     1.50 um  
   3.00 MeV   7.225E+02  5.745E-01   31.78 um     1.40 um     1.59 um  
   3.25 MeV   6.896E+02  5.367E-01   35.31 um     1.51 um     1.69 um  
   3.50 MeV   6.600E+02  5.038E-01   39.01 um     1.62 um     1.79 um  
   3.75 MeV   6.332E+02  4.750E-01   42.86 um     1.73 um     1.89 um  
   4.00 MeV   6.088E+02  4.495E-01   46.88 um     1.85 um     2.00 um  
   4.50 MeV   5.660E+02  4.063E-01   55.37 um     2.25 um     2.23 um  
   5.00 MeV   5.296E+02  3.711E-01   64.48 um     2.64 um     2.48 um  
   5.50 MeV   4.982E+02  3.419E-01   74.19 um     3.02 um     2.75 um  
   6.00 MeV   4.709E+02  3.171E-01   84.49 um     3.40 um     3.04 um  
   6.50 MeV   4.468E+02  2.959E-01   95.36 um     3.78 um     3.34 um  
   7.00 MeV   4.254E+02  2.775E-01  106.80 um     4.17 um     3.65 um  
   8.00 MeV   3.890E+02  2.471E-01  131.33 um     5.52 um     4.33 um  
   9.00 MeV   3.620E+02  2.231E-01  157.92 um     6.77 um     5.05 um  
  10.00 MeV   3.361E+02  2.035E-01  186.53 um     7.99 um     5.83 um  
