# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.215E+02  1.948E+01    3187 A      2929 A      2282 A   
  11.00 keV   1.281E+02  1.896E+01    3494 A      3114 A      2437 A   
  12.00 keV   1.345E+02  1.847E+01    3800 A      3289 A      2587 A   
  13.00 keV   1.408E+02  1.801E+01    4105 A      3457 A      2732 A   
  14.00 keV   1.468E+02  1.757E+01    4407 A      3617 A      2871 A   
  15.00 keV   1.527E+02  1.715E+01    4707 A      3770 A      3006 A   
  16.00 keV   1.585E+02  1.676E+01    5006 A      3917 A      3137 A   
  17.00 keV   1.642E+02  1.638E+01    5302 A      4058 A      3263 A   
  18.00 keV   1.697E+02  1.603E+01    5596 A      4193 A      3386 A   
  20.00 keV   1.804E+02  1.537E+01    6178 A      4447 A      3621 A   
  22.50 keV   1.933E+02  1.463E+01    6894 A      4739 A      3898 A   
  25.00 keV   2.057E+02  1.396E+01    7597 A      5006 A      4156 A   
  27.50 keV   2.175E+02  1.337E+01    8286 A      5253 A      4399 A   
  30.00 keV   2.290E+02  1.283E+01    8962 A      5482 A      4628 A   
  32.50 keV   2.401E+02  1.234E+01    9626 A      5694 A      4844 A   
  35.00 keV   2.508E+02  1.190E+01    1.03 um     5892 A      5049 A   
  37.50 keV   2.612E+02  1.149E+01    1.09 um     6077 A      5244 A   
  40.00 keV   2.713E+02  1.111E+01    1.15 um     6250 A      5430 A   
  45.00 keV   2.907E+02  1.043E+01    1.28 um     6566 A      5778 A   
  50.00 keV   3.090E+02  9.846E+00    1.40 um     6849 A      6097 A   
  55.00 keV   3.264E+02  9.332E+00    1.51 um     7103 A      6391 A   
  60.00 keV   3.430E+02  8.877E+00    1.62 um     7333 A      6665 A   
  65.00 keV   3.587E+02  8.471E+00    1.73 um     7544 A      6920 A   
  70.00 keV   3.738E+02  8.106E+00    1.84 um     7737 A      7159 A   
  80.00 keV   4.019E+02  7.475E+00    2.04 um     8080 A      7598 A   
  90.00 keV   4.275E+02  6.947E+00    2.24 um     8378 A      7991 A   
 100.00 keV   4.509E+02  6.498E+00    2.43 um     8640 A      8347 A   
 110.00 keV   4.724E+02  6.111E+00    2.62 um     8872 A      8674 A   
 120.00 keV   4.922E+02  5.773E+00    2.79 um     9082 A      8975 A   
 130.00 keV   5.103E+02  5.476E+00    2.97 um     9272 A      9256 A   
 140.00 keV   5.270E+02  5.211E+00    3.14 um     9446 A      9518 A   
 150.00 keV   5.424E+02  4.974E+00    3.30 um     9606 A      9765 A   
 160.00 keV   5.566E+02  4.760E+00    3.47 um     9755 A      9998 A   
 170.00 keV   5.698E+02  4.566E+00    3.62 um     9893 A      1.02 um  
 180.00 keV   5.820E+02  4.389E+00    3.78 um     1.00 um     1.04 um  
 200.00 keV   6.037E+02  4.078E+00    4.09 um     1.03 um     1.08 um  
 225.00 keV   6.268E+02  3.752E+00    4.46 um     1.05 um     1.13 um  
 250.00 keV   6.461E+02  3.480E+00    4.83 um     1.08 um     1.17 um  
 275.00 keV   6.623E+02  3.248E+00    5.19 um     1.10 um     1.21 um  
 300.00 keV   6.759E+02  3.048E+00    5.54 um     1.12 um     1.24 um  
 325.00 keV   6.873E+02  2.874E+00    5.88 um     1.14 um     1.28 um  
 350.00 keV   6.968E+02  2.721E+00    6.23 um     1.15 um     1.31 um  
 375.00 keV   7.047E+02  2.585E+00    6.57 um     1.17 um     1.34 um  
 400.00 keV   7.113E+02  2.463E+00    6.91 um     1.18 um     1.37 um  
 450.00 keV   7.210E+02  2.254E+00    7.57 um     1.21 um     1.43 um  
 500.00 keV   7.270E+02  2.081E+00    8.24 um     1.24 um     1.48 um  
 550.00 keV   7.301E+02  1.935E+00    8.90 um     1.27 um     1.53 um  
 600.00 keV   7.311E+02  1.809E+00    9.57 um     1.29 um     1.58 um  
 650.00 keV   7.303E+02  1.701E+00   10.23 um     1.31 um     1.62 um  
 700.00 keV   7.281E+02  1.606E+00   10.90 um     1.34 um     1.67 um  
 800.00 keV   7.209E+02  1.446E+00   12.25 um     1.39 um     1.75 um  
 900.00 keV   7.111E+02  1.318E+00   13.62 um     1.43 um     1.84 um  
   1.00 MeV   6.997E+02  1.212E+00   15.01 um     1.48 um     1.92 um  
   1.10 MeV   6.874E+02  1.124E+00   16.42 um     1.52 um     2.00 um  
   1.20 MeV   6.748E+02  1.048E+00   17.87 um     1.57 um     2.08 um  
   1.30 MeV   6.620E+02  9.828E-01   19.34 um     1.61 um     2.16 um  
   1.40 MeV   6.494E+02  9.257E-01   20.84 um     1.65 um     2.24 um  
   1.50 MeV   6.369E+02  8.754E-01   22.38 um     1.69 um     2.32 um  
