# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.346E+01  6.806E+00    4161 A      5630 A      4208 A   
  11.00 keV   6.659E+01  6.759E+00    4538 A      5981 A      4482 A   
  12.00 keV   6.960E+01  6.705E+00    4916 A      6321 A      4747 A   
  13.00 keV   7.248E+01  6.648E+00    5292 A      6649 A      5005 A   
  14.00 keV   7.527E+01  6.589E+00    5669 A      6967 A      5257 A   
  15.00 keV   7.796E+01  6.527E+00    6045 A      7276 A      5502 A   
  16.00 keV   8.057E+01  6.465E+00    6420 A      7577 A      5742 A   
  17.00 keV   8.311E+01  6.402E+00    6796 A      7869 A      5977 A   
  18.00 keV   8.558E+01  6.339E+00    7171 A      8154 A      6206 A   
  20.00 keV   9.034E+01  6.214E+00    7921 A      8699 A      6654 A   
  22.50 keV   9.600E+01  6.061E+00    8858 A      9347 A      7191 A   
  25.00 keV   1.014E+02  5.913E+00    9790 A      9962 A      7704 A   
  27.50 keV   1.065E+02  5.772E+00    1.07 um     1.05 um     8196 A   
  30.00 keV   1.115E+02  5.636E+00    1.16 um     1.11 um     8670 A   
  32.50 keV   1.162E+02  5.507E+00    1.26 um     1.16 um     9127 A   
  35.00 keV   1.208E+02  5.384E+00    1.35 um     1.21 um     9569 A   
  37.50 keV   1.253E+02  5.266E+00    1.44 um     1.26 um     9997 A   
  40.00 keV   1.296E+02  5.155E+00    1.53 um     1.31 um     1.04 um  
  45.00 keV   1.378E+02  4.946E+00    1.71 um     1.40 um     1.12 um  
  50.00 keV   1.457E+02  4.756E+00    1.89 um     1.48 um     1.20 um  
  55.00 keV   1.532E+02  4.582E+00    2.07 um     1.56 um     1.27 um  
  60.00 keV   1.603E+02  4.423E+00    2.24 um     1.63 um     1.34 um  
  65.00 keV   1.671E+02  4.275E+00    2.41 um     1.70 um     1.40 um  
  70.00 keV   1.736E+02  4.139E+00    2.58 um     1.76 um     1.46 um  
  80.00 keV   1.859E+02  3.896E+00    2.92 um     1.88 um     1.58 um  
  90.00 keV   1.972E+02  3.683E+00    3.25 um     1.99 um     1.69 um  
 100.00 keV   2.077E+02  3.497E+00    3.57 um     2.08 um     1.79 um  
 110.00 keV   2.173E+02  3.331E+00    3.89 um     2.17 um     1.89 um  
 120.00 keV   2.262E+02  3.183E+00    4.20 um     2.26 um     1.98 um  
 130.00 keV   2.345E+02  3.049E+00    4.51 um     2.34 um     2.07 um  
