# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.818E+01  7.223E+00    4391 A      6533 A      4849 A   
  11.00 keV   5.056E+01  7.161E+00    4806 A      6963 A      5180 A   
  12.00 keV   5.283E+01  7.095E+00    5223 A      7381 A      5502 A   
  13.00 keV   5.502E+01  7.026E+00    5640 A      7787 A      5817 A   
  14.00 keV   5.712E+01  6.954E+00    6059 A      8182 A      6125 A   
  15.00 keV   5.915E+01  6.882E+00    6479 A      8567 A      6426 A   
  16.00 keV   6.112E+01  6.809E+00    6900 A      8943 A      6721 A   
  17.00 keV   6.302E+01  6.736E+00    7323 A      9310 A      7011 A   
  18.00 keV   6.487E+01  6.663E+00    7746 A      9669 A      7296 A   
  20.00 keV   6.842E+01  6.520E+00    8598 A      1.04 um     7854 A   
  22.50 keV   7.261E+01  6.347E+00    9667 A      1.12 um     8527 A   
  25.00 keV   7.657E+01  6.181E+00    1.07 um     1.20 um     9174 A   
  27.50 keV   8.033E+01  6.023E+00    1.18 um     1.27 um     9800 A   
  30.00 keV   8.393E+01  5.873E+00    1.29 um     1.35 um     1.04 um  
  32.50 keV   8.737E+01  5.731E+00    1.40 um     1.42 um     1.10 um  
  35.00 keV   9.069E+01  5.596E+00    1.50 um     1.48 um     1.16 um  
  37.50 keV   9.390E+01  5.467E+00    1.61 um     1.55 um     1.21 um  
  40.00 keV   9.701E+01  5.346E+00    1.72 um     1.61 um     1.27 um  
  45.00 keV   1.030E+02  5.120E+00    1.94 um     1.73 um     1.37 um  
  50.00 keV   1.087E+02  4.915E+00    2.15 um     1.84 um     1.47 um  
  55.00 keV   1.141E+02  4.728E+00    2.36 um     1.95 um     1.57 um  
  60.00 keV   1.193E+02  4.557E+00    2.58 um     2.05 um     1.66 um  
  65.00 keV   1.244E+02  4.401E+00    2.79 um     2.14 um     1.75 um  
  70.00 keV   1.293E+02  4.256E+00    3.00 um     2.23 um     1.83 um  
  80.00 keV   1.387E+02  3.998E+00    3.41 um     2.40 um     1.99 um  
  90.00 keV   1.476E+02  3.774E+00    3.82 um     2.55 um     2.14 um  
 100.00 keV   1.561E+02  3.578E+00    4.22 um     2.68 um     2.28 um  
 110.00 keV   1.642E+02  3.404E+00    4.61 um     2.81 um     2.41 um  
 120.00 keV   1.720E+02  3.249E+00    4.99 um     2.93 um     2.54 um  
 130.00 keV   1.795E+02  3.110E+00    5.37 um     3.04 um     2.65 um  
 140.00 keV   1.868E+02  2.984E+00    5.75 um     3.14 um     2.77 um  
 150.00 keV   1.938E+02  2.869E+00    6.11 um     3.23 um     2.87 um  
