# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
# Energy      Elec.      Nuclear     Range     Straggling   Straggling
#----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.983E+02  6.108E+01    1787 A       549 A       508 A   
  11.00 keV   5.226E+02  5.770E+01    1939 A       573 A       537 A   
  12.00 keV   5.458E+02  5.472E+01    2087 A       595 A       565 A   
  13.00 keV   5.681E+02  5.208E+01    2231 A       615 A       591 A   
  14.00 keV   5.894E+02  4.971E+01    2372 A       633 A       615 A   
  15.00 keV   6.100E+02  4.758E+01    2510 A       651 A       638 A   
  16.00 keV   6.298E+02  4.565E+01    2645 A       667 A       660 A   
  17.00 keV   6.490E+02  4.390E+01    2777 A       682 A       681 A   
  18.00 keV   6.675E+02  4.229E+01    2907 A       696 A       701 A   
  20.00 keV   7.026E+02  3.944E+01    3159 A       722 A       737 A   
  22.50 keV   7.435E+02  3.644E+01    3462 A       750 A       779 A   
  25.00 keV   7.811E+02  3.391E+01    3754 A       775 A       817 A   
  27.50 keV   8.159E+02  3.175E+01    4035 A       798 A       852 A   
  30.00 keV   8.481E+02  2.988E+01    4308 A       818 A       883 A   
  32.50 keV   8.779E+02  2.824E+01    4573 A       836 A       913 A   
  35.00 keV   9.055E+02  2.679E+01    4831 A       853 A       940 A   
  37.50 keV   9.313E+02  2.550E+01    5083 A       868 A       966 A   
  40.00 keV   9.555E+02  2.434E+01    5330 A       882 A       990 A   
  45.00 keV   1.000E+03  2.234E+01    5809 A       909 A      1035 A   
  50.00 keV   1.041E+03  2.068E+01    6272 A       932 A      1075 A   
  55.00 keV   1.079E+03  1.927E+01    6720 A       953 A      1112 A   
  60.00 keV   1.116E+03  1.806E+01    7154 A       972 A      1145 A   
  65.00 keV   1.152E+03  1.701E+01    7576 A       989 A      1177 A   
  70.00 keV   1.186E+03  1.608E+01    7987 A      1005 A      1206 A   
  80.00 keV   1.252E+03  1.452E+01    8779 A      1035 A      1258 A   
  90.00 keV   1.315E+03  1.327E+01    9534 A      1061 A      1304 A   
 100.00 keV   1.373E+03  1.223E+01    1.03 um     1084 A      1345 A   
 110.00 keV   1.427E+03  1.135E+01    1.10 um     1104 A      1382 A   
 120.00 keV   1.478E+03  1.061E+01    1.16 um     1122 A      1416 A   
 130.00 keV   1.525E+03  9.959E+00    1.23 um     1138 A      1447 A   
 140.00 keV   1.569E+03  9.393E+00    1.29 um     1153 A      1476 A   
 150.00 keV   1.609E+03  8.892E+00    1.35 um     1167 A      1503 A   
 160.00 keV   1.647E+03  8.447E+00    1.41 um     1180 A      1528 A   
 170.00 keV   1.682E+03  8.048E+00    1.47 um     1192 A      1551 A   
 180.00 keV   1.715E+03  7.688E+00    1.53 um     1203 A      1573 A   
 200.00 keV   1.774E+03  7.063E+00    1.64 um     1228 A      1614 A   
 225.00 keV   1.837E+03  6.422E+00    1.78 um     1260 A      1660 A   
 250.00 keV   1.889E+03  5.895E+00    1.91 um     1288 A      1701 A   
 275.00 keV   1.933E+03  5.454E+00    2.04 um     1314 A      1739 A   
 300.00 keV   1.968E+03  5.079E+00    2.17 um     1337 A      1774 A   
 325.00 keV   1.997E+03  4.756E+00    2.30 um     1360 A      1807 A   
 350.00 keV   2.021E+03  4.474E+00    2.42 um     1381 A      1837 A   
 375.00 keV   2.039E+03  4.226E+00    2.54 um     1401 A      1866 A   
 400.00 keV   2.054E+03  4.006E+00    2.66 um     1420 A      1894 A   
 450.00 keV   2.072E+03  3.633E+00    2.90 um     1476 A      1946 A   
 500.00 keV   2.078E+03  3.327E+00    3.14 um     1529 A      1995 A   
 550.00 keV   2.076E+03  3.072E+00    3.38 um     1580 A      2041 A   
 600.00 keV   2.067E+03  2.856E+00    3.62 um     1629 A      2084 A   
 650.00 keV   2.052E+03  2.670E+00    3.87 um     1676 A      2127 A   
 700.00 keV   2.034E+03  2.508E+00    4.11 um     1723 A      2168 A   
 800.00 keV   1.990E+03  2.240E+00    4.61 um     1881 A      2248 A   
 900.00 keV   1.939E+03  2.027E+00    5.11 um     2033 A      2326 A   
   1.00 MeV   1.886E+03  1.853E+00    5.64 um     2181 A      2403 A   
   1.10 MeV   1.831E+03  1.708E+00    6.17 um     2328 A      2480 A   
   1.20 MeV   1.777E+03  1.586E+00    6.73 um     2474 A      2557 A   
   1.30 MeV   1.723E+03  1.480E+00    7.30 um     2619 A      2635 A   
   1.40 MeV   1.672E+03  1.389E+00    7.88 um     2766 A      2714 A   
   1.50 MeV   1.622E+03  1.309E+00    8.49 um     2913 A      2794 A   
   1.60 MeV   1.575E+03  1.238E+00    9.12 um     3062 A      2876 A   
   1.70 MeV   1.530E+03  1.175E+00    9.76 um     3212 A      2960 A   
   1.80 MeV   1.486E+03  1.118E+00   10.42 um     3363 A      3046 A   
   2.00 MeV   1.406E+03  1.021E+00   11.80 um     3923 A      3224 A   
   2.25 MeV   1.316E+03  9.217E-01   13.64 um     4743 A      3459 A   
   2.50 MeV   1.237E+03  8.410E-01   15.60 um     5531 A      3709 A   
   2.75 MeV   1.166E+03  7.739E-01   17.68 um     6303 A      3975 A   
   3.00 MeV   1.103E+03  7.173E-01   19.88 um     7071 A      4257 A   
   3.25 MeV   1.046E+03  6.688E-01   22.21 um     7839 A      4555 A   
   3.50 MeV   9.949E+02  6.268E-01   24.66 um     8612 A      4869 A   
   3.75 MeV   9.486E+02  5.900E-01   27.23 um     9392 A      5200 A   
   4.00 MeV   9.066E+02  5.575E-01   29.92 um     1.02 um     5547 A   
   4.50 MeV   8.332E+02  5.027E-01   35.67 um     1.31 um     6290 A   
   5.00 MeV   7.711E+02  4.581E-01   41.90 um     1.59 um     7097 A   
   5.50 MeV   7.179E+02  4.212E-01   48.62 um     1.86 um     7969 A   
   6.00 MeV   6.719E+02  3.900E-01   55.82 um     2.13 um     8903 A   
   6.50 MeV   6.316E+02  3.634E-01   63.49 um     2.40 um     9899 A   
   7.00 MeV   5.961E+02  3.403E-01   71.63 um     2.67 um     1.10 um  
   8.00 MeV   5.363E+02  3.023E-01   89.31 um     3.68 um     1.33 um  
