# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.529E+01  1.053E+01    3607 A      3915 A      2990 A   
  11.00 keV   9.924E+01  1.037E+01    3946 A      4161 A      3189 A   
  12.00 keV   1.036E+02  1.021E+01    4285 A      4398 A      3383 A   
  13.00 keV   1.085E+02  1.004E+01    4622 A      4626 A      3570 A   
  14.00 keV   1.136E+02  9.884E+00    4955 A      4845 A      3752 A   
  15.00 keV   1.188E+02  9.728E+00    5284 A      5054 A      3927 A   
  16.00 keV   1.240E+02  9.576E+00    5610 A      5254 A      4095 A   
  17.00 keV   1.291E+02  9.428E+00    5932 A      5446 A      4258 A   
  18.00 keV   1.341E+02  9.284E+00    6250 A      5630 A      4415 A   
  20.00 keV   1.438E+02  9.010E+00    6879 A      5975 A      4715 A   
  22.50 keV   1.553E+02  8.689E+00    7650 A      6371 A      5065 A   
  25.00 keV   1.662E+02  8.393E+00    8405 A      6734 A      5391 A   
  27.50 keV   1.766E+02  8.118E+00    9146 A      7071 A      5697 A   
  30.00 keV   1.866E+02  7.863E+00    9874 A      7382 A      5985 A   
  32.50 keV   1.962E+02  7.626E+00    1.06 um     7673 A      6258 A   
  35.00 keV   2.055E+02  7.405E+00    1.13 um     7945 A      6516 A   
  37.50 keV   2.145E+02  7.199E+00    1.20 um     8200 A      6763 A   
  40.00 keV   2.232E+02  7.005E+00    1.27 um     8440 A      6998 A   
  45.00 keV   2.400E+02  6.653E+00    1.40 um     8880 A      7439 A   
  50.00 keV   2.559E+02  6.340E+00    1.53 um     9276 A      7845 A   
  55.00 keV   2.710E+02  6.060E+00    1.66 um     9634 A      8222 A   
  60.00 keV   2.855E+02  5.807E+00    1.78 um     9962 A      8574 A   
  65.00 keV   2.994E+02  5.578E+00    1.90 um     1.03 um     8903 A   
  70.00 keV   3.128E+02  5.370E+00    2.02 um     1.05 um     9213 A   
  80.00 keV   3.380E+02  5.003E+00    2.24 um     1.10 um     9782 A   
  90.00 keV   3.615E+02  4.690E+00    2.46 um     1.15 um     1.03 um  
 100.00 keV   3.833E+02  4.420E+00    2.67 um     1.18 um     1.08 um  
 110.00 keV   4.038E+02  4.184E+00    2.87 um     1.22 um     1.12 um  
 120.00 keV   4.229E+02  3.975E+00    3.07 um     1.25 um     1.16 um  
 130.00 keV   4.409E+02  3.789E+00    3.26 um     1.28 um     1.20 um  
 140.00 keV   4.577E+02  3.623E+00    3.45 um     1.30 um     1.23 um  
 150.00 keV   4.735E+02  3.472E+00    3.63 um     1.33 um     1.26 um  
 160.00 keV   4.883E+02  3.335E+00    3.81 um     1.35 um     1.29 um  
 170.00 keV   5.023E+02  3.210E+00    3.98 um     1.37 um     1.32 um  
 180.00 keV   5.154E+02  3.095E+00    4.15 um     1.39 um     1.35 um  
 200.00 keV   5.393E+02  2.892E+00    4.48 um     1.42 um     1.40 um  
 225.00 keV   5.653E+02  2.677E+00    4.89 um     1.46 um     1.46 um  
 250.00 keV   5.875E+02  2.495E+00    5.28 um     1.49 um     1.51 um  
 275.00 keV   6.064E+02  2.340E+00    5.66 um     1.52 um     1.56 um  
 300.00 keV   6.225E+02  2.205E+00    6.03 um     1.55 um     1.61 um  
 325.00 keV   6.360E+02  2.086E+00    6.40 um     1.58 um     1.65 um  
 350.00 keV   6.474E+02  1.981E+00    6.76 um     1.60 um     1.69 um  
 375.00 keV   6.569E+02  1.887E+00    7.12 um     1.62 um     1.73 um  
 400.00 keV   6.646E+02  1.803E+00    7.47 um     1.64 um     1.77 um  
 450.00 keV   6.760E+02  1.657E+00    8.18 um     1.68 um     1.84 um  
 500.00 keV   6.828E+02  1.536E+00    8.88 um     1.72 um     1.91 um  
 550.00 keV   6.861E+02  1.433E+00    9.57 um     1.75 um     1.97 um  
 600.00 keV   6.866E+02  1.344E+00   10.27 um     1.78 um     2.03 um  
