# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.192E+02  6.086E+01    2044 A       594 A       556 A   
  11.00 keV   4.401E+02  5.736E+01    2223 A       621 A       590 A   
  12.00 keV   4.600E+02  5.430E+01    2397 A       646 A       622 A   
  13.00 keV   4.791E+02  5.159E+01    2567 A       669 A       652 A   
  14.00 keV   4.973E+02  4.917E+01    2733 A       691 A       681 A   
  15.00 keV   5.149E+02  4.700E+01    2895 A       710 A       708 A   
  16.00 keV   5.318E+02  4.503E+01    3054 A       729 A       733 A   
  17.00 keV   5.481E+02  4.325E+01    3210 A       746 A       757 A   
  18.00 keV   5.640E+02  4.162E+01    3363 A       762 A       780 A   
  20.00 keV   5.942E+02  3.874E+01    3660 A       792 A       823 A   
  22.50 keV   6.298E+02  3.572E+01    4017 A       824 A       871 A   
  25.00 keV   6.633E+02  3.318E+01    4360 A       853 A       915 A   
  27.50 keV   6.950E+02  3.102E+01    4690 A       878 A       955 A   
  30.00 keV   7.251E+02  2.916E+01    5009 A       901 A       992 A   
  32.50 keV   7.538E+02  2.752E+01    5318 A       922 A      1026 A   
  35.00 keV   7.813E+02  2.608E+01    5617 A       940 A      1057 A   
  37.50 keV   8.076E+02  2.480E+01    5909 A       957 A      1086 A   
  40.00 keV   8.329E+02  2.366E+01    6192 A       973 A      1114 A   
  45.00 keV   8.808E+02  2.168E+01    6739 A      1002 A      1163 A   
  50.00 keV   9.253E+02  2.004E+01    7262 A      1027 A      1208 A   
  55.00 keV   9.671E+02  1.865E+01    7764 A      1049 A      1247 A   
  60.00 keV   1.006E+03  1.746E+01    8248 A      1069 A      1284 A   
  65.00 keV   1.043E+03  1.643E+01    8715 A      1087 A      1317 A   
  70.00 keV   1.078E+03  1.552E+01    9169 A      1103 A      1348 A   
  80.00 keV   1.143E+03  1.400E+01    1.00 um     1134 A      1402 A   
  90.00 keV   1.201E+03  1.278E+01    1.09 um     1160 A      1450 A   
