# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.241E+01  6.724E+00    4227 A      5707 A      4267 A   
  11.00 keV   6.553E+01  6.674E+00    4612 A      6064 A      4545 A   
  12.00 keV   6.855E+01  6.618E+00    4997 A      6409 A      4815 A   
  13.00 keV   7.147E+01  6.559E+00    5381 A      6742 A      5077 A   
  14.00 keV   7.432E+01  6.497E+00    5764 A      7064 A      5333 A   
  15.00 keV   7.709E+01  6.435E+00    6146 A      7377 A      5581 A   
  16.00 keV   7.980E+01  6.371E+00    6528 A      7681 A      5824 A   
  17.00 keV   8.245E+01  6.307E+00    6910 A      7975 A      6060 A   
  18.00 keV   8.504E+01  6.243E+00    7290 A      8262 A      6292 A   
  20.00 keV   9.007E+01  6.116E+00    8050 A      8809 A      6742 A   
  22.50 keV   9.611E+01  5.962E+00    8996 A      9456 A      7279 A   
  25.00 keV   1.019E+02  5.813E+00    9936 A      1.01 um     7790 A   
  27.50 keV   1.075E+02  5.671E+00    1.09 um     1.06 um     8279 A   
  30.00 keV   1.129E+02  5.535E+00    1.18 um     1.12 um     8747 A   
  32.50 keV   1.181E+02  5.405E+00    1.27 um     1.17 um     9196 A   
  35.00 keV   1.232E+02  5.282E+00    1.36 um     1.22 um     9629 A   
  37.50 keV   1.282E+02  5.165E+00    1.45 um     1.27 um     1.00 um  
  40.00 keV   1.330E+02  5.054E+00    1.54 um     1.31 um     1.04 um  
  45.00 keV   1.423E+02  4.846E+00    1.72 um     1.40 um     1.12 um  
  50.00 keV   1.511E+02  4.658E+00    1.90 um     1.48 um     1.19 um  
  55.00 keV   1.596E+02  4.485E+00    2.07 um     1.55 um     1.26 um  
  60.00 keV   1.678E+02  4.327E+00    2.24 um     1.62 um     1.33 um  
  65.00 keV   1.756E+02  4.181E+00    2.41 um     1.68 um     1.39 um  
  70.00 keV   1.832E+02  4.047E+00    2.57 um     1.74 um     1.45 um  
  80.00 keV   1.975E+02  3.806E+00    2.90 um     1.85 um     1.56 um  
  90.00 keV   2.109E+02  3.597E+00    3.21 um     1.95 um     1.66 um  
 100.00 keV   2.234E+02  3.413E+00    3.52 um     2.03 um     1.75 um  
 110.00 keV   2.351E+02  3.250E+00    3.82 um     2.11 um     1.84 um  
 120.00 keV   2.461E+02  3.104E+00    4.12 um     2.19 um     1.92 um  
 130.00 keV   2.564E+02  2.973E+00    4.40 um     2.25 um     1.99 um  
 140.00 keV   2.661E+02  2.855E+00    4.68 um     2.32 um     2.07 um  
 150.00 keV   2.752E+02  2.746E+00    4.96 um     2.37 um     2.14 um  
 160.00 keV   2.837E+02  2.647E+00    5.24 um     2.43 um     2.20 um  
 170.00 keV   2.917E+02  2.556E+00    5.50 um     2.48 um     2.27 um  
 180.00 keV   2.993E+02  2.472E+00    5.77 um     2.53 um     2.33 um  
 200.00 keV   3.131E+02  2.322E+00    6.29 um     2.62 um     2.44 um  
 225.00 keV   3.282E+02  2.162E+00    6.92 um     2.72 um     2.57 um  
 250.00 keV   3.412E+02  2.025E+00    7.54 um     2.81 um     2.69 um  
 275.00 keV   3.525E+02  1.906E+00    8.15 um     2.89 um     2.81 um  
 300.00 keV   3.622E+02  1.803E+00    8.75 um     2.97 um     2.91 um  
 325.00 keV   3.707E+02  1.711E+00    9.34 um     3.04 um     3.02 um  
 350.00 keV   3.780E+02  1.630E+00    9.92 um     3.10 um     3.11 um  
 375.00 keV   3.844E+02  1.557E+00   10.50 um     3.16 um     3.21 um  
 400.00 keV   3.899E+02  1.491E+00   11.07 um     3.22 um     3.29 um  
 450.00 keV   3.988E+02  1.376E+00   12.20 um     3.33 um     3.46 um  
