# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.810E+01  1.838E+01    3611 A      3877 A      2967 A   
  11.00 keV   8.199E+01  1.791E+01    3982 A      4150 A      3189 A   
  12.00 keV   8.573E+01  1.747E+01    4354 A      4414 A      3405 A   
  13.00 keV   8.936E+01  1.704E+01    4728 A      4669 A      3616 A   
  14.00 keV   9.287E+01  1.664E+01    5103 A      4915 A      3821 A   
  15.00 keV   9.629E+01  1.626E+01    5479 A      5154 A      4022 A   
  16.00 keV   9.962E+01  1.590E+01    5855 A      5386 A      4219 A   
  17.00 keV   1.029E+02  1.556E+01    6232 A      5611 A      4411 A   
  18.00 keV   1.061E+02  1.523E+01    6608 A      5829 A      4599 A   
  20.00 keV   1.123E+02  1.462E+01    7361 A      6244 A      4965 A   
  22.50 keV   1.197E+02  1.394E+01    8299 A      6731 A      5401 A   
  25.00 keV   1.269E+02  1.332E+01    9231 A      7189 A      5816 A   
  27.50 keV   1.339E+02  1.277E+01    1.02 um     7618 A      6211 A   
  30.00 keV   1.407E+02  1.227E+01    1.11 um     8021 A      6589 A   
  32.50 keV   1.474E+02  1.181E+01    1.20 um     8401 A      6950 A   
  35.00 keV   1.539E+02  1.139E+01    1.29 um     8759 A      7295 A   
  37.50 keV   1.603E+02  1.100E+01    1.38 um     9098 A      7627 A   
  40.00 keV   1.666E+02  1.065E+01    1.46 um     9418 A      7945 A   
  45.00 keV   1.790E+02  1.001E+01    1.64 um     1.00 um     8546 A   
  50.00 keV   1.910E+02  9.460E+00    1.80 um     1.05 um     9102 A   
  55.00 keV   2.028E+02  8.974E+00    1.97 um     1.10 um     9618 A   
  60.00 keV   2.144E+02  8.542E+00    2.13 um     1.15 um     1.01 um  
  65.00 keV   2.258E+02  8.157E+00    2.28 um     1.19 um     1.06 um  
  70.00 keV   2.371E+02  7.810E+00    2.43 um     1.22 um     1.10 um  
  80.00 keV   2.591E+02  7.209E+00    2.73 um     1.29 um     1.17 um  
  90.00 keV   2.806E+02  6.706E+00    3.00 um     1.35 um     1.24 um  
 100.00 keV   3.016E+02  6.277E+00    3.27 um     1.39 um     1.30 um  
 110.00 keV   3.220E+02  5.907E+00    3.52 um     1.44 um     1.36 um  
 120.00 keV   3.420E+02  5.584E+00    3.77 um     1.48 um     1.41 um  
 130.00 keV   3.614E+02  5.299E+00    4.00 um     1.51 um     1.46 um  
 140.00 keV   3.803E+02  5.045E+00    4.22 um     1.54 um     1.50 um  
 150.00 keV   3.986E+02  4.817E+00    4.44 um     1.57 um     1.54 um  
 160.00 keV   4.164E+02  4.611E+00    4.65 um     1.59 um     1.57 um  
 170.00 keV   4.336E+02  4.425E+00    4.85 um     1.61 um     1.61 um  
 180.00 keV   4.502E+02  4.255E+00    5.05 um     1.64 um     1.64 um  
 200.00 keV   4.816E+02  3.955E+00    5.43 um     1.67 um     1.70 um  
 225.00 keV   5.176E+02  3.641E+00    5.87 um     1.71 um     1.76 um  
 250.00 keV   5.500E+02  3.379E+00    6.30 um     1.74 um     1.81 um  
 275.00 keV   5.787E+02  3.155E+00    6.70 um     1.77 um     1.86 um  
 300.00 keV   6.041E+02  2.963E+00    7.09 um     1.80 um     1.91 um  
 325.00 keV   6.263E+02  2.795E+00    7.47 um     1.82 um     1.95 um  
 350.00 keV   6.455E+02  2.646E+00    7.84 um     1.84 um     1.98 um  
 375.00 keV   6.620E+02  2.515E+00    8.20 um     1.86 um     2.02 um  
 400.00 keV   6.761E+02  2.397E+00    8.55 um     1.88 um     2.05 um  
 450.00 keV   6.978E+02  2.194E+00    9.24 um     1.91 um     2.11 um  
 500.00 keV   7.124E+02  2.026E+00    9.92 um     1.94 um     2.17 um  
 550.00 keV   7.214E+02  1.885E+00   10.58 um     1.96 um     2.22 um  
 600.00 keV   7.261E+02  1.763E+00   11.25 um     1.99 um     2.27 um  
 650.00 keV   7.276E+02  1.658E+00   11.91 um     2.01 um     2.31 um  
 700.00 keV   7.265E+02  1.565E+00   12.58 um     2.03 um     2.36 um  
 800.00 keV   7.194E+02  1.410E+00   13.93 um     2.07 um     2.44 um  
 900.00 keV   7.081E+02  1.286E+00   15.29 um     2.11 um     2.52 um  
   1.00 MeV   6.949E+02  1.183E+00   16.69 um     2.15 um     2.60 um  
   1.10 MeV   6.809E+02  1.097E+00   18.11 um     2.19 um     2.68 um  
   1.20 MeV   6.668E+02  1.023E+00   19.57 um     2.23 um     2.76 um  
   1.30 MeV   6.530E+02  9.597E-01   21.06 um     2.27 um     2.83 um  
   1.40 MeV   6.396E+02  9.042E-01   22.58 um     2.30 um     2.91 um  
   1.50 MeV   6.268E+02  8.552E-01   24.13 um     2.34 um     2.99 um  
   1.60 MeV   6.146E+02  8.117E-01   25.72 um     2.38 um     3.06 um  
   1.70 MeV   6.029E+02  7.727E-01   27.34 um     2.42 um     3.14 um  
   1.80 MeV   5.917E+02  7.376E-01   29.00 um     2.45 um     3.22 um  
   2.00 MeV   5.707E+02  6.767E-01   32.40 um     2.55 um     3.38 um  
   2.25 MeV   5.468E+02  6.144E-01   36.82 um     2.69 um     3.58 um  
   2.50 MeV   5.251E+02  5.633E-01   41.44 um     2.84 um     3.79 um  
   2.75 MeV   5.054E+02  5.206E-01   46.24 um     2.99 um     4.01 um  
   3.00 MeV   4.874E+02  4.843E-01   51.24 um     3.14 um     4.24 um  
   3.25 MeV   4.708E+02  4.531E-01   56.41 um     3.29 um     4.47 um  
   3.50 MeV   4.557E+02  4.260E-01   61.76 um     3.44 um     4.70 um  
   3.75 MeV   4.418E+02  4.021E-01   67.29 um     3.60 um     4.95 um  
   4.00 MeV   4.290E+02  3.809E-01   72.99 um     3.77 um     5.20 um  
   4.50 MeV   4.062E+02  3.450E-01   84.88 um     4.26 um     5.72 um  
   5.00 MeV   3.865E+02  3.157E-01   97.42 um     4.76 um     6.26 um  
   5.50 MeV   3.694E+02  2.912E-01  110.57 um     5.25 um     6.82 um  
   6.00 MeV   3.542E+02  2.705E-01  124.31 um     5.74 um     7.41 um  
   6.50 MeV   3.408E+02  2.527E-01  138.61 um     6.24 um     8.01 um  
   7.00 MeV   3.288E+02  2.372E-01  153.46 um     6.73 um     8.64 um  
   8.00 MeV   3.081E+02  2.117E-01  184.72 um     8.32 um     9.93 um  
   9.00 MeV   2.829E+02  1.914E-01  218.42 um     9.87 um    11.31 um  
  10.00 MeV   2.612E+02  1.748E-01  255.04 um    11.43 um    12.79 um  
