# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.456E+02  6.612E+01    1821 A       628 A       567 A   
  11.00 keV   4.674E+02  6.260E+01    1981 A       659 A       602 A   
  12.00 keV   4.882E+02  5.948E+01    2138 A       686 A       635 A   
  13.00 keV   5.081E+02  5.670E+01    2291 A       712 A       666 A   
  14.00 keV   5.273E+02  5.421E+01    2442 A       736 A       695 A   
  15.00 keV   5.458E+02  5.196E+01    2589 A       758 A       723 A   
  16.00 keV   5.637E+02  4.991E+01    2733 A       779 A       750 A   
  17.00 keV   5.810E+02  4.804E+01    2875 A       798 A       775 A   
  18.00 keV   5.977E+02  4.633E+01    3014 A       817 A       799 A   
  20.00 keV   6.297E+02  4.329E+01    3286 A       850 A       845 A   
  22.50 keV   6.671E+02  4.007E+01    3613 A       888 A       897 A   
  25.00 keV   7.019E+02  3.736E+01    3927 A       921 A       944 A   
  27.50 keV   7.344E+02  3.503E+01    4232 A       950 A       987 A   
  30.00 keV   7.648E+02  3.301E+01    4527 A       977 A      1027 A   
  32.50 keV   7.930E+02  3.123E+01    4813 A      1001 A      1064 A   
  35.00 keV   8.194E+02  2.966E+01    5093 A      1023 A      1099 A   
  37.50 keV   8.440E+02  2.826E+01    5366 A      1043 A      1131 A   
  40.00 keV   8.670E+02  2.700E+01    5632 A      1062 A      1161 A   
  45.00 keV   9.086E+02  2.482E+01    6151 A      1097 A      1218 A   
  50.00 keV   9.455E+02  2.300E+01    6652 A      1127 A      1269 A   
  55.00 keV   9.789E+02  2.146E+01    7138 A      1155 A      1315 A   
  60.00 keV   1.010E+03  2.013E+01    7611 A      1180 A      1358 A   
  65.00 keV   1.039E+03  1.897E+01    8073 A      1202 A      1398 A   
  70.00 keV   1.067E+03  1.795E+01    8524 A      1223 A      1435 A   
  80.00 keV   1.120E+03  1.624E+01    9397 A      1263 A      1503 A   
  90.00 keV   1.172E+03  1.485E+01    1.02 um     1297 A      1564 A   
 100.00 keV   1.221E+03  1.370E+01    1.10 um     1327 A      1618 A   
 110.00 keV   1.267E+03  1.273E+01    1.18 um     1354 A      1667 A   
 120.00 keV   1.312E+03  1.190E+01    1.26 um     1378 A      1713 A   
 130.00 keV   1.353E+03  1.118E+01    1.33 um     1400 A      1754 A   
 140.00 keV   1.393E+03  1.055E+01    1.40 um     1420 A      1793 A   
 150.00 keV   1.430E+03  9.995E+00    1.47 um     1438 A      1829 A   
 160.00 keV   1.465E+03  9.499E+00    1.54 um     1455 A      1862 A   
 170.00 keV   1.498E+03  9.054E+00    1.60 um     1471 A      1894 A   
 180.00 keV   1.529E+03  8.652E+00    1.67 um     1486 A      1924 A   
 200.00 keV   1.585E+03  7.955E+00    1.80 um     1518 A      1979 A   
 225.00 keV   1.646E+03  7.239E+00    1.95 um     1556 A      2041 A   
 250.00 keV   1.697E+03  6.650E+00    2.10 um     1591 A      2097 A   
 275.00 keV   1.742E+03  6.156E+00    2.24 um     1622 A      2147 A   
 300.00 keV   1.779E+03  5.736E+00    2.38 um     1650 A      2194 A   
 325.00 keV   1.811E+03  5.373E+00    2.52 um     1677 A      2238 A   
 350.00 keV   1.837E+03  5.057E+00    2.65 um     1702 A      2279 A   
 375.00 keV   1.859E+03  4.779E+00    2.79 um     1725 A      2317 A   
 400.00 keV   1.878E+03  4.531E+00    2.92 um     1748 A      2354 A   
 450.00 keV   1.904E+03  4.112E+00    3.18 um     1809 A      2423 A   
 500.00 keV   1.920E+03  3.768E+00    3.44 um     1866 A      2486 A   
 550.00 keV   1.927E+03  3.480E+00    3.70 um     1920 A      2546 A   
 600.00 keV   1.928E+03  3.237E+00    3.96 um     1972 A      2603 A   
 650.00 keV   1.923E+03  3.027E+00    4.22 um     2022 A      2657 A   
 700.00 keV   1.914E+03  2.845E+00    4.48 um     2071 A      2710 A   
 800.00 keV   1.887E+03  2.542E+00    5.00 um     2228 A      2811 A   
 900.00 keV   1.852E+03  2.301E+00    5.54 um     2378 A      2908 A   
   1.00 MeV   1.812E+03  2.105E+00    6.08 um     2524 A      3003 A   
   1.10 MeV   1.770E+03  1.941E+00    6.64 um     2668 A      3096 A   
   1.20 MeV   1.727E+03  1.802E+00    7.21 um     2811 A      3189 A   
   1.30 MeV   1.684E+03  1.683E+00    7.79 um     2953 A      3282 A   
   1.40 MeV   1.641E+03  1.580E+00    8.39 um     3096 A      3376 A   
   1.50 MeV   1.599E+03  1.489E+00    9.01 um     3238 A      3470 A   
   1.60 MeV   1.558E+03  1.409E+00    9.64 um     3382 A      3566 A   
   1.70 MeV   1.519E+03  1.337E+00   10.29 um     3527 A      3663 A   
   1.80 MeV   1.481E+03  1.273E+00   10.95 um     3673 A      3761 A   
   2.00 MeV   1.409E+03  1.163E+00   12.34 um     4203 A      3963 A   
   2.25 MeV   1.328E+03  1.050E+00   14.16 um     4982 A      4227 A   
   2.50 MeV   1.255E+03  9.585E-01   16.10 um     5732 A      4504 A   
   2.75 MeV   1.189E+03  8.823E-01   18.14 um     6468 A      4795 A   
   3.00 MeV   1.130E+03  8.180E-01   20.29 um     7200 A      5102 A   
   3.25 MeV   1.076E+03  7.629E-01   22.56 um     7930 A      5423 A   
   3.50 MeV   1.027E+03  7.151E-01   24.94 um     8664 A      5760 A   
   3.75 MeV   9.825E+02  6.733E-01   27.42 um     9403 A      6113 A   
   4.00 MeV   9.417E+02  6.363E-01   30.02 um     1.01 um     6482 A   
   4.50 MeV   8.700E+02  5.739E-01   35.54 um     1.29 um     7266 A   
   5.00 MeV   8.087E+02  5.232E-01   41.49 um     1.55 um     8113 A   
   5.50 MeV   7.559E+02  4.811E-01   47.88 um     1.81 um     9021 A   
   6.00 MeV   7.099E+02  4.456E-01   54.70 um     2.06 um     9991 A   
   6.50 MeV   6.694E+02  4.152E-01   61.95 um     2.31 um     1.10 um  
   7.00 MeV   6.336E+02  3.889E-01   69.62 um     2.56 um     1.21 um  
   8.00 MeV   5.728E+02  3.456E-01   86.21 um     3.50 um     1.45 um  
   9.00 MeV   5.279E+02  3.113E-01  104.39 um     4.36 um     1.70 um  
  10.00 MeV   4.858E+02  2.835E-01  124.12 um     5.20 um     1.98 um  
