# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.470E+02  3.577E+01    2815 A      2129 A      1698 A   
  11.00 keV   1.553E+02  3.447E+01    3098 A      2270 A      1823 A   
  12.00 keV   1.633E+02  3.328E+01    3379 A      2404 A      1943 A   
  13.00 keV   1.711E+02  3.218E+01    3658 A      2532 A      2059 A   
  14.00 keV   1.788E+02  3.116E+01    3935 A      2653 A      2170 A   
  15.00 keV   1.863E+02  3.022E+01    4210 A      2769 A      2278 A   
  16.00 keV   1.936E+02  2.934E+01    4482 A      2879 A      2382 A   
  17.00 keV   2.008E+02  2.852E+01    4751 A      2984 A      2483 A   
  18.00 keV   2.079E+02  2.775E+01    5018 A      3085 A      2580 A   
  20.00 keV   2.218E+02  2.635E+01    5545 A      3272 A      2765 A   
  22.50 keV   2.385E+02  2.482E+01    6189 A      3485 A      2982 A   
  25.00 keV   2.547E+02  2.348E+01    6816 A      3679 A      3182 A   
  27.50 keV   2.703E+02  2.231E+01    7428 A      3854 A      3369 A   
  30.00 keV   2.856E+02  2.126E+01    8024 A      4015 A      3543 A   
  32.50 keV   3.004E+02  2.032E+01    8606 A      4163 A      3707 A   
  35.00 keV   3.149E+02  1.947E+01    9174 A      4299 A      3861 A   
  37.50 keV   3.290E+02  1.870E+01    9728 A      4424 A      4006 A   
  40.00 keV   3.428E+02  1.800E+01    1.03 um     4541 A      4142 A   
  45.00 keV   3.694E+02  1.677E+01    1.13 um     4751 A      4395 A   
  50.00 keV   3.950E+02  1.572E+01    1.23 um     4935 A      4624 A   
  55.00 keV   4.196E+02  1.480E+01    1.33 um     5097 A      4831 A   
  60.00 keV   4.433E+02  1.401E+01    1.42 um     5242 A      5022 A   
  65.00 keV   4.661E+02  1.330E+01    1.51 um     5372 A      5197 A   
  70.00 keV   4.882E+02  1.267E+01    1.60 um     5490 A      5359 A   
  80.00 keV   5.301E+02  1.160E+01    1.77 um     5695 A      5650 A   
  90.00 keV   5.694E+02  1.071E+01    1.92 um     5869 A      5905 A   
 100.00 keV   6.064E+02  9.965E+00    2.07 um     6018 A      6131 A   
 110.00 keV   6.412E+02  9.328E+00    2.21 um     6147 A      6334 A   
 120.00 keV   6.741E+02  8.777E+00    2.35 um     6261 A      6517 A   
 130.00 keV   7.053E+02  8.294E+00    2.48 um     6362 A      6685 A   
 140.00 keV   7.347E+02  7.867E+00    2.61 um     6452 A      6838 A   
 150.00 keV   7.627E+02  7.487E+00    2.73 um     6534 A      6980 A   
 160.00 keV   7.892E+02  7.146E+00    2.85 um     6608 A      7112 A   
 170.00 keV   8.143E+02  6.837E+00    2.97 um     6677 A      7234 A   
 180.00 keV   8.382E+02  6.558E+00    3.08 um     6739 A      7350 A   
 200.00 keV   8.824E+02  6.068E+00    3.30 um     6854 A      7560 A   
 225.00 keV   9.317E+02  5.559E+00    3.56 um     6979 A      7793 A   
 250.00 keV   9.752E+02  5.137E+00    3.81 um     7087 A      7999 A   
 275.00 keV   1.013E+03  4.780E+00    4.05 um     7181 A      8185 A   
 300.00 keV   1.047E+03  4.474E+00    4.28 um     7265 A      8355 A   
 325.00 keV   1.076E+03  4.208E+00    4.51 um     7341 A      8511 A   
 350.00 keV   1.102E+03  3.974E+00    4.73 um     7410 A      8655 A   
 375.00 keV   1.124E+03  3.768E+00    4.95 um     7473 A      8791 A   
 400.00 keV   1.144E+03  3.584E+00    5.17 um     7532 A      8918 A   
 450.00 keV   1.175E+03  3.269E+00    5.59 um     7650 A      9153 A   
 500.00 keV   1.197E+03  3.009E+00    6.00 um     7756 A      9368 A   
 550.00 keV   1.212E+03  2.791E+00    6.41 um     7853 A      9567 A   
 600.00 keV   1.222E+03  2.605E+00    6.81 um     7944 A      9754 A   
 650.00 keV   1.227E+03  2.443E+00    7.21 um     8029 A      9932 A   
 700.00 keV   1.229E+03  2.303E+00    7.61 um     8110 A      1.01 um  
 800.00 keV   1.223E+03  2.068E+00    8.42 um     8302 A      1.04 um  
 900.00 keV   1.209E+03  1.880E+00    9.23 um     8484 A      1.07 um  
   1.00 MeV   1.191E+03  1.726E+00   10.05 um     8662 A      1.10 um  
   1.10 MeV   1.170E+03  1.596E+00   10.89 um     8837 A      1.13 um  
   1.20 MeV   1.146E+03  1.486E+00   11.75 um     9010 A      1.16 um  
   1.30 MeV   1.122E+03  1.392E+00   12.62 um     9184 A      1.19 um  
   1.40 MeV   1.098E+03  1.309E+00   13.52 um     9359 A      1.22 um  
   1.50 MeV   1.074E+03  1.237E+00   14.43 um     9536 A      1.24 um  
   1.60 MeV   1.050E+03  1.172E+00   15.37 um     9715 A      1.27 um  
   1.70 MeV   1.026E+03  1.115E+00   16.33 um     9897 A      1.30 um  
   1.80 MeV   1.004E+03  1.063E+00   17.31 um     1.01 um     1.33 um  
   2.00 MeV   9.607E+02  9.733E-01   19.33 um     1.07 um     1.39 um  
   2.25 MeV   9.112E+02  8.818E-01   21.99 um     1.15 um     1.47 um  
   2.50 MeV   8.663E+02  8.070E-01   24.79 um     1.24 um     1.55 um  
   2.75 MeV   8.258E+02  7.447E-01   27.73 um     1.33 um     1.63 um  
   3.00 MeV   7.890E+02  6.918E-01   30.82 um     1.42 um     1.72 um  
   3.25 MeV   7.555E+02  6.464E-01   34.04 um     1.52 um     1.81 um  
   3.50 MeV   7.251E+02  6.070E-01   37.41 um     1.61 um     1.90 um  
   3.75 MeV   6.972E+02  5.724E-01   40.91 um     1.71 um     2.00 um  
   4.00 MeV   6.716E+02  5.417E-01   44.55 um     1.81 um     2.11 um  
   4.50 MeV   6.264E+02  4.898E-01   52.24 um     2.16 um     2.33 um  
   5.00 MeV   5.876E+02  4.475E-01   60.45 um     2.50 um     2.56 um  
   5.50 MeV   5.539E+02  4.124E-01   69.19 um     2.84 um     2.81 um  
   6.00 MeV   5.244E+02  3.826E-01   78.44 um     3.17 um     3.07 um  
   6.50 MeV   4.983E+02  3.571E-01   88.20 um     3.51 um     3.35 um  
   7.00 MeV   4.750E+02  3.349E-01   98.45 um     3.85 um     3.64 um  
   8.00 MeV   4.354E+02  2.983E-01  120.39 um     5.04 um     4.26 um  
   9.00 MeV   4.025E+02  2.693E-01  144.22 um     6.16 um     4.94 um  
  10.00 MeV   3.721E+02  2.457E-01  170.00 um     7.26 um     5.66 um  
