# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.797E+01  1.332E+01    3683 A      4296 A      3259 A   
  11.00 keV   8.247E+01  1.307E+01    4039 A      4577 A      3484 A   
  12.00 keV   8.681E+01  1.282E+01    4394 A      4846 A      3700 A   
  13.00 keV   9.101E+01  1.258E+01    4749 A      5103 A      3910 A   
  14.00 keV   9.509E+01  1.235E+01    5103 A      5351 A      4113 A   
  15.00 keV   9.905E+01  1.213E+01    5457 A      5590 A      4310 A   
  16.00 keV   1.029E+02  1.191E+01    5809 A      5820 A      4502 A   
  17.00 keV   1.067E+02  1.170E+01    6161 A      6042 A      4688 A   
  18.00 keV   1.104E+02  1.150E+01    6511 A      6257 A      4869 A   
  20.00 keV   1.175E+02  1.112E+01    7210 A      6663 A      5220 A   
  22.50 keV   1.260E+02  1.068E+01    8077 A      7138 A      5636 A   
  25.00 keV   1.341E+02  1.028E+01    8935 A      7581 A      6029 A   
  27.50 keV   1.419E+02  9.914E+00    9785 A      7995 A      6401 A   
  30.00 keV   1.494E+02  9.576E+00    1.06 um     8383 A      6756 A   
  32.50 keV   1.566E+02  9.264E+00    1.15 um     8749 A      7095 A   
  35.00 keV   1.636E+02  8.974E+00    1.23 um     9093 A      7418 A   
  37.50 keV   1.704E+02  8.706E+00    1.31 um     9419 A      7729 A   
  40.00 keV   1.769E+02  8.455E+00    1.39 um     9728 A      8028 A   
  45.00 keV   1.896E+02  8.002E+00    1.55 um     1.03 um     8593 A   
  50.00 keV   2.016E+02  7.603E+00    1.70 um     1.08 um     9118 A   
  55.00 keV   2.130E+02  7.247E+00    1.85 um     1.13 um     9610 A   
  60.00 keV   2.240E+02  6.929E+00    2.00 um     1.17 um     1.01 um  
  65.00 keV   2.345E+02  6.642E+00    2.15 um     1.21 um     1.05 um  
  70.00 keV   2.446E+02  6.382E+00    2.29 um     1.25 um     1.09 um  
  80.00 keV   2.637E+02  5.927E+00    2.57 um     1.32 um     1.17 um  
  90.00 keV   2.815E+02  5.541E+00    2.84 um     1.38 um     1.24 um  
 100.00 keV   2.982E+02  5.210E+00    3.10 um     1.43 um     1.30 um  
 110.00 keV   3.139E+02  4.921E+00    3.35 um     1.48 um     1.36 um  
 120.00 keV   3.286E+02  4.667E+00    3.59 um     1.52 um     1.41 um  
 130.00 keV   3.426E+02  4.442E+00    3.83 um     1.56 um     1.46 um  
 140.00 keV   3.558E+02  4.240E+00    4.07 um     1.60 um     1.51 um  
 150.00 keV   3.683E+02  4.058E+00    4.29 um     1.63 um     1.56 um  
 160.00 keV   3.802E+02  3.894E+00    4.52 um     1.66 um     1.60 um  
 170.00 keV   3.915E+02  3.744E+00    4.73 um     1.69 um     1.64 um  
 180.00 keV   4.022E+02  3.606E+00    4.95 um     1.71 um     1.68 um  
 200.00 keV   4.221E+02  3.363E+00    5.37 um     1.76 um     1.75 um  
 225.00 keV   4.443E+02  3.107E+00    5.87 um     1.82 um     1.83 um  
 250.00 keV   4.641E+02  2.892E+00    6.36 um     1.86 um     1.90 um  
 275.00 keV   4.815E+02  2.708E+00    6.83 um     1.91 um     1.97 um  
 300.00 keV   4.970E+02  2.548E+00    7.30 um     1.95 um     2.03 um  
 325.00 keV   5.108E+02  2.408E+00    7.75 um     1.98 um     2.09 um  
 350.00 keV   5.230E+02  2.285E+00    8.19 um     2.01 um     2.15 um  
 375.00 keV   5.338E+02  2.175E+00    8.63 um     2.04 um     2.20 um  
 400.00 keV   5.434E+02  2.076E+00    9.06 um     2.07 um     2.25 um  
 450.00 keV   5.592E+02  1.906E+00    9.91 um     2.12 um     2.34 um  
 500.00 keV   5.714E+02  1.764E+00   10.74 um     2.17 um     2.43 um  
 550.00 keV   5.806E+02  1.643E+00   11.56 um     2.21 um     2.51 um  
 600.00 keV   5.872E+02  1.540E+00   12.38 um     2.25 um     2.59 um  
 650.00 keV   5.919E+02  1.450E+00   13.19 um     2.29 um     2.66 um  
 700.00 keV   5.949E+02  1.371E+00   13.99 um     2.33 um     2.73 um  
 800.00 keV   5.969E+02  1.239E+00   15.61 um     2.40 um     2.86 um  
 900.00 keV   5.951E+02  1.131E+00   17.23 um     2.46 um     2.99 um  
   1.00 MeV   5.907E+02  1.043E+00   18.86 um     2.53 um     3.11 um  
   1.10 MeV   5.845E+02  9.683E-01   20.52 um     2.59 um     3.23 um  
   1.20 MeV   5.770E+02  9.045E-01   22.20 um     2.64 um     3.35 um  
   1.30 MeV   5.688E+02  8.493E-01   23.90 um     2.70 um     3.46 um  
   1.40 MeV   5.601E+02  8.010E-01   25.63 um     2.76 um     3.57 um  
   1.50 MeV   5.511E+02  7.583E-01   27.39 um     2.81 um     3.69 um  
   1.60 MeV   5.421E+02  7.203E-01   29.19 um     2.87 um     3.80 um  
   1.70 MeV   5.330E+02  6.863E-01   31.01 um     2.92 um     3.91 um  
   1.80 MeV   5.240E+02  6.556E-01   32.87 um     2.98 um     4.03 um  
   2.00 MeV   5.065E+02  6.023E-01   36.69 um     3.11 um     4.26 um  
   2.25 MeV   4.857E+02  5.476E-01   41.65 um     3.29 um     4.55 um  
   2.50 MeV   4.664E+02  5.027E-01   46.83 um     3.47 um     4.85 um  
   2.75 MeV   4.484E+02  4.651E-01   52.22 um     3.66 um     5.15 um  
   3.00 MeV   4.319E+02  4.331E-01   57.83 um     3.85 um     5.46 um  
   3.25 MeV   4.166E+02  4.055E-01   63.65 um     4.05 um     5.79 um  
   3.50 MeV   4.025E+02  3.815E-01   69.69 um     4.25 um     6.12 um  
