# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.494E+01  1.049E+01    3705 A      4287 A      3253 A   
  11.00 keV   8.935E+01  1.034E+01    4051 A      4556 A      3468 A   
  12.00 keV   9.363E+01  1.018E+01    4396 A      4814 A      3677 A   
  13.00 keV   9.780E+01  1.002E+01    4740 A      5062 A      3878 A   
  14.00 keV   1.019E+02  9.870E+00    5083 A      5301 A      4073 A   
  15.00 keV   1.059E+02  9.720E+00    5424 A      5531 A      4263 A   
  16.00 keV   1.098E+02  9.573E+00    5765 A      5753 A      4448 A   
  17.00 keV   1.136E+02  9.430E+00    6104 A      5968 A      4627 A   
  18.00 keV   1.174E+02  9.291E+00    6441 A      6175 A      4802 A   
  20.00 keV   1.247E+02  9.024E+00    7113 A      6569 A      5139 A   
  22.50 keV   1.335E+02  8.711E+00    7943 A      7028 A      5539 A   
  25.00 keV   1.421E+02  8.421E+00    8764 A      7456 A      5916 A   
  27.50 keV   1.504E+02  8.151E+00    9574 A      7856 A      6273 A   
  30.00 keV   1.585E+02  7.901E+00    1.04 um     8231 A      6612 A   
  32.50 keV   1.663E+02  7.667E+00    1.12 um     8583 A      6935 A   
  35.00 keV   1.740E+02  7.449E+00    1.19 um     8914 A      7243 A   
  37.50 keV   1.815E+02  7.245E+00    1.27 um     9227 A      7538 A   
  40.00 keV   1.888E+02  7.054E+00    1.35 um     9522 A      7820 A   
  45.00 keV   2.030E+02  6.704E+00    1.49 um     1.01 um     8352 A   
  50.00 keV   2.167E+02  6.393E+00    1.64 um     1.06 um     8845 A   
  55.00 keV   2.300E+02  6.115E+00    1.78 um     1.10 um     9303 A   
  60.00 keV   2.428E+02  5.863E+00    1.92 um     1.14 um     9730 A   
  65.00 keV   2.553E+02  5.635E+00    2.05 um     1.18 um     1.01 um  
  70.00 keV   2.674E+02  5.427E+00    2.18 um     1.21 um     1.05 um  
  80.00 keV   2.907E+02  5.060E+00    2.44 um     1.28 um     1.12 um  
  90.00 keV   3.129E+02  4.747E+00    2.68 um     1.33 um     1.18 um  
 100.00 keV   3.340E+02  4.476E+00    2.91 um     1.38 um     1.24 um  
 110.00 keV   3.542E+02  4.239E+00    3.14 um     1.42 um     1.29 um  
 120.00 keV   3.735E+02  4.029E+00    3.35 um     1.46 um     1.34 um  
 130.00 keV   3.920E+02  3.843E+00    3.56 um     1.49 um     1.38 um  
 140.00 keV   4.097E+02  3.675E+00    3.77 um     1.52 um     1.42 um  
 150.00 keV   4.267E+02  3.523E+00    3.96 um     1.55 um     1.46 um  
 160.00 keV   4.429E+02  3.385E+00    4.16 um     1.58 um     1.50 um  
 170.00 keV   4.585E+02  3.259E+00    4.34 um     1.60 um     1.53 um  
 180.00 keV   4.733E+02  3.143E+00    4.53 um     1.63 um     1.56 um  
 200.00 keV   5.011E+02  2.938E+00    4.88 um     1.67 um     1.62 um  
 225.00 keV   5.324E+02  2.721E+00    5.30 um     1.71 um     1.68 um  
 250.00 keV   5.601E+02  2.537E+00    5.71 um     1.75 um     1.74 um  
 275.00 keV   5.844E+02  2.380E+00    6.10 um     1.78 um     1.80 um  
 300.00 keV   6.055E+02  2.243E+00    6.49 um     1.81 um     1.85 um  
 325.00 keV   6.237E+02  2.123E+00    6.86 um     1.84 um     1.89 um  
 350.00 keV   6.391E+02  2.017E+00    7.22 um     1.86 um     1.93 um  
 375.00 keV   6.520E+02  1.922E+00    7.58 um     1.89 um     1.98 um  
 400.00 keV   6.625E+02  1.836E+00    7.94 um     1.91 um     2.01 um  
 450.00 keV   6.775E+02  1.688E+00    8.64 um     1.95 um     2.09 um  
 500.00 keV   6.856E+02  1.565E+00    9.33 um     1.99 um     2.15 um  
