# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.621E+02  3.670E+01    2819 A      1942 A      1571 A   
  11.00 keV   1.702E+02  3.526E+01    3102 A      2068 A      1685 A   
  12.00 keV   1.781E+02  3.395E+01    3384 A      2188 A      1796 A   
  13.00 keV   1.857E+02  3.274E+01    3664 A      2302 A      1903 A   
  14.00 keV   1.932E+02  3.164E+01    3942 A      2411 A      2006 A   
  15.00 keV   2.004E+02  3.062E+01    4217 A      2515 A      2106 A   
  16.00 keV   2.076E+02  2.967E+01    4491 A      2614 A      2203 A   
  17.00 keV   2.146E+02  2.879E+01    4762 A      2709 A      2296 A   
  18.00 keV   2.214E+02  2.797E+01    5030 A      2799 A      2386 A   
  20.00 keV   2.349E+02  2.649E+01    5560 A      2968 A      2559 A   
  22.50 keV   2.514E+02  2.487E+01    6208 A      3160 A      2761 A   
  25.00 keV   2.675E+02  2.347E+01    6839 A      3335 A      2949 A   
  27.50 keV   2.834E+02  2.224E+01    7453 A      3493 A      3124 A   
  30.00 keV   2.991E+02  2.115E+01    8051 A      3637 A      3287 A   
  32.50 keV   3.147E+02  2.018E+01    8632 A      3770 A      3439 A   
  35.00 keV   3.302E+02  1.931E+01    9198 A      3891 A      3582 A   
  37.50 keV   3.457E+02  1.852E+01    9749 A      4003 A      3716 A   
  40.00 keV   3.611E+02  1.780E+01    1.03 um     4106 A      3842 A   
  45.00 keV   3.917E+02  1.654E+01    1.13 um     4290 A      4074 A   
  50.00 keV   4.222E+02  1.547E+01    1.23 um     4449 A      4280 A   
  55.00 keV   4.524E+02  1.455E+01    1.32 um     4587 A      4465 A   
  60.00 keV   4.822E+02  1.374E+01    1.41 um     4708 A      4633 A   
  65.00 keV   5.114E+02  1.303E+01    1.50 um     4816 A      4784 A   
  70.00 keV   5.398E+02  1.240E+01    1.58 um     4911 A      4923 A   
  80.00 keV   5.932E+02  1.133E+01    1.73 um     5076 A      5168 A   
  90.00 keV   6.412E+02  1.044E+01    1.87 um     5212 A      5378 A   
 100.00 keV   6.831E+02  9.702E+00    2.01 um     5327 A      5562 A   
 110.00 keV   7.193E+02  9.069E+00    2.14 um     5426 A      5726 A   
 120.00 keV   7.508E+02  8.523E+00    2.26 um     5514 A      5874 A   
 130.00 keV   7.790E+02  8.046E+00    2.38 um     5592 A      6009 A   
 140.00 keV   8.052E+02  7.625E+00    2.50 um     5662 A      6134 A   
 150.00 keV   8.304E+02  7.250E+00    2.61 um     5726 A      6250 A   
 160.00 keV   8.554E+02  6.915E+00    2.73 um     5785 A      6357 A   
