# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.057E+02  2.456E+01     367 A       336 A       262 A   
  11.00 keV   1.119E+02  2.381E+01     404 A       359 A       281 A   
  12.00 keV   1.179E+02  2.310E+01     441 A       380 A       299 A   
  13.00 keV   1.238E+02  2.245E+01     478 A       401 A       317 A   
  14.00 keV   1.295E+02  2.183E+01     514 A       421 A       335 A   
  15.00 keV   1.351E+02  2.125E+01     551 A       440 A       351 A   
  16.00 keV   1.406E+02  2.071E+01     587 A       458 A       367 A   
  17.00 keV   1.460E+02  2.019E+01     623 A       475 A       383 A   
  18.00 keV   1.512E+02  1.971E+01     658 A       492 A       398 A   
  20.00 keV   1.615E+02  1.882E+01     729 A       523 A       427 A   
  22.50 keV   1.739E+02  1.784E+01     816 A       559 A       461 A   
  25.00 keV   1.858E+02  1.696E+01     901 A       591 A       493 A   
  27.50 keV   1.974E+02  1.619E+01     985 A       621 A       523 A   
  30.00 keV   2.087E+02  1.549E+01    1067 A       649 A       551 A   
  32.50 keV   2.197E+02  1.486E+01    1147 A       675 A       577 A   
  35.00 keV   2.303E+02  1.428E+01    1226 A       699 A       602 A   
  37.50 keV   2.408E+02  1.376E+01    1303 A       721 A       625 A   
  40.00 keV   2.510E+02  1.328E+01    1379 A       741 A       648 A   
  45.00 keV   2.706E+02  1.243E+01    1526 A       779 A       690 A   
  50.00 keV   2.894E+02  1.169E+01    1668 A       812 A       728 A   
  55.00 keV   3.074E+02  1.105E+01    1806 A       842 A       763 A   
  60.00 keV   3.246E+02  1.049E+01    1939 A       868 A       795 A   
  65.00 keV   3.411E+02  9.989E+00    2068 A       893 A       825 A   
  70.00 keV   3.567E+02  9.541E+00    2193 A       915 A       852 A   
  80.00 keV   3.859E+02  8.769E+00    2435 A       954 A       903 A   
  90.00 keV   4.122E+02  8.128E+00    2665 A       987 A       948 A   
 100.00 keV   4.359E+02  7.585E+00    2887 A      1016 A       989 A   
 110.00 keV   4.572E+02  7.119E+00    3100 A      1042 A      1026 A   
 120.00 keV   4.764E+02  6.713E+00    3308 A      1065 A      1060 A   
 130.00 keV   4.939E+02  6.357E+00    3510 A      1086 A      1091 A   
 140.00 keV   5.099E+02  6.041E+00    3707 A      1105 A      1121 A   
 150.00 keV   5.248E+02  5.759E+00    3900 A      1122 A      1148 A   
 160.00 keV   5.386E+02  5.505E+00    4090 A      1139 A      1174 A   
 170.00 keV   5.517E+02  5.275E+00    4276 A      1154 A      1199 A   
 180.00 keV   5.642E+02  5.065E+00    4459 A      1168 A      1223 A   
 200.00 keV   5.875E+02  4.698E+00    4815 A      1194 A      1267 A   
 225.00 keV   6.145E+02  4.314E+00    5247 A      1223 A      1316 A   
 250.00 keV   6.395E+02  3.995E+00    5665 A      1248 A      1361 A   
 275.00 keV   6.626E+02  3.724E+00    6069 A      1271 A      1403 A   
 300.00 keV   6.840E+02  3.491E+00    6463 A      1291 A      1441 A   
 325.00 keV   7.036E+02  3.288E+00    6847 A      1309 A      1476 A   
 350.00 keV   7.216E+02  3.110E+00    7222 A      1326 A      1509 A   
 375.00 keV   7.379E+02  2.952E+00    7590 A      1342 A      1540 A   
 400.00 keV   7.527E+02  2.810E+00    7951 A      1356 A      1570 A   
 450.00 keV   7.781E+02  2.568E+00    8658 A      1384 A      1624 A   
 500.00 keV   7.984E+02  2.368E+00    9346 A      1409 A      1674 A   
 550.00 keV   8.143E+02  2.199E+00    1.00 um     1432 A      1720 A   
 600.00 keV   8.264E+02  2.055E+00    1.07 um     1453 A      1763 A   
 650.00 keV   8.353E+02  1.930E+00    1.13 um     1472 A      1804 A   
 700.00 keV   8.415E+02  1.820E+00    1.20 um     1491 A      1843 A   
 800.00 keV   8.473E+02  1.638E+00    1.33 um     1530 A      1916 A   
 900.00 keV   8.465E+02  1.491E+00    1.46 um     1566 A      1985 A   
   1.00 MeV   8.412E+02  1.370E+00    1.59 um     1601 A      2050 A   
   1.10 MeV   8.326E+02  1.269E+00    1.72 um     1634 A      2113 A   
   1.20 MeV   8.218E+02  1.183E+00    1.86 um     1667 A      2175 A   
   1.30 MeV   8.095E+02  1.108E+00    1.99 um     1699 A      2236 A   
   1.40 MeV   7.964E+02  1.043E+00    2.13 um     1731 A      2296 A   
   1.50 MeV   7.826E+02  9.860E-01    2.27 um     1762 A      2355 A   
   1.60 MeV   7.686E+02  9.353E-01    2.42 um     1794 A      2415 A   
   1.70 MeV   7.546E+02  8.898E-01    2.56 um     1825 A      2474 A   
   1.80 MeV   7.406E+02  8.489E-01    2.71 um     1857 A      2534 A   
   2.00 MeV   7.133E+02  7.782E-01    3.02 um     1945 A      2655 A   
   2.25 MeV   6.808E+02  7.058E-01    3.42 um     2073 A      2809 A   
   2.50 MeV   6.506E+02  6.465E-01    3.84 um     2203 A      2967 A   
   2.75 MeV   6.226E+02  5.970E-01    4.27 um     2337 A      3131 A   
   3.00 MeV   5.969E+02  5.551E-01    4.73 um     2473 A      3300 A   
   3.25 MeV   5.732E+02  5.190E-01    5.21 um     2613 A      3475 A   
   3.50 MeV   5.513E+02  4.876E-01    5.71 um     2756 A      3656 A   
   3.75 MeV   5.311E+02  4.600E-01    6.22 um     2903 A      3844 A   
   4.00 MeV   5.125E+02  4.356E-01    6.76 um     3052 A      4037 A   
   4.50 MeV   4.791E+02  3.942E-01    7.89 um     3545 A      4445 A   
   5.00 MeV   4.502E+02  3.604E-01    9.09 um     4034 A      4878 A   
   5.50 MeV   4.249E+02  3.323E-01   10.37 um     4524 A      5337 A   
   6.00 MeV   4.025E+02  3.085E-01   11.72 um     5018 A      5821 A   
   6.50 MeV   3.827E+02  2.881E-01   13.15 um     5518 A      6330 A   
   7.00 MeV   3.649E+02  2.703E-01   14.64 um     6024 A      6863 A   
   8.00 MeV   3.345E+02  2.410E-01   17.85 um     7744 A      8001 A   
   9.00 MeV   3.128E+02  2.177E-01   21.31 um     9369 A      9224 A   
  10.00 MeV   2.920E+02  1.987E-01   25.01 um     1.09 um     1.05 um  
