# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.338E+02  2.714E+01    3026 A      2471 A      1954 A   
  11.00 keV   1.407E+02  2.624E+01    3328 A      2633 A      2094 A   
  12.00 keV   1.475E+02  2.541E+01    3628 A      2787 A      2229 A   
  13.00 keV   1.542E+02  2.464E+01    3927 A      2933 A      2360 A   
  14.00 keV   1.608E+02  2.392E+01    4224 A      3073 A      2486 A   
  15.00 keV   1.673E+02  2.325E+01    4519 A      3207 A      2608 A   
  16.00 keV   1.737E+02  2.262E+01    4812 A      3335 A      2726 A   
  17.00 keV   1.799E+02  2.203E+01    5102 A      3457 A      2840 A   
  18.00 keV   1.861E+02  2.148E+01    5390 A      3575 A      2951 A   
  20.00 keV   1.983E+02  2.046E+01    5958 A      3794 A      3163 A   
  22.50 keV   2.131E+02  1.934E+01    6653 A      4044 A      3410 A   
  25.00 keV   2.276E+02  1.836E+01    7332 A      4272 A      3640 A   
  27.50 keV   2.417E+02  1.748E+01    7994 A      4479 A      3854 A   
  30.00 keV   2.555E+02  1.670E+01    8640 A      4670 A      4054 A   
  32.50 keV   2.690E+02  1.600E+01    9270 A      4845 A      4242 A   
  35.00 keV   2.822E+02  1.536E+01    9886 A      5006 A      4419 A   
  37.50 keV   2.952E+02  1.478E+01    1.05 um     5155 A      4586 A   
  40.00 keV   3.080E+02  1.425E+01    1.11 um     5294 A      4744 A   
  45.00 keV   3.328E+02  1.331E+01    1.22 um     5544 A      5035 A   
  50.00 keV   3.567E+02  1.250E+01    1.33 um     5762 A      5298 A   
  55.00 keV   3.797E+02  1.180E+01    1.43 um     5956 A      5537 A   
  60.00 keV   4.019E+02  1.118E+01    1.54 um     6128 A      5756 A   
  65.00 keV   4.233E+02  1.064E+01    1.63 um     6283 A      5957 A   
  70.00 keV   4.440E+02  1.015E+01    1.73 um     6423 A      6143 A   
  80.00 keV   4.829E+02  9.310E+00    1.91 um     6667 A      6478 A   
  90.00 keV   5.187E+02  8.616E+00    2.08 um     6874 A      6771 A   
 100.00 keV   5.517E+02  8.031E+00    2.24 um     7051 A      7032 A   
 110.00 keV   5.819E+02  7.529E+00    2.39 um     7206 A      7267 A   
 120.00 keV   6.097E+02  7.093E+00    2.54 um     7343 A      7480 A   
 130.00 keV   6.351E+02  6.711E+00    2.68 um     7466 A      7676 A   
 140.00 keV   6.584E+02  6.372E+00    2.82 um     7576 A      7857 A   
 150.00 keV   6.799E+02  6.070E+00    2.96 um     7677 A      8026 A   
 160.00 keV   6.997E+02  5.799E+00    3.09 um     7770 A      8183 A   
 170.00 keV   7.182E+02  5.553E+00    3.22 um     7855 A      8331 A   
 180.00 keV   7.353E+02  5.330E+00    3.35 um     7934 A      8471 A   
 200.00 keV   7.663E+02  4.939E+00    3.60 um     8080 A      8730 A   
 225.00 keV   8.001E+02  4.531E+00    3.90 um     8241 A      9021 A   
 250.00 keV   8.296E+02  4.192E+00    4.19 um     8383 A      9284 A   
 275.00 keV   8.553E+02  3.904E+00    4.47 um     8508 A      9524 A   
 300.00 keV   8.781E+02  3.658E+00    4.75 um     8622 A      9746 A   
 325.00 keV   8.981E+02  3.443E+00    5.02 um     8725 A      9953 A   
 350.00 keV   9.157E+02  3.255E+00    5.29 um     8821 A      1.01 um  
 375.00 keV   9.311E+02  3.088E+00    5.55 um     8909 A      1.03 um  
 400.00 keV   9.445E+02  2.939E+00    5.80 um     8992 A      1.05 um  
 450.00 keV   9.662E+02  2.683E+00    6.31 um     9156 A      1.08 um  
 500.00 keV   9.819E+02  2.472E+00    6.81 um     9306 A      1.11 um  
 550.00 keV   9.927E+02  2.295E+00    7.31 um     9443 A      1.14 um  
 600.00 keV   9.995E+02  2.143E+00    7.80 um     9572 A      1.17 um  
 650.00 keV   1.003E+03  2.012E+00    8.29 um     9693 A      1.19 um  
 700.00 keV   1.004E+03  1.897E+00    8.78 um     9809 A      1.22 um  
 800.00 keV   9.989E+02  1.705E+00    9.76 um     1.01 um     1.26 um  
 900.00 keV   9.882E+02  1.552E+00   10.75 um     1.03 um     1.31 um  
   1.00 MeV   9.738E+02  1.425E+00   11.76 um     1.06 um     1.35 um  
   1.10 MeV   9.569E+02  1.319E+00   12.78 um     1.08 um     1.39 um  
   1.20 MeV   9.386E+02  1.229E+00   13.83 um     1.11 um     1.43 um  
   1.30 MeV   9.196E+02  1.151E+00   14.89 um     1.13 um     1.48 um  
   1.40 MeV   9.004E+02  1.084E+00   15.98 um     1.15 um     1.52 um  
   1.50 MeV   8.812E+02  1.024E+00   17.10 um     1.18 um     1.56 um  
   1.60 MeV   8.622E+02  9.709E-01   18.23 um     1.20 um     1.60 um  
   1.70 MeV   8.437E+02  9.235E-01   19.40 um     1.23 um     1.64 um  
   1.80 MeV   8.256E+02  8.809E-01   20.59 um     1.25 um     1.68 um  
   2.00 MeV   7.912E+02  8.071E-01   23.04 um     1.32 um     1.77 um  
   2.25 MeV   7.515E+02  7.317E-01   26.26 um     1.43 um     1.88 um  
   2.50 MeV   7.153E+02  6.700E-01   29.66 um     1.54 um     2.00 um  
   2.75 MeV   6.824E+02  6.185E-01   33.21 um     1.66 um     2.12 um  
   3.00 MeV   6.525E+02  5.749E-01   36.94 um     1.77 um     2.25 um  
   3.25 MeV   6.252E+02  5.374E-01   40.84 um     1.89 um     2.38 um  
   3.50 MeV   6.003E+02  5.048E-01   44.90 um     2.01 um     2.51 um  
   3.75 MeV   5.775E+02  4.761E-01   49.12 um     2.13 um     2.65 um  
   4.00 MeV   5.565E+02  4.507E-01   53.51 um     2.26 um     2.80 um  
   4.50 MeV   5.192E+02  4.078E-01   62.78 um     2.68 um     3.11 um  
   5.00 MeV   4.871E+02  3.727E-01   72.68 um     3.10 um     3.44 um  
   5.50 MeV   4.591E+02  3.435E-01   83.22 um     3.51 um     3.79 um  
   6.00 MeV   4.346E+02  3.189E-01   94.37 um     3.92 um     4.16 um  
   6.50 MeV   4.129E+02  2.977E-01  106.13 um     4.34 um     4.55 um  
   7.00 MeV   3.935E+02  2.793E-01  118.50 um     4.75 um     4.96 um  
   8.00 MeV   3.603E+02  2.489E-01  144.98 um     6.20 um     5.83 um  
   9.00 MeV   3.356E+02  2.248E-01  173.65 um     7.55 um     6.76 um  
  10.00 MeV   3.122E+02  2.052E-01  204.46 um     8.87 um     7.76 um  
