# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.876E+01  1.103E+01    3552 A      3856 A      2945 A   
  11.00 keV   1.041E+02  1.085E+01    3879 A      4091 A      3136 A   
  12.00 keV   1.092E+02  1.068E+01    4204 A      4316 A      3320 A   
  13.00 keV   1.143E+02  1.051E+01    4528 A      4531 A      3497 A   
  14.00 keV   1.192E+02  1.034E+01    4849 A      4737 A      3668 A   
  15.00 keV   1.241E+02  1.017E+01    5168 A      4935 A      3834 A   
  16.00 keV   1.288E+02  1.001E+01    5485 A      5125 A      3994 A   
  17.00 keV   1.335E+02  9.852E+00    5800 A      5308 A      4150 A   
  18.00 keV   1.381E+02  9.699E+00    6113 A      5484 A      4301 A   
  20.00 keV   1.471E+02  9.409E+00    6733 A      5817 A      4592 A   
  22.50 keV   1.579E+02  9.070E+00    7497 A      6202 A      4933 A   
  25.00 keV   1.684E+02  8.757E+00    8247 A      6558 A      5254 A   
  27.50 keV   1.786E+02  8.467E+00    8984 A      6888 A      5555 A   
  30.00 keV   1.885E+02  8.199E+00    9709 A      7195 A      5840 A   
  32.50 keV   1.980E+02  7.949E+00    1.04 um     7482 A      6110 A   
  35.00 keV   2.073E+02  7.717E+00    1.11 um     7751 A      6367 A   
  37.50 keV   2.163E+02  7.500E+00    1.18 um     8003 A      6611 A   
  40.00 keV   2.251E+02  7.296E+00    1.25 um     8241 A      6845 A   
  45.00 keV   2.419E+02  6.926E+00    1.38 um     8677 A      7283 A   
  50.00 keV   2.579E+02  6.598E+00    1.51 um     9069 A      7687 A   
  55.00 keV   2.730E+02  6.305E+00    1.64 um     9425 A      8062 A   
  60.00 keV   2.874E+02  6.040E+00    1.76 um     9751 A      8412 A   
  65.00 keV   3.011E+02  5.801E+00    1.88 um     1.00 um     8741 A   
  70.00 keV   3.142E+02  5.583E+00    1.99 um     1.03 um     9049 A   
  80.00 keV   3.387E+02  5.199E+00    2.22 um     1.08 um     9619 A   
  90.00 keV   3.612E+02  4.873E+00    2.44 um     1.13 um     1.01 um  
 100.00 keV   3.821E+02  4.591E+00    2.65 um     1.16 um     1.06 um  
 110.00 keV   4.015E+02  4.344E+00    2.85 um     1.20 um     1.10 um  
 120.00 keV   4.196E+02  4.127E+00    3.05 um     1.23 um     1.14 um  
 130.00 keV   4.366E+02  3.933E+00    3.24 um     1.26 um     1.18 um  
 140.00 keV   4.525E+02  3.759E+00    3.43 um     1.28 um     1.22 um  
 150.00 keV   4.675E+02  3.602E+00    3.61 um     1.31 um     1.25 um  
 160.00 keV   4.815E+02  3.460E+00    3.79 um     1.33 um     1.28 um  
 170.00 keV   4.948E+02  3.330E+00    3.97 um     1.35 um     1.31 um  
 180.00 keV   5.073E+02  3.210E+00    4.14 um     1.37 um     1.34 um  
 200.00 keV   5.300E+02  2.999E+00    4.48 um     1.40 um     1.39 um  
 225.00 keV   5.549E+02  2.775E+00    4.89 um     1.44 um     1.45 um  
 250.00 keV   5.761E+02  2.587E+00    5.29 um     1.48 um     1.51 um  
 275.00 keV   5.943E+02  2.425E+00    5.68 um     1.51 um     1.56 um  
 300.00 keV   6.097E+02  2.284E+00    6.06 um     1.54 um     1.60 um  
 325.00 keV   6.228E+02  2.161E+00    6.44 um     1.57 um     1.65 um  
 350.00 keV   6.338E+02  2.052E+00    6.81 um     1.59 um     1.69 um  
 375.00 keV   6.429E+02  1.955E+00    7.17 um     1.61 um     1.73 um  
 400.00 keV   6.504E+02  1.867E+00    7.53 um     1.63 um     1.77 um  
 450.00 keV   6.614E+02  1.716E+00    8.25 um     1.68 um     1.84 um  
 500.00 keV   6.681E+02  1.590E+00    8.96 um     1.71 um     1.91 um  
 550.00 keV   6.713E+02  1.483E+00    9.68 um     1.75 um     1.98 um  
 600.00 keV   6.720E+02  1.391E+00   10.39 um     1.78 um     2.04 um  
 650.00 keV   6.707E+02  1.311E+00   11.10 um     1.81 um     2.10 um  
 700.00 keV   6.678E+02  1.240E+00   11.82 um     1.84 um     2.16 um  
 800.00 keV   6.587E+02  1.122E+00   13.28 um     1.91 um     2.28 um  
 900.00 keV   6.469E+02  1.025E+00   14.76 um     1.97 um     2.39 um  
   1.00 MeV   6.336E+02  9.460E-01   16.28 um     2.03 um     2.50 um  
   1.10 MeV   6.196E+02  8.789E-01   17.84 um     2.08 um     2.62 um  
   1.20 MeV   6.054E+02  8.215E-01   19.43 um     2.14 um     2.73 um  
   1.30 MeV   5.912E+02  7.718E-01   21.07 um     2.20 um     2.84 um  
   1.40 MeV   5.774E+02  7.283E-01   22.74 um     2.26 um     2.95 um  
   1.50 MeV   5.640E+02  6.898E-01   24.46 um     2.31 um     3.06 um  
   1.60 MeV   5.510E+02  6.555E-01   26.22 um     2.37 um     3.18 um  
   1.70 MeV   5.386E+02  6.248E-01   28.02 um     2.43 um     3.30 um  
   1.80 MeV   5.267E+02  5.971E-01   29.86 um     2.49 um     3.41 um  
   2.00 MeV   5.043E+02  5.489E-01   33.68 um     2.64 um     3.65 um  
   2.25 MeV   4.790E+02  4.994E-01   38.69 um     2.84 um     3.97 um  
   2.50 MeV   4.563E+02  4.587E-01   43.96 um     3.05 um     4.29 um  
   2.75 MeV   4.360E+02  4.246E-01   49.49 um     3.27 um     4.63 um  
   3.00 MeV   4.176E+02  3.956E-01   55.28 um     3.49 um     4.98 um  
   3.25 MeV   4.010E+02  3.705E-01   61.31 um     3.71 um     5.34 um  
   3.50 MeV   3.859E+02  3.487E-01   67.59 um     3.94 um     5.71 um  
   3.75 MeV   3.721E+02  3.295E-01   74.11 um     4.18 um     6.10 um  
   4.00 MeV   3.594E+02  3.124E-01   80.87 um     4.42 um     6.49 um  
   4.50 MeV   3.370E+02  2.835E-01   95.09 um     5.11 um     7.32 um  
   5.00 MeV   3.177E+02  2.597E-01  110.22 um     5.80 um     8.20 um  
   5.50 MeV   3.010E+02  2.399E-01  126.23 um     6.49 um     9.12 um  
