# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.138E+01  2.310E+01    3472 A      3461 A      2669 A   
  11.00 keV   8.420E+01  2.243E+01    3845 A      3719 A      2881 A   
  12.00 keV   8.806E+01  2.179E+01    4221 A      3970 A      3089 A   
  13.00 keV   9.289E+01  2.120E+01    4596 A      4212 A      3293 A   
  14.00 keV   9.814E+01  2.064E+01    4967 A      4444 A      3489 A   
  15.00 keV   1.034E+02  2.011E+01    5333 A      4665 A      3679 A   
  16.00 keV   1.084E+02  1.961E+01    5696 A      4876 A      3862 A   
  17.00 keV   1.133E+02  1.914E+01    6056 A      5078 A      4038 A   
  18.00 keV   1.179E+02  1.870E+01    6413 A      5271 A      4209 A   
  20.00 keV   1.266E+02  1.788E+01    7122 A      5634 A      4536 A   
  22.50 keV   1.368E+02  1.697E+01    7997 A      6052 A      4919 A   
  25.00 keV   1.463E+02  1.616E+01    8860 A      6436 A      5277 A   
  27.50 keV   1.552E+02  1.544E+01    9713 A      6792 A      5615 A   
  30.00 keV   1.638E+02  1.479E+01    1.06 um     7123 A      5935 A   
  32.50 keV   1.720E+02  1.420E+01    1.14 um     7431 A      6238 A   
  35.00 keV   1.798E+02  1.367E+01    1.22 um     7720 A      6527 A   
  37.50 keV   1.874E+02  1.318E+01    1.30 um     7991 A      6802 A   
  40.00 keV   1.948E+02  1.273E+01    1.38 um     8247 A      7066 A   
  45.00 keV   2.088E+02  1.192E+01    1.54 um     8714 A      7562 A   
  50.00 keV   2.221E+02  1.123E+01    1.69 um     9135 A      8020 A   
  55.00 keV   2.348E+02  1.063E+01    1.84 um     9516 A      8446 A   
  60.00 keV   2.469E+02  1.009E+01    1.99 um     9864 A      8844 A   
  65.00 keV   2.584E+02  9.618E+00    2.13 um     1.02 um     9217 A   
  70.00 keV   2.695E+02  9.192E+00    2.27 um     1.05 um     9567 A   
  80.00 keV   2.905E+02  8.458E+00    2.54 um     1.10 um     1.02 um  
  90.00 keV   3.100E+02  7.847E+00    2.80 um     1.15 um     1.08 um  
 100.00 keV   3.283E+02  7.329E+00    3.05 um     1.19 um     1.13 um  
 110.00 keV   3.455E+02  6.883E+00    3.29 um     1.22 um     1.18 um  
 120.00 keV   3.618E+02  6.495E+00    3.52 um     1.25 um     1.23 um  
 130.00 keV   3.771E+02  6.154E+00    3.75 um     1.28 um     1.27 um  
 140.00 keV   3.917E+02  5.851E+00    3.97 um     1.31 um     1.31 um  
 150.00 keV   4.056E+02  5.580E+00    4.19 um     1.33 um     1.34 um  
 160.00 keV   4.187E+02  5.336E+00    4.40 um     1.36 um     1.38 um  
 170.00 keV   4.313E+02  5.115E+00    4.60 um     1.38 um     1.41 um  
 180.00 keV   4.432E+02  4.913E+00    4.81 um     1.40 um     1.44 um  
 200.00 keV   4.656E+02  4.560E+00    5.20 um     1.43 um     1.49 um  
 225.00 keV   4.908E+02  4.190E+00    5.67 um     1.47 um     1.56 um  
 250.00 keV   5.135E+02  3.882E+00    6.13 um     1.50 um     1.62 um  
 275.00 keV   5.339E+02  3.620E+00    6.57 um     1.53 um     1.67 um  
 300.00 keV   5.523E+02  3.395E+00    6.99 um     1.56 um     1.72 um  
 325.00 keV   5.689E+02  3.199E+00    7.41 um     1.58 um     1.76 um  
 350.00 keV   5.839E+02  3.027E+00    7.82 um     1.61 um     1.80 um  
 375.00 keV   5.975E+02  2.874E+00    8.22 um     1.63 um     1.84 um  
 400.00 keV   6.097E+02  2.737E+00    8.61 um     1.65 um     1.88 um  
 450.00 keV   6.308E+02  2.502E+00    9.38 um     1.68 um     1.95 um  
 500.00 keV   6.479E+02  2.308E+00   10.13 um     1.71 um     2.01 um  
