# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.437E+01  8.902E+00    4045 A      5275 A      3958 A   
  11.00 keV   6.763E+01  8.794E+00    4427 A      5616 A      4226 A   
  12.00 keV   7.075E+01  8.682E+00    4809 A      5945 A      4485 A   
  13.00 keV   7.375E+01  8.570E+00    5192 A      6263 A      4737 A   
  14.00 keV   7.665E+01  8.457E+00    5575 A      6572 A      4984 A   
  15.00 keV   7.944E+01  8.345E+00    5959 A      6871 A      5224 A   
  16.00 keV   8.215E+01  8.235E+00    6342 A      7161 A      5458 A   
  17.00 keV   8.479E+01  8.126E+00    6726 A      7444 A      5688 A   
  18.00 keV   8.735E+01  8.020E+00    7110 A      7719 A      5913 A   
  20.00 keV   9.228E+01  7.814E+00    7878 A      8246 A      6351 A   
  22.50 keV   9.812E+01  7.569E+00    8838 A      8870 A      6877 A   
  25.00 keV   1.037E+02  7.339E+00    9796 A      9462 A      7379 A   
  27.50 keV   1.090E+02  7.124E+00    1.08 um     1.00 um     7861 A   
  30.00 keV   1.140E+02  6.922E+00    1.17 um     1.06 um     8324 A   
  32.50 keV   1.189E+02  6.732E+00    1.26 um     1.11 um     8772 A   
  35.00 keV   1.236E+02  6.554E+00    1.36 um     1.16 um     9204 A   
  37.50 keV   1.281E+02  6.387E+00    1.45 um     1.20 um     9622 A   
  40.00 keV   1.325E+02  6.229E+00    1.55 um     1.25 um     1.00 um  
  45.00 keV   1.410E+02  5.939E+00    1.73 um     1.33 um     1.08 um  
  50.00 keV   1.489E+02  5.679E+00    1.92 um     1.41 um     1.15 um  
  55.00 keV   1.566E+02  5.444E+00    2.10 um     1.48 um     1.22 um  
  60.00 keV   1.638E+02  5.231E+00    2.28 um     1.55 um     1.29 um  
  65.00 keV   1.708E+02  5.037E+00    2.45 um     1.61 um     1.35 um  
  70.00 keV   1.776E+02  4.859E+00    2.63 um     1.67 um     1.41 um  
  80.00 keV   1.904E+02  4.544E+00    2.97 um     1.78 um     1.53 um  
  90.00 keV   2.024E+02  4.274E+00    3.31 um     1.88 um     1.63 um  
 100.00 keV   2.137E+02  4.039E+00    3.63 um     1.97 um     1.73 um  
 110.00 keV   2.245E+02  3.832E+00    3.95 um     2.05 um     1.82 um  
 120.00 keV   2.348E+02  3.649E+00    4.27 um     2.13 um     1.91 um  
 130.00 keV   2.446E+02  3.484E+00    4.57 um     2.19 um     1.99 um  
 140.00 keV   2.540E+02  3.337E+00    4.87 um     2.26 um     2.06 um  
 150.00 keV   2.631E+02  3.203E+00    5.17 um     2.32 um     2.13 um  
 160.00 keV   2.717E+02  3.081E+00    5.46 um     2.37 um     2.20 um  
 170.00 keV   2.801E+02  2.969E+00    5.74 um     2.42 um     2.27 um  
 180.00 keV   2.882E+02  2.866E+00    6.02 um     2.47 um     2.33 um  
 200.00 keV   3.035E+02  2.684E+00    6.57 um     2.56 um     2.45 um  
 225.00 keV   3.212E+02  2.490E+00    7.23 um     2.66 um     2.58 um  
 250.00 keV   3.374E+02  2.325E+00    7.86 um     2.75 um     2.70 um  
 275.00 keV   3.524E+02  2.184E+00    8.48 um     2.83 um     2.81 um  
 300.00 keV   3.662E+02  2.061E+00    9.08 um     2.90 um     2.92 um  
 325.00 keV   3.788E+02  1.952E+00    9.67 um     2.96 um     3.01 um  
 350.00 keV   3.904E+02  1.856E+00   10.24 um     3.02 um     3.11 um  
 375.00 keV   4.010E+02  1.770E+00   10.80 um     3.08 um     3.19 um  
 400.00 keV   4.107E+02  1.693E+00   11.36 um     3.13 um     3.27 um  
 450.00 keV   4.274E+02  1.558E+00   12.44 um     3.22 um     3.42 um  
 500.00 keV   4.409E+02  1.446E+00   13.49 um     3.31 um     3.56 um  
 550.00 keV   4.515E+02  1.351E+00   14.52 um     3.38 um     3.69 um  
 600.00 keV   4.596E+02  1.268E+00   15.54 um     3.45 um     3.81 um  
 650.00 keV   4.654E+02  1.196E+00   16.55 um     3.51 um     3.93 um  
 700.00 keV   4.694E+02  1.133E+00   17.55 um     3.57 um     4.04 um  
 800.00 keV   4.726E+02  1.026E+00   19.56 um     3.69 um     4.25 um  
 900.00 keV   4.714E+02  9.398E-01   21.57 um     3.80 um     4.44 um  
   1.00 MeV   4.673E+02  8.680E-01   23.60 um     3.90 um     4.64 um  
   1.10 MeV   4.614E+02  8.073E-01   25.67 um     4.00 um     4.82 um  
   1.20 MeV   4.545E+02  7.553E-01   27.77 um     4.09 um     5.00 um  
   1.30 MeV   4.472E+02  7.101E-01   29.91 um     4.18 um     5.19 um  
   1.40 MeV   4.398E+02  6.706E-01   32.09 um     4.27 um     5.37 um  
   1.50 MeV   4.324E+02  6.356E-01   34.31 um     4.36 um     5.55 um  
   1.60 MeV   4.253E+02  6.044E-01   36.57 um     4.45 um     5.72 um  
   1.70 MeV   4.183E+02  5.763E-01   38.88 um     4.53 um     5.90 um  
   1.80 MeV   4.117E+02  5.510E-01   41.22 um     4.62 um     6.08 um  
   2.00 MeV   3.991E+02  5.070E-01   46.03 um     4.82 um     6.45 um  
   2.25 MeV   3.847E+02  4.618E-01   52.26 um     5.08 um     6.91 um  
   2.50 MeV   3.716E+02  4.245E-01   58.73 um     5.34 um     7.38 um  
   2.75 MeV   3.595E+02  3.932E-01   65.43 um     5.60 um     7.85 um  
   3.00 MeV   3.483E+02  3.666E-01   72.36 um     5.87 um     8.34 um  
   3.25 MeV   3.378E+02  3.436E-01   79.51 um     6.14 um     8.83 um  
   3.50 MeV   3.279E+02  3.235E-01   86.90 um     6.41 um     9.34 um  
   3.75 MeV   3.187E+02  3.058E-01   94.50 um     6.69 um     9.85 um  
   4.00 MeV   3.099E+02  2.901E-01  102.33 um     6.97 um    10.38 um  
   4.50 MeV   2.938E+02  2.634E-01  118.65 um     7.71 um    11.46 um  
   5.00 MeV   2.792E+02  2.415E-01  135.87 um     8.46 um    12.58 um  
   5.50 MeV   2.660E+02  2.232E-01  153.97 um     9.22 um    13.75 um  
   6.00 MeV   2.540E+02  2.077E-01  172.96 um    10.00 um    14.96 um  
   6.50 MeV   2.431E+02  1.943E-01  192.83 um    10.79 um    16.22 um  
   7.00 MeV   2.330E+02  1.827E-01  213.59 um    11.59 um    17.52 um  
   8.00 MeV   2.153E+02  1.633E-01  257.74 um    13.95 um    20.27 um  
   9.00 MeV   2.028E+02  1.480E-01  305.09 um    16.27 um    23.18 um  
  10.00 MeV   1.908E+02  1.354E-01  355.42 um    18.57 um    26.23 um  
