# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.600E+01  8.656E+00    4175 A      5790 A      4323 A   
  11.00 keV   5.915E+01  8.556E+00    4571 A      6168 A      4616 A   
  12.00 keV   6.218E+01  8.453E+00    4967 A      6531 A      4900 A   
  13.00 keV   6.513E+01  8.348E+00    5362 A      6882 A      5175 A   
  14.00 keV   6.799E+01  8.242E+00    5758 A      7220 A      5443 A   
  15.00 keV   7.077E+01  8.137E+00    6154 A      7548 A      5703 A   
  16.00 keV   7.349E+01  8.033E+00    6549 A      7866 A      5957 A   
  17.00 keV   7.615E+01  7.930E+00    6945 A      8174 A      6204 A   
  18.00 keV   7.874E+01  7.829E+00    7340 A      8473 A      6446 A   
  20.00 keV   8.379E+01  7.633E+00    8131 A      9043 A      6917 A   
  22.50 keV   8.983E+01  7.401E+00    9117 A      9715 A      7476 A   
  25.00 keV   9.564E+01  7.181E+00    1.01 um     1.03 um     8008 A   
  27.50 keV   1.012E+02  6.975E+00    1.11 um     1.09 um     8516 A   
  30.00 keV   1.066E+02  6.781E+00    1.20 um     1.15 um     9002 A   
  32.50 keV   1.119E+02  6.599E+00    1.30 um     1.20 um     9468 A   
  35.00 keV   1.170E+02  6.427E+00    1.40 um     1.26 um     9917 A   
  37.50 keV   1.219E+02  6.266E+00    1.49 um     1.30 um     1.03 um  
  40.00 keV   1.268E+02  6.113E+00    1.59 um     1.35 um     1.08 um  
  45.00 keV   1.361E+02  5.833E+00    1.77 um     1.44 um     1.16 um  
  50.00 keV   1.449E+02  5.581E+00    1.96 um     1.52 um     1.23 um  
  55.00 keV   1.535E+02  5.354E+00    2.14 um     1.59 um     1.30 um  
  60.00 keV   1.616E+02  5.147E+00    2.32 um     1.66 um     1.37 um  
  65.00 keV   1.695E+02  4.958E+00    2.49 um     1.72 um     1.43 um  
  70.00 keV   1.771E+02  4.785E+00    2.66 um     1.78 um     1.49 um  
  80.00 keV   1.915E+02  4.478E+00    3.00 um     1.89 um     1.60 um  
  90.00 keV   2.049E+02  4.214E+00    3.33 um     1.99 um     1.70 um  
 100.00 keV   2.175E+02  3.984E+00    3.65 um     2.07 um     1.80 um  
 110.00 keV   2.293E+02  3.782E+00    3.96 um     2.15 um     1.88 um  
 120.00 keV   2.404E+02  3.602E+00    4.27 um     2.22 um     1.97 um  
 130.00 keV   2.509E+02  3.442E+00    4.56 um     2.29 um     2.04 um  
 140.00 keV   2.608E+02  3.297E+00    4.85 um     2.35 um     2.12 um  
 150.00 keV   2.701E+02  3.165E+00    5.14 um     2.41 um     2.19 um  
 160.00 keV   2.789E+02  3.046E+00    5.42 um     2.46 um     2.25 um  
 170.00 keV   2.873E+02  2.936E+00    5.70 um     2.51 um     2.31 um  
 180.00 keV   2.952E+02  2.835E+00    5.97 um     2.56 um     2.37 um  
 200.00 keV   3.100E+02  2.655E+00    6.50 um     2.64 um     2.48 um  
 225.00 keV   3.265E+02  2.464E+00    7.15 um     2.74 um     2.61 um  
 250.00 keV   3.411E+02  2.302E+00    7.78 um     2.82 um     2.73 um  
 275.00 keV   3.541E+02  2.163E+00    8.39 um     2.90 um     2.84 um  
