# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.061E+01  9.708E+00    4026 A      5383 A      4031 A   
  11.00 keV   6.407E+01  9.581E+00    4410 A      5735 A      4306 A   
  12.00 keV   6.744E+01  9.451E+00    4793 A      6073 A      4572 A   
  13.00 keV   7.070E+01  9.321E+00    5176 A      6398 A      4829 A   
  14.00 keV   7.389E+01  9.191E+00    5558 A      6712 A      5078 A   
  15.00 keV   7.700E+01  9.063E+00    5941 A      7015 A      5321 A   
  16.00 keV   8.005E+01  8.937E+00    6322 A      7308 A      5557 A   
  17.00 keV   8.303E+01  8.813E+00    6704 A      7591 A      5787 A   
  18.00 keV   8.595E+01  8.693E+00    7084 A      7866 A      6011 A   
  20.00 keV   9.166E+01  8.460E+00    7845 A      8388 A      6446 A   
  22.50 keV   9.854E+01  8.185E+00    8790 A      9001 A      6962 A   
  25.00 keV   1.052E+02  7.927E+00    9729 A      9576 A      7450 A   
  27.50 keV   1.116E+02  7.687E+00    1.07 um     1.01 um     7914 A   
  30.00 keV   1.179E+02  7.463E+00    1.16 um     1.06 um     8357 A   
  32.50 keV   1.240E+02  7.252E+00    1.25 um     1.11 um     8780 A   
  35.00 keV   1.299E+02  7.055E+00    1.34 um     1.16 um     9185 A   
  37.50 keV   1.357E+02  6.870E+00    1.43 um     1.20 um     9573 A   
  40.00 keV   1.414E+02  6.696E+00    1.52 um     1.24 um     9947 A   
  45.00 keV   1.524E+02  6.377E+00    1.69 um     1.32 um     1.07 um  
  50.00 keV   1.630E+02  6.092E+00    1.87 um     1.38 um     1.13 um  
  55.00 keV   1.731E+02  5.835E+00    2.03 um     1.45 um     1.19 um  
  60.00 keV   1.829E+02  5.603E+00    2.20 um     1.51 um     1.25 um  
  65.00 keV   1.923E+02  5.391E+00    2.36 um     1.56 um     1.31 um  
  70.00 keV   2.013E+02  5.198E+00    2.52 um     1.61 um     1.36 um  
  80.00 keV   2.184E+02  4.856E+00    2.83 um     1.70 um     1.45 um  
  90.00 keV   2.341E+02  4.563E+00    3.13 um     1.78 um     1.54 um  
 100.00 keV   2.485E+02  4.308E+00    3.42 um     1.85 um     1.62 um  
 110.00 keV   2.617E+02  4.085E+00    3.70 um     1.92 um     1.69 um  
 120.00 keV   2.738E+02  3.887E+00    3.97 um     1.98 um     1.76 um  
 130.00 keV   2.848E+02  3.710E+00    4.24 um     2.03 um     1.83 um  
 140.00 keV   2.949E+02  3.551E+00    4.51 um     2.08 um     1.89 um  
 150.00 keV   3.041E+02  3.407E+00    4.77 um     2.13 um     1.95 um  
