# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.085E+02  5.041E+01    2698 A      1348 A      1145 A   
  11.00 keV   2.187E+02  4.795E+01    2966 A      1432 A      1230 A   
  12.00 keV   2.285E+02  4.575E+01    3232 A      1511 A      1311 A   
  13.00 keV   2.379E+02  4.378E+01    3495 A      1586 A      1389 A   
  14.00 keV   2.469E+02  4.200E+01    3755 A      1657 A      1464 A   
  15.00 keV   2.556E+02  4.038E+01    4012 A      1724 A      1536 A   
  16.00 keV   2.641E+02  3.890E+01    4266 A      1787 A      1606 A   
  17.00 keV   2.723E+02  3.754E+01    4518 A      1848 A      1673 A   
  18.00 keV   2.802E+02  3.629E+01    4767 A      1905 A      1737 A   
  20.00 keV   2.955E+02  3.405E+01    5256 A      2012 A      1860 A   
  22.50 keV   3.135E+02  3.166E+01    5853 A      2133 A      2004 A   
  25.00 keV   3.306E+02  2.963E+01    6434 A      2242 A      2136 A   
  27.50 keV   3.469E+02  2.788E+01    7000 A      2341 A      2260 A   
  30.00 keV   3.624E+02  2.634E+01    7552 A      2431 A      2375 A   
  32.50 keV   3.773E+02  2.499E+01    8091 A      2514 A      2483 A   
  35.00 keV   3.916E+02  2.379E+01    8618 A      2590 A      2585 A   
  37.50 keV   4.054E+02  2.271E+01    9133 A      2660 A      2681 A   
  40.00 keV   4.187E+02  2.174E+01    9637 A      2726 A      2772 A   
  45.00 keV   4.441E+02  2.006E+01    1.06 um     2844 A      2940 A   
  50.00 keV   4.680E+02  1.864E+01    1.16 um     2949 A      3092 A   
  55.00 keV   4.906E+02  1.743E+01    1.25 um     3042 A      3232 A   
  60.00 keV   5.122E+02  1.639E+01    1.33 um     3125 A      3360 A   
  65.00 keV   5.327E+02  1.548E+01    1.42 um     3200 A      3479 A   
  70.00 keV   5.524E+02  1.467E+01    1.50 um     3268 A      3589 A   
  80.00 keV   5.894E+02  1.331E+01    1.66 um     3391 A      3788 A   
  90.00 keV   6.237E+02  1.220E+01    1.81 um     3496 A      3964 A   
 100.00 keV   6.559E+02  1.128E+01    1.96 um     3587 A      4121 A   
 110.00 keV   6.861E+02  1.050E+01    2.10 um     3666 A      4263 A   
 120.00 keV   7.146E+02  9.836E+00    2.23 um     3737 A      4392 A   
 130.00 keV   7.417E+02  9.256E+00    2.36 um     3800 A      4510 A   
 140.00 keV   7.674E+02  8.746E+00    2.49 um     3858 A      4619 A   
 150.00 keV   7.920E+02  8.295E+00    2.61 um     3910 A      4721 A   
 160.00 keV   8.154E+02  7.892E+00    2.73 um     3958 A      4815 A   
 170.00 keV   8.378E+02  7.530E+00    2.85 um     4002 A      4903 A   
 180.00 keV   8.593E+02  7.203E+00    2.96 um     4043 A      4986 A   
 200.00 keV   8.997E+02  6.634E+00    3.18 um     4121 A      5138 A   
 225.00 keV   9.460E+02  6.047E+00    3.44 um     4210 A      5307 A   
 250.00 keV   9.880E+02  5.563E+00    3.69 um     4286 A      5456 A   
 275.00 keV   1.026E+03  5.157E+00    3.94 um     4354 A      5591 A   
 300.00 keV   1.061E+03  4.811E+00    4.17 um     4415 A      5713 A   
 325.00 keV   1.093E+03  4.512E+00    4.40 um     4469 A      5825 A   
 350.00 keV   1.122E+03  4.250E+00    4.62 um     4519 A      5929 A   
 375.00 keV   1.149E+03  4.020E+00    4.84 um     4565 A      6025 A   
 400.00 keV   1.173E+03  3.815E+00    5.05 um     4608 A      6115 A   
 450.00 keV   1.215E+03  3.466E+00    5.46 um     4703 A      6280 A   
 500.00 keV   1.250E+03  3.180E+00    5.86 um     4789 A      6428 A   
 550.00 keV   1.278E+03  2.941E+00    6.25 um     4866 A      6563 A   
 600.00 keV   1.300E+03  2.737E+00    6.64 um     4938 A      6688 A   
 650.00 keV   1.317E+03  2.562E+00    7.02 um     5005 A      6805 A   
 700.00 keV   1.330E+03  2.410E+00    7.39 um     5068 A      6915 A   
 800.00 keV   1.346E+03  2.156E+00    8.13 um     5239 A      7119 A   
 900.00 keV   1.350E+03  1.954E+00    8.87 um     5399 A      7308 A   
   1.00 MeV   1.347E+03  1.789E+00    9.61 um     5551 A      7485 A   
   1.10 MeV   1.337E+03  1.651E+00   10.35 um     5698 A      7654 A   
   1.20 MeV   1.323E+03  1.534E+00   11.10 um     5842 A      7817 A   
   1.30 MeV   1.306E+03  1.434E+00   11.85 um     5985 A      7975 A   
   1.40 MeV   1.288E+03  1.347E+00   12.62 um     6126 A      8131 A   
   1.50 MeV   1.267E+03  1.270E+00   13.40 um     6267 A      8284 A   
   1.60 MeV   1.246E+03  1.202E+00   14.20 um     6409 A      8436 A   
   1.70 MeV   1.224E+03  1.142E+00   15.00 um     6551 A      8588 A   
   1.80 MeV   1.202E+03  1.087E+00   15.82 um     6695 A      8739 A   
   2.00 MeV   1.157E+03  9.938E-01   17.52 um     7188 A      9044 A   
   2.25 MeV   1.103E+03  8.984E-01   19.72 um     7931 A      9431 A   
   2.50 MeV   1.050E+03  8.206E-01   22.04 um     8674 A      9829 A   
   2.75 MeV   1.001E+03  7.559E-01   24.48 um     9423 A      1.02 um  
   3.00 MeV   9.550E+02  7.012E-01   27.03 um     1.02 um     1.07 um  
   3.25 MeV   9.123E+02  6.543E-01   29.70 um     1.10 um     1.11 um  
   3.50 MeV   8.729E+02  6.136E-01   32.50 um     1.17 um     1.16 um  
   3.75 MeV   8.366E+02  5.779E-01   35.42 um     1.25 um     1.21 um  
   4.00 MeV   8.031E+02  5.464E-01   38.46 um     1.34 um     1.26 um  
   4.50 MeV   7.435E+02  4.932E-01   44.93 um     1.64 um     1.37 um  
   5.00 MeV   6.924E+02  4.499E-01   51.89 um     1.93 um     1.48 um  
   5.50 MeV   6.483E+02  4.139E-01   59.34 um     2.22 um     1.61 um  
   6.00 MeV   6.098E+02  3.835E-01   67.28 um     2.50 um     1.75 um  
   6.50 MeV   5.760E+02  3.576E-01   75.71 um     2.79 um     1.89 um  
   7.00 MeV   5.460E+02  3.350E-01   84.62 um     3.09 um     2.05 um  
   8.00 MeV   4.954E+02  2.979E-01  103.82 um     4.15 um     2.38 um  
   9.00 MeV   4.562E+02  2.685E-01  124.84 um     5.14 um     2.75 um  
  10.00 MeV   4.197E+02  2.447E-01  147.67 um     6.11 um     3.15 um  
