#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.223E+02  2.606E+01     389 A       333 A       261 A   
  11.00 keV   1.261E+02  2.524E+01     429 A       356 A       281 A   
  12.00 keV   1.303E+02  2.448E+01     470 A       378 A       300 A   
  13.00 keV   1.359E+02  2.376E+01     510 A       399 A       319 A   
  14.00 keV   1.425E+02  2.310E+01     550 A       420 A       337 A   
  15.00 keV   1.496E+02  2.247E+01     590 A       439 A       354 A   
  16.00 keV   1.568E+02  2.189E+01     629 A       458 A       371 A   
  17.00 keV   1.639E+02  2.134E+01     667 A       475 A       387 A   
  18.00 keV   1.707E+02  2.082E+01     705 A       492 A       403 A   
  20.00 keV   1.837E+02  1.987E+01     779 A       523 A       432 A   
  22.50 keV   1.987E+02  1.881E+01     870 A       558 A       466 A   
  25.00 keV   2.127E+02  1.788E+01     958 A       590 A       498 A   
  27.50 keV   2.259E+02  1.705E+01    1044 A       620 A       528 A   
  30.00 keV   2.385E+02  1.630E+01    1129 A       647 A       555 A   
  32.50 keV   2.505E+02  1.563E+01    1212 A       671 A       581 A   
  35.00 keV   2.621E+02  1.502E+01    1293 A       694 A       606 A   
  37.50 keV   2.732E+02  1.447E+01    1373 A       716 A       629 A   
  40.00 keV   2.840E+02  1.396E+01    1451 A       736 A       651 A   
  45.00 keV   3.046E+02  1.305E+01    1604 A       772 A       692 A   
  50.00 keV   3.241E+02  1.228E+01    1751 A       804 A       730 A   
  55.00 keV   3.426E+02  1.160E+01    1894 A       833 A       764 A   
  60.00 keV   3.602E+02  1.100E+01    2033 A       859 A       796 A   
  65.00 keV   3.771E+02  1.047E+01    2168 A       883 A       826 A   
  70.00 keV   3.933E+02  9.999E+00    2299 A       904 A       854 A   
  80.00 keV   4.238E+02  9.185E+00    2552 A       942 A       904 A   
  90.00 keV   4.522E+02  8.510E+00    2793 A       975 A       949 A   
 100.00 keV   4.787E+02  7.938E+00    3025 A      1004 A       990 A   
 110.00 keV   5.035E+02  7.448E+00    3248 A      1029 A      1027 A   
 120.00 keV   5.269E+02  7.021E+00    3464 A      1052 A      1061 A   
 130.00 keV   5.488E+02  6.647E+00    3672 A      1072 A      1092 A   
 140.00 keV   5.696E+02  6.315E+00    3875 A      1090 A      1121 A   
 150.00 keV   5.892E+02  6.018E+00    4072 A      1107 A      1148 A   
