# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.660E+01  6.172E+00    4256 A      5621 A      4210 A   
  11.00 keV   7.022E+01  6.131E+00    4634 A      5961 A      4476 A   
  12.00 keV   7.369E+01  6.085E+00    5010 A      6288 A      4733 A   
  13.00 keV   7.702E+01  6.036E+00    5385 A      6602 A      4981 A   
  14.00 keV   8.025E+01  5.984E+00    5758 A      6905 A      5222 A   
  15.00 keV   8.337E+01  5.930E+00    6130 A      7198 A      5456 A   
  16.00 keV   8.640E+01  5.876E+00    6501 A      7482 A      5684 A   
  17.00 keV   8.934E+01  5.820E+00    6870 A      7756 A      5905 A   
  18.00 keV   9.220E+01  5.765E+00    7239 A      8023 A      6122 A   
  20.00 keV   9.771E+01  5.654E+00    7974 A      8531 A      6542 A   
  22.50 keV   1.042E+02  5.518E+00    8887 A      9130 A      7042 A   
  25.00 keV   1.105E+02  5.387E+00    9793 A      9695 A      7518 A   
  27.50 keV   1.164E+02  5.260E+00    1.07 um     1.02 um     7972 A   
  30.00 keV   1.220E+02  5.139E+00    1.16 um     1.07 um     8407 A   
  32.50 keV   1.275E+02  5.023E+00    1.25 um     1.12 um     8825 A   
  35.00 keV   1.327E+02  4.913E+00    1.34 um     1.17 um     9228 A   
  37.50 keV   1.378E+02  4.808E+00    1.42 um     1.21 um     9617 A   
  40.00 keV   1.426E+02  4.707E+00    1.51 um     1.25 um     9994 A   
  45.00 keV   1.520E+02  4.519E+00    1.68 um     1.33 um     1.07 um  
  50.00 keV   1.608E+02  4.348E+00    1.85 um     1.41 um     1.14 um  
  55.00 keV   1.691E+02  4.191E+00    2.02 um     1.47 um     1.20 um  
  60.00 keV   1.771E+02  4.047E+00    2.18 um     1.54 um     1.26 um  
  65.00 keV   1.846E+02  3.913E+00    2.35 um     1.60 um     1.32 um  
  70.00 keV   1.919E+02  3.790E+00    2.51 um     1.65 um     1.38 um  
  80.00 keV   2.056E+02  3.569E+00    2.82 um     1.76 um     1.48 um  
  90.00 keV   2.182E+02  3.376E+00    3.13 um     1.85 um     1.58 um  
 100.00 keV   2.300E+02  3.207E+00    3.43 um     1.93 um     1.67 um  
 110.00 keV   2.411E+02  3.056E+00    3.73 um     2.01 um     1.76 um  
 120.00 keV   2.514E+02  2.921E+00    4.02 um     2.08 um     1.83 um  
 130.00 keV   2.612E+02  2.799E+00    4.30 um     2.15 um     1.91 um  
 140.00 keV   2.704E+02  2.689E+00    4.58 um     2.21 um     1.98 um  
 150.00 keV   2.790E+02  2.588E+00    4.86 um     2.27 um     2.05 um  
 160.00 keV   2.873E+02  2.496E+00    5.13 um     2.32 um     2.12 um  
 170.00 keV   2.951E+02  2.411E+00    5.39 um     2.38 um     2.18 um  
 180.00 keV   3.025E+02  2.333E+00    5.66 um     2.42 um     2.24 um  
 200.00 keV   3.162E+02  2.193E+00    6.17 um     2.51 um     2.35 um  
 225.00 keV   3.315E+02  2.043E+00    6.80 um     2.61 um     2.48 um  
 250.00 keV   3.450E+02  1.915E+00    7.42 um     2.70 um     2.60 um  
 275.00 keV   3.570E+02  1.804E+00    8.02 um     2.79 um     2.72 um  
 300.00 keV   3.676E+02  1.707E+00    8.61 um     2.86 um     2.82 um  
 325.00 keV   3.770E+02  1.621E+00    9.19 um     2.93 um     2.93 um  
 350.00 keV   3.853E+02  1.544E+00    9.76 um     3.00 um     3.02 um  
 375.00 keV   3.927E+02  1.476E+00   10.33 um     3.06 um     3.11 um  
 400.00 keV   3.992E+02  1.414E+00   10.89 um     3.12 um     3.20 um  
 450.00 keV   4.099E+02  1.306E+00   11.99 um     3.22 um     3.37 um  
 500.00 keV   4.181E+02  1.215E+00   13.09 um     3.32 um     3.53 um  
 550.00 keV   4.241E+02  1.137E+00   14.17 um     3.41 um     3.67 um  
 600.00 keV   4.284E+02  1.070E+00   15.25 um     3.50 um     3.82 um  
 650.00 keV   4.312E+02  1.011E+00   16.33 um     3.58 um     3.95 um  
 700.00 keV   4.328E+02  9.593E-01   17.40 um     3.65 um     4.09 um  
 800.00 keV   4.331E+02  8.714E-01   19.56 um     3.80 um     4.34 um  
 900.00 keV   4.306E+02  7.997E-01   21.74 um     3.94 um     4.59 um  
   1.00 MeV   4.261E+02  7.401E-01   23.96 um     4.07 um     4.82 um  
   1.10 MeV   4.204E+02  6.895E-01   26.20 um     4.20 um     5.06 um  
