# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.949E+01  2.085E+01    3471 A      3470 A      2677 A   
  11.00 keV   9.447E+01  2.027E+01    3825 A      3709 A      2874 A   
  12.00 keV   9.925E+01  1.972E+01    4178 A      3938 A      3066 A   
  13.00 keV   1.039E+02  1.920E+01    4531 A      4158 A      3251 A   
  14.00 keV   1.083E+02  1.872E+01    4884 A      4370 A      3431 A   
  15.00 keV   1.127E+02  1.826E+01    5236 A      4573 A      3606 A   
  16.00 keV   1.169E+02  1.782E+01    5588 A      4770 A      3776 A   
  17.00 keV   1.210E+02  1.741E+01    5939 A      4959 A      3942 A   
  18.00 keV   1.249E+02  1.702E+01    6289 A      5142 A      4103 A   
  20.00 keV   1.326E+02  1.630E+01    6986 A      5488 A      4416 A   
  22.50 keV   1.418E+02  1.549E+01    7852 A      5890 A      4786 A   
  25.00 keV   1.505E+02  1.477E+01    8708 A      6264 A      5136 A   
  27.50 keV   1.588E+02  1.413E+01    9556 A      6613 A      5468 A   
  30.00 keV   1.668E+02  1.354E+01    1.04 um     6940 A      5784 A   
  32.50 keV   1.745E+02  1.302E+01    1.12 um     7246 A      6085 A   
  35.00 keV   1.820E+02  1.254E+01    1.20 um     7534 A      6373 A   
  37.50 keV   1.892E+02  1.209E+01    1.28 um     7805 A      6649 A   
  40.00 keV   1.961E+02  1.169E+01    1.36 um     8061 A      6913 A   
  45.00 keV   2.095E+02  1.096E+01    1.52 um     8533 A      7413 A   
  50.00 keV   2.221E+02  1.034E+01    1.67 um     8960 A      7876 A   
  55.00 keV   2.342E+02  9.791E+00    1.82 um     9348 A      8308 A   
  60.00 keV   2.457E+02  9.307E+00    1.97 um     9704 A      8713 A   
  65.00 keV   2.567E+02  8.875E+00    2.11 um     1.00 um     9093 A   
  70.00 keV   2.673E+02  8.487E+00    2.25 um     1.03 um     9452 A   
  80.00 keV   2.873E+02  7.818E+00    2.53 um     1.09 um     1.01 um  
  90.00 keV   3.060E+02  7.259E+00    2.79 um     1.13 um     1.07 um  
 100.00 keV   3.235E+02  6.785E+00    3.04 um     1.18 um     1.13 um  
 110.00 keV   3.400E+02  6.377E+00    3.29 um     1.21 um     1.18 um  
 120.00 keV   3.556E+02  6.021E+00    3.52 um     1.25 um     1.22 um  
 130.00 keV   3.703E+02  5.708E+00    3.76 um     1.28 um     1.27 um  
 140.00 keV   3.843E+02  5.429E+00    3.98 um     1.31 um     1.31 um  
 150.00 keV   3.976E+02  5.180E+00    4.20 um     1.33 um     1.34 um  
 160.00 keV   4.103E+02  4.955E+00    4.42 um     1.36 um     1.38 um  
 170.00 keV   4.223E+02  4.751E+00    4.63 um     1.38 um     1.41 um  
 180.00 keV   4.339E+02  4.566E+00    4.83 um     1.40 um     1.44 um  
 200.00 keV   4.554E+02  4.240E+00    5.23 um     1.44 um     1.50 um  
 225.00 keV   4.799E+02  3.899E+00    5.71 um     1.48 um     1.57 um  
 250.00 keV   5.018E+02  3.614E+00    6.18 um     1.51 um     1.63 um  
 275.00 keV   5.216E+02  3.372E+00    6.63 um     1.54 um     1.68 um  
 300.00 keV   5.395E+02  3.163E+00    7.06 um     1.57 um     1.73 um  
 325.00 keV   5.557E+02  2.982E+00    7.49 um     1.60 um     1.78 um  
 350.00 keV   5.703E+02  2.822E+00    7.91 um     1.62 um     1.83 um  
 375.00 keV   5.835E+02  2.680E+00    8.32 um     1.64 um     1.87 um  
 400.00 keV   5.955E+02  2.553E+00    8.72 um     1.66 um     1.91 um  
 450.00 keV   6.161E+02  2.335E+00    9.50 um     1.70 um     1.98 um  
 500.00 keV   6.329E+02  2.155E+00   10.27 um     1.74 um     2.04 um  
 550.00 keV   6.464E+02  2.003E+00   11.02 um     1.77 um     2.10 um  
 600.00 keV   6.573E+02  1.873E+00   11.76 um     1.80 um     2.16 um  
 650.00 keV   6.658E+02  1.760E+00   12.49 um     1.82 um     2.22 um  
 700.00 keV   6.724E+02  1.661E+00   13.21 um     1.85 um     2.27 um  
 800.00 keV   6.808E+02  1.495E+00   14.65 um     1.90 um     2.36 um  
 900.00 keV   6.842E+02  1.362E+00   16.08 um     1.94 um     2.45 um  
   1.00 MeV   6.840E+02  1.253E+00   17.51 um     1.99 um     2.54 um  
   1.10 MeV   6.811E+02  1.161E+00   18.94 um     2.03 um     2.62 um  
   1.20 MeV   6.763E+02  1.082E+00   20.39 um     2.07 um     2.70 um  
   1.30 MeV   6.700E+02  1.015E+00   21.85 um     2.11 um     2.77 um  
   1.40 MeV   6.627E+02  9.557E-01   23.33 um     2.14 um     2.85 um  
   1.50 MeV   6.546E+02  9.036E-01   24.83 um     2.18 um     2.92 um  
   1.60 MeV   6.460E+02  8.573E-01   26.34 um     2.22 um     3.00 um  
   1.70 MeV   6.371E+02  8.159E-01   27.88 um     2.25 um     3.07 um  
   1.80 MeV   6.280E+02  7.786E-01   29.44 um     2.29 um     3.14 um  
   2.00 MeV   6.097E+02  7.141E-01   32.64 um     2.38 um     3.29 um  
   2.25 MeV   5.870E+02  6.480E-01   36.77 um     2.51 um     3.47 um  
   2.50 MeV   5.651E+02  5.939E-01   41.07 um     2.64 um     3.66 um  
   2.75 MeV   5.444E+02  5.487E-01   45.54 um     2.78 um     3.85 um  
   3.00 MeV   5.249E+02  5.103E-01   50.18 um     2.91 um     4.04 um  
   3.25 MeV   5.066E+02  4.772E-01   54.99 um     3.05 um     4.24 um  
   3.50 MeV   4.894E+02  4.485E-01   59.97 um     3.19 um     4.44 um  
   3.75 MeV   4.734E+02  4.232E-01   65.13 um     3.33 um     4.65 um  
   4.00 MeV   4.584E+02  4.009E-01   70.46 um     3.48 um     4.86 um  
   4.50 MeV   4.313E+02  3.629E-01   81.63 um     3.94 um     5.31 um  
   5.00 MeV   4.074E+02  3.320E-01   93.49 um     4.40 um     5.78 um  
   5.50 MeV   3.862E+02  3.062E-01  106.03 um     4.87 um     6.27 um  
   6.00 MeV   3.673E+02  2.843E-01  119.23 um     5.34 um     6.79 um  
   6.50 MeV   3.504E+02  2.655E-01  133.10 um     5.82 um     7.33 um  
   7.00 MeV   3.352E+02  2.492E-01  147.61 um     6.30 um     7.89 um  
   8.00 MeV   3.088E+02  2.223E-01  178.56 um     7.91 um     9.08 um  
   9.00 MeV   2.901E+02  2.009E-01  211.82 um     9.45 um    10.36 um  
  10.00 MeV   2.718E+02  1.835E-01  247.29 um    10.94 um    11.71 um  
