# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.053E+01  9.217E+00    3829 A      4580 A      3464 A   
  11.00 keV   8.482E+01  9.099E+00    4181 A      4863 A      3689 A   
  12.00 keV   8.893E+01  8.978E+00    4532 A      5135 A      3907 A   
  13.00 keV   9.287E+01  8.857E+00    4882 A      5397 A      4118 A   
  14.00 keV   9.667E+01  8.736E+00    5232 A      5649 A      4322 A   
  15.00 keV   1.003E+02  8.616E+00    5580 A      5892 A      4521 A   
  16.00 keV   1.039E+02  8.498E+00    5928 A      6127 A      4715 A   
  17.00 keV   1.073E+02  8.383E+00    6274 A      6355 A      4904 A   
  18.00 keV   1.105E+02  8.269E+00    6620 A      6576 A      5088 A   
  20.00 keV   1.168E+02  8.051E+00    7311 A      6997 A      5446 A   
  22.50 keV   1.241E+02  7.792E+00    8170 A      7493 A      5873 A   
  25.00 keV   1.309E+02  7.550E+00    9025 A      7961 A      6280 A   
  27.50 keV   1.372E+02  7.324E+00    9876 A      8404 A      6669 A   
  30.00 keV   1.431E+02  7.112E+00    1.07 um     8824 A      7044 A   
  32.50 keV   1.488E+02  6.913E+00    1.16 um     9225 A      7405 A   
  35.00 keV   1.543E+02  6.727E+00    1.24 um     9607 A      7754 A   
  37.50 keV   1.595E+02  6.552E+00    1.32 um     9973 A      8092 A   
  40.00 keV   1.647E+02  6.387E+00    1.41 um     1.03 um     8419 A   
  45.00 keV   1.746E+02  6.085E+00    1.57 um     1.10 um     9046 A   
  50.00 keV   1.842E+02  5.815E+00    1.73 um     1.16 um     9636 A   
  55.00 keV   1.934E+02  5.572E+00    1.89 um     1.21 um     1.02 um  
  60.00 keV   2.024E+02  5.351E+00    2.05 um     1.27 um     1.07 um  
  65.00 keV   2.111E+02  5.150E+00    2.20 um     1.32 um     1.12 um  
  70.00 keV   2.195E+02  4.966E+00    2.35 um     1.36 um     1.17 um  
  80.00 keV   2.354E+02  4.641E+00    2.65 um     1.45 um     1.26 um  
  90.00 keV   2.504E+02  4.362E+00    2.94 um     1.52 um     1.34 um  
 100.00 keV   2.645E+02  4.120E+00    3.22 um     1.59 um     1.42 um  
 110.00 keV   2.778E+02  3.907E+00    3.49 um     1.65 um     1.49 um  
 120.00 keV   2.903E+02  3.719E+00    3.76 um     1.70 um     1.56 um  
 130.00 keV   3.021E+02  3.550E+00    4.02 um     1.76 um     1.62 um  
 140.00 keV   3.133E+02  3.399E+00    4.27 um     1.80 um     1.68 um  
 150.00 keV   3.238E+02  3.261E+00    4.52 um     1.85 um     1.73 um  
 160.00 keV   3.339E+02  3.136E+00    4.76 um     1.89 um     1.79 um  
 170.00 keV   3.434E+02  3.022E+00    5.01 um     1.93 um     1.84 um  
