# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.282E+02  1.999E+01    3126 A      2789 A      2180 A   
  11.00 keV   1.342E+02  1.944E+01    3429 A      2965 A      2329 A   
  12.00 keV   1.397E+02  1.893E+01    3732 A      3133 A      2474 A   
  13.00 keV   1.447E+02  1.844E+01    4035 A      3295 A      2615 A   
  14.00 keV   1.493E+02  1.798E+01    4339 A      3452 A      2752 A   
  15.00 keV   1.535E+02  1.755E+01    4643 A      3604 A      2886 A   
  16.00 keV   1.573E+02  1.714E+01    4947 A      3751 A      3017 A   
  17.00 keV   1.608E+02  1.675E+01    5253 A      3894 A      3146 A   
  18.00 keV   1.641E+02  1.638E+01    5559 A      4033 A      3273 A   
  20.00 keV   1.705E+02  1.569E+01    6173 A      4301 A      3521 A   
  22.50 keV   1.788E+02  1.493E+01    6941 A      4617 A      3819 A   
  25.00 keV   1.876E+02  1.424E+01    7703 A      4915 A      4105 A   
  27.50 keV   1.969E+02  1.363E+01    8455 A      5193 A      4378 A   
  30.00 keV   2.063E+02  1.307E+01    9196 A      5454 A      4638 A   
  32.50 keV   2.156E+02  1.257E+01    9924 A      5699 A      4885 A   
  35.00 keV   2.247E+02  1.211E+01    1.06 um     5928 A      5122 A   
  37.50 keV   2.335E+02  1.169E+01    1.13 um     6144 A      5347 A   
  40.00 keV   2.420E+02  1.130E+01    1.20 um     6347 A      5563 A   
  45.00 keV   2.582E+02  1.061E+01    1.34 um     6720 A      5968 A   
  50.00 keV   2.732E+02  1.001E+01    1.47 um     7057 A      6343 A   
  55.00 keV   2.873E+02  9.480E+00    1.60 um     7362 A      6691 A   
  60.00 keV   3.006E+02  9.014E+00    1.73 um     7641 A      7017 A   
  65.00 keV   3.132E+02  8.599E+00    1.85 um     7898 A      7323 A   
  70.00 keV   3.251E+02  8.225E+00    1.97 um     8135 A      7611 A   
  80.00 keV   3.472E+02  7.581E+00    2.20 um     8561 A      8143 A   
  90.00 keV   3.674E+02  7.043E+00    2.43 um     8935 A      8625 A   
 100.00 keV   3.859E+02  6.585E+00    2.65 um     9266 A      9066 A   
 110.00 keV   4.031E+02  6.191E+00    2.86 um     9563 A      9472 A   
 120.00 keV   4.191E+02  5.847E+00    3.06 um     9833 A      9850 A   
