# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.950E+02  3.407E+02     749 A        87 A        92 A   
  11.00 keV   1.047E+03  3.201E+02     821 A        92 A        99 A   
  12.00 keV   1.098E+03  3.022E+02     891 A        96 A       105 A   
  13.00 keV   1.147E+03  2.864E+02     960 A       101 A       111 A   
  14.00 keV   1.194E+03  2.724E+02    1027 A       105 A       117 A   
  15.00 keV   1.240E+03  2.598E+02    1093 A       108 A       123 A   
  16.00 keV   1.284E+03  2.485E+02    1157 A       112 A       128 A   
  17.00 keV   1.328E+03  2.383E+02    1221 A       115 A       133 A   
  18.00 keV   1.370E+03  2.290E+02    1282 A       118 A       138 A   
  20.00 keV   1.453E+03  2.126E+02    1403 A       124 A       147 A   
  22.50 keV   1.551E+03  1.954E+02    1547 A       131 A       157 A   
  25.00 keV   1.645E+03  1.811E+02    1684 A       137 A       166 A   
  27.50 keV   1.736E+03  1.690E+02    1816 A       142 A       174 A   
  30.00 keV   1.824E+03  1.585E+02    1943 A       147 A       182 A   
  32.50 keV   1.909E+03  1.494E+02    2066 A       151 A       188 A   
  35.00 keV   1.991E+03  1.413E+02    2184 A       155 A       195 A   
  37.50 keV   2.071E+03  1.342E+02    2298 A       158 A       201 A   
  40.00 keV   2.149E+03  1.279E+02    2408 A       161 A       206 A   
  45.00 keV   2.301E+03  1.169E+02    2619 A       168 A       216 A   
  50.00 keV   2.446E+03  1.079E+02    2819 A       174 A       224 A   
  55.00 keV   2.585E+03  1.003E+02    3008 A       179 A       232 A   
  60.00 keV   2.720E+03  9.373E+01    3189 A       184 A       239 A   
  65.00 keV   2.851E+03  8.807E+01    3361 A       187 A       245 A   
  70.00 keV   2.978E+03  8.311E+01    3527 A       191 A       250 A   
  80.00 keV   3.222E+03  7.482E+01    3840 A       199 A       260 A   
  90.00 keV   3.455E+03  6.816E+01    4132 A       206 A       268 A   
 100.00 keV   3.677E+03  6.267E+01    4406 A       212 A       275 A   
 110.00 keV   3.889E+03  5.806E+01    4666 A       217 A       281 A   
 120.00 keV   4.093E+03  5.414E+01    4912 A       222 A       287 A   
 130.00 keV   4.290E+03  5.075E+01    5147 A       226 A       292 A   
 140.00 keV   4.478E+03  4.779E+01    5372 A       229 A       296 A   
 150.00 keV   4.660E+03  4.519E+01    5588 A       232 A       300 A   
 160.00 keV   4.835E+03  4.287E+01    5796 A       235 A       303 A   
 170.00 keV   5.003E+03  4.080E+01    5997 A       238 A       307 A   
 180.00 keV   5.165E+03  3.893E+01    6192 A       240 A       310 A   
 200.00 keV   5.471E+03  3.570E+01    6565 A       247 A       315 A   
 225.00 keV   5.820E+03  3.239E+01    7004 A       256 A       321 A   
 250.00 keV   6.133E+03  2.969E+01    7420 A       264 A       326 A   
 275.00 keV   6.412E+03  2.742E+01    7816 A       271 A       330 A   
 300.00 keV   6.659E+03  2.550E+01    8197 A       277 A       334 A   
 325.00 keV   6.874E+03  2.385E+01    8564 A       283 A       338 A   
 350.00 keV   7.060E+03  2.241E+01    8922 A       288 A       341 A   
 375.00 keV   7.218E+03  2.115E+01    9270 A       293 A       344 A   
 400.00 keV   7.349E+03  2.003E+01    9612 A       297 A       347 A   
 450.00 keV   7.538E+03  1.814E+01    1.03 um      313 A       351 A   
 500.00 keV   7.644E+03  1.659E+01    1.09 um      327 A       356 A   
 550.00 keV   7.679E+03  1.530E+01    1.16 um      341 A       360 A   
 600.00 keV   7.659E+03  1.420E+01    1.22 um      354 A       364 A   
 650.00 keV   7.594E+03  1.327E+01    1.29 um      366 A       367 A   
 700.00 keV   7.497E+03  1.245E+01    1.36 um      378 A       371 A   
 800.00 keV   7.238E+03  1.110E+01    1.49 um      425 A       377 A   
 900.00 keV   6.936E+03  1.003E+01    1.63 um      471 A       384 A   
   1.00 MeV   6.622E+03  9.163E+00    1.78 um      515 A       390 A   
   1.10 MeV   6.317E+03  8.438E+00    1.93 um      561 A       396 A   
   1.20 MeV   6.028E+03  7.826E+00    2.10 um      606 A       403 A   
   1.30 MeV   5.760E+03  7.301E+00    2.27 um      653 A       410 A   
   1.40 MeV   5.513E+03  6.846E+00    2.44 um      700 A       417 A   
   1.50 MeV   5.287E+03  6.447E+00    2.63 um      748 A       424 A   
   1.60 MeV   5.079E+03  6.095E+00    2.82 um      797 A       431 A   
   1.70 MeV   4.889E+03  5.781E+00    3.02 um      847 A       439 A   
   1.80 MeV   4.713E+03  5.499E+00    3.23 um      897 A       448 A   
   2.00 MeV   4.400E+03  5.015E+00    3.67 um     1093 A       465 A   
   2.25 MeV   4.067E+03  4.523E+00    4.26 um     1377 A       489 A   
   2.50 MeV   3.784E+03  4.124E+00    4.89 um     1647 A       516 A   
   2.75 MeV   3.539E+03  3.792E+00    5.58 um     1911 A       545 A   
   3.00 MeV   3.325E+03  3.512E+00    6.31 um     2173 A       577 A   
   3.25 MeV   3.137E+03  3.273E+00    7.08 um     2434 A       612 A   
   3.50 MeV   2.969E+03  3.065E+00    7.90 um     2697 A       649 A   
   3.75 MeV   2.819E+03  2.884E+00    8.76 um     2963 A       689 A   
   4.00 MeV   2.684E+03  2.724E+00    9.67 um     3231 A       732 A   
   4.50 MeV   2.451E+03  2.454E+00   11.62 um     4251 A       826 A   
   5.00 MeV   2.256E+03  2.235E+00   13.74 um     5210 A       931 A   
   5.50 MeV   2.092E+03  2.053E+00   16.04 um     6146 A      1045 A   
   6.00 MeV   1.951E+03  1.900E+00   18.52 um     7077 A      1170 A   
   6.50 MeV   1.828E+03  1.769E+00   21.16 um     8010 A      1305 A   
   7.00 MeV   1.720E+03  1.656E+00   23.98 um     8951 A      1449 A   
   8.00 MeV   1.541E+03  1.470E+00   30.12 um     1.25 um     1765 A   
   9.00 MeV   1.465E+03  1.323E+00   36.77 um     1.56 um     2109 A   
  10.00 MeV   1.370E+03  1.204E+00   43.83 um     1.86 um     2474 A   
