#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.482E+02  9.070E+01    2144 A       467 A       452 A   
  11.00 keV   3.663E+02  8.511E+01    2349 A       493 A       486 A   
  12.00 keV   3.839E+02  8.025E+01    2549 A       517 A       518 A   
  13.00 keV   4.008E+02  7.599E+01    2745 A       540 A       548 A   
  14.00 keV   4.173E+02  7.220E+01    2937 A       560 A       577 A   
  15.00 keV   4.334E+02  6.882E+01    3125 A       579 A       604 A   
  16.00 keV   4.491E+02  6.578E+01    3309 A       597 A       630 A   
  17.00 keV   4.644E+02  6.302E+01    3488 A       613 A       654 A   
  18.00 keV   4.795E+02  6.052E+01    3664 A       628 A       677 A   
  20.00 keV   5.087E+02  5.612E+01    4006 A       657 A       720 A   
  22.50 keV   5.440E+02  5.153E+01    4415 A       689 A       769 A   
  25.00 keV   5.780E+02  4.771E+01    4806 A       716 A       813 A   
  27.50 keV   6.109E+02  4.447E+01    5179 A       740 A       852 A   
  30.00 keV   6.430E+02  4.169E+01    5538 A       762 A       888 A   
  32.50 keV   6.742E+02  3.926E+01    5883 A       781 A       921 A   
  35.00 keV   7.047E+02  3.713E+01    6215 A       798 A       952 A   
  37.50 keV   7.344E+02  3.524E+01    6535 A       813 A       980 A   
  40.00 keV   7.635E+02  3.355E+01    6845 A       827 A      1005 A   
  45.00 keV   8.199E+02  3.066E+01    7436 A       853 A      1052 A   
  50.00 keV   8.738E+02  2.826E+01    7993 A       875 A      1092 A   
  55.00 keV   9.252E+02  2.625E+01    8521 A       894 A      1128 A   
  60.00 keV   9.742E+02  2.452E+01    9024 A       911 A      1160 A   
  65.00 keV   1.021E+03  2.303E+01    9505 A       926 A      1188 A   
  70.00 keV   1.064E+03  2.172E+01    9967 A       939 A      1215 A   
  80.00 keV   1.145E+03  1.954E+01    1.08 um      965 A      1260 A   
  90.00 keV   1.215E+03  1.779E+01    1.17 um      987 A      1299 A   
 100.00 keV   1.278E+03  1.635E+01    1.24 um     1006 A      1333 A   
 110.00 keV   1.336E+03  1.514E+01    1.32 um     1022 A      1363 A   
 120.00 keV   1.389E+03  1.411E+01    1.39 um     1037 A      1390 A   
 130.00 keV   1.440E+03  1.322E+01    1.46 um     1050 A      1414 A   
 140.00 keV   1.490E+03  1.244E+01    1.53 um     1062 A      1436 A   
 150.00 keV   1.539E+03  1.176E+01    1.59 um     1072 A      1457 A   
 160.00 keV   1.588E+03  1.115E+01    1.66 um     1082 A      1475 A   
 170.00 keV   1.637E+03  1.061E+01    1.72 um     1091 A      1492 A   
 180.00 keV   1.686E+03  1.012E+01    1.78 um     1100 A      1508 A   
 200.00 keV   1.782E+03  9.280E+00    1.89 um     1120 A      1537 A   
 225.00 keV   1.897E+03  8.416E+00    2.03 um     1146 A      1568 A   
 250.00 keV   2.005E+03  7.709E+00    2.15 um     1167 A      1595 A   
 275.00 keV   2.104E+03  7.119E+00    2.27 um     1187 A      1618 A   
 300.00 keV   2.195E+03  6.618E+00    2.39 um     1203 A      1639 A   
 325.00 keV   2.277E+03  6.188E+00    2.50 um     1219 A      1658 A   
 350.00 keV   2.349E+03  5.813E+00    2.61 um     1233 A      1675 A   
 375.00 keV   2.413E+03  5.484E+00    2.71 um     1245 A      1691 A   
 400.00 keV   2.468E+03  5.193E+00    2.81 um     1257 A      1705 A   
 450.00 keV   2.557E+03  4.699E+00    3.01 um     1295 A      1731 A   
 500.00 keV   2.618E+03  4.297E+00    3.21 um     1328 A      1754 A   
 550.00 keV   2.658E+03  3.961E+00    3.39 um     1360 A      1775 A   
 600.00 keV   2.679E+03  3.677E+00    3.58 um     1390 A      1794 A   
 650.00 keV   2.686E+03  3.434E+00    3.77 um     1419 A      1812 A   
 700.00 keV   2.682E+03  3.222E+00    3.95 um     1447 A      1829 A   
 800.00 keV   2.647E+03  2.872E+00    4.33 um     1548 A      1861 A   
 900.00 keV   2.591E+03  2.595E+00    4.71 um     1645 A      1891 A   
   1.00 MeV   2.522E+03  2.369E+00    5.10 um     1741 A      1920 A   
   1.10 MeV   2.448E+03  2.181E+00    5.50 um     1837 A      1948 A   
   1.20 MeV   2.371E+03  2.022E+00    5.92 um     1934 A      1976 A   
   1.30 MeV   2.295E+03  1.886E+00    6.34 um     2032 A      2004 A   
   1.40 MeV   2.220E+03  1.768E+00    6.79 um     2132 A      2032 A   
   1.50 MeV   2.149E+03  1.665E+00    7.24 um     2233 A      2061 A   
   1.60 MeV   2.080E+03  1.574E+00    7.72 um     2337 A      2090 A   
   1.70 MeV   2.015E+03  1.492E+00    8.21 um     2442 A      2120 A   
   1.80 MeV   1.952E+03  1.420E+00    8.71 um     2549 A      2150 A   
   2.00 MeV   1.838E+03  1.294E+00    9.76 um     2964 A      2214 A   
   2.25 MeV   1.711E+03  1.167E+00   11.17 um     3584 A      2299 A   
   2.50 MeV   1.600E+03  1.064E+00   12.68 um     4184 A      2391 A   
   2.75 MeV   1.503E+03  9.780E-01   14.30 um     4777 A      2491 A   
   3.00 MeV   1.417E+03  9.057E-01   16.01 um     5368 A      2598 A   
   3.25 MeV   1.341E+03  8.438E-01   17.82 um     5961 A      2713 A   
   3.50 MeV   1.273E+03  7.902E-01   19.73 um     6559 A      2837 A   
   3.75 MeV   1.211E+03  7.434E-01   21.75 um     7164 A      2970 A   
   4.00 MeV   1.156E+03  7.020E-01   23.86 um     7775 A      3111 A   
   4.50 MeV   1.060E+03  6.323E-01   28.37 um     1.01 um     3420 A   
   5.00 MeV   9.795E+02  5.757E-01   33.28 um     1.23 um     3764 A   
   5.50 MeV   9.111E+02  5.289E-01   38.57 um     1.44 um     4142 A   
   6.00 MeV   8.521E+02  4.894E-01   44.24 um     1.65 um     4553 A   
   6.50 MeV   8.007E+02  4.556E-01   50.30 um     1.86 um     4997 A   
   7.00 MeV   7.556E+02  4.264E-01   56.72 um     2.08 um     5473 A   
   8.00 MeV   6.798E+02  3.784E-01   70.67 um     2.87 um     6518 A   
   9.00 MeV   6.322E+02  3.405E-01   85.92 um     3.60 um     7672 A   
  10.00 MeV   5.834E+02  3.097E-01  102.39 um     4.29 um     8921 A   
