# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.581E+01  8.043E+00    4382 A      6602 A      4897 A   
  11.00 keV   4.847E+01  7.959E+00    4800 A      7041 A      5234 A   
  12.00 keV   5.103E+01  7.871E+00    5220 A      7464 A      5560 A   
  13.00 keV   5.351E+01  7.782E+00    5640 A      7872 A      5877 A   
  14.00 keV   5.593E+01  7.691E+00    6060 A      8268 A      6185 A   
  15.00 keV   5.827E+01  7.599E+00    6482 A      8651 A      6485 A   
  16.00 keV   6.056E+01  7.508E+00    6904 A      9023 A      6778 A   
  17.00 keV   6.279E+01  7.418E+00    7326 A      9385 A      7064 A   
  18.00 keV   6.498E+01  7.329E+00    7749 A      9736 A      7344 A   
  20.00 keV   6.922E+01  7.156E+00    8597 A      1.04 um     7889 A   
  22.50 keV   7.429E+01  6.948E+00    9658 A      1.12 um     8540 A   
  25.00 keV   7.915E+01  6.752E+00    1.07 um     1.20 um     9160 A   
  27.50 keV   8.382E+01  6.566E+00    1.18 um     1.27 um     9754 A   
  30.00 keV   8.834E+01  6.391E+00    1.28 um     1.33 um     1.03 um  
  32.50 keV   9.270E+01  6.225E+00    1.39 um     1.40 um     1.09 um  
  35.00 keV   9.694E+01  6.069E+00    1.49 um     1.46 um     1.14 um  
  37.50 keV   1.011E+02  5.922E+00    1.60 um     1.52 um     1.19 um  
  40.00 keV   1.051E+02  5.782E+00    1.70 um     1.58 um     1.24 um  
  45.00 keV   1.128E+02  5.525E+00    1.91 um     1.68 um     1.34 um  
  50.00 keV   1.201E+02  5.293E+00    2.11 um     1.78 um     1.42 um  
  55.00 keV   1.272E+02  5.082E+00    2.31 um     1.87 um     1.51 um  
  60.00 keV   1.340E+02  4.891E+00    2.51 um     1.96 um     1.59 um  
  65.00 keV   1.405E+02  4.716E+00    2.71 um     2.03 um     1.66 um  
  70.00 keV   1.468E+02  4.555E+00    2.90 um     2.11 um     1.74 um  
  80.00 keV   1.588E+02  4.269E+00    3.28 um     2.25 um     1.87 um  
  90.00 keV   1.701E+02  4.022E+00    3.65 um     2.37 um     2.00 um  
 100.00 keV   1.807E+02  3.806E+00    4.02 um     2.48 um     2.12 um  
 110.00 keV   1.908E+02  3.616E+00    4.37 um     2.58 um     2.22 um  
 120.00 keV   2.003E+02  3.447E+00    4.72 um     2.67 um     2.33 um  
 130.00 keV   2.094E+02  3.295E+00    5.06 um     2.76 um     2.42 um  
 140.00 keV   2.181E+02  3.159E+00    5.39 um     2.84 um     2.51 um  
 150.00 keV   2.264E+02  3.034E+00    5.72 um     2.91 um     2.60 um  
 160.00 keV   2.343E+02  2.921E+00    6.04 um     2.98 um     2.68 um  
 170.00 keV   2.418E+02  2.817E+00    6.36 um     3.04 um     2.76 um  
 180.00 keV   2.490E+02  2.722E+00    6.67 um     3.10 um     2.83 um  
 200.00 keV   2.626E+02  2.551E+00    7.28 um     3.21 um     2.97 um  
 225.00 keV   2.780E+02  2.370E+00    8.01 um     3.34 um     3.13 um  
 250.00 keV   2.919E+02  2.215E+00    8.73 um     3.44 um     3.28 um  
 275.00 keV   3.045E+02  2.083E+00    9.42 um     3.54 um     3.41 um  
 300.00 keV   3.158E+02  1.967E+00   10.10 um     3.63 um     3.54 um  
 325.00 keV   3.261E+02  1.865E+00   10.77 um     3.71 um     3.66 um  
 350.00 keV   3.354E+02  1.774E+00   11.42 um     3.79 um     3.77 um  
 375.00 keV   3.438E+02  1.693E+00   12.06 um     3.86 um     3.87 um  
 400.00 keV   3.514E+02  1.620E+00   12.69 um     3.92 um     3.97 um  
 450.00 keV   3.645E+02  1.493E+00   13.93 um     4.04 um     4.16 um  
 500.00 keV   3.752E+02  1.386E+00   15.15 um     4.15 um     4.34 um  
 550.00 keV   3.838E+02  1.296E+00   16.34 um     4.25 um     4.50 um  
 600.00 keV   3.907E+02  1.217E+00   17.52 um     4.34 um     4.65 um  
 650.00 keV   3.962E+02  1.149E+00   18.69 um     4.42 um     4.80 um  
 700.00 keV   4.004E+02  1.089E+00   19.86 um     4.50 um     4.94 um  
 800.00 keV   4.058E+02  9.870E-01   22.17 um     4.65 um     5.21 um  
 900.00 keV   4.082E+02  9.044E-01   24.48 um     4.79 um     5.46 um  
   1.00 MeV   4.083E+02  8.357E-01   26.80 um     4.92 um     5.70 um  
   1.10 MeV   4.068E+02  7.777E-01   29.13 um     5.04 um     5.93 um  
   1.20 MeV   4.041E+02  7.279E-01   31.48 um     5.16 um     6.16 um  
   1.30 MeV   4.006E+02  6.847E-01   33.86 um     5.27 um     6.38 um  
   1.40 MeV   3.965E+02  6.468E-01   36.27 um     5.38 um     6.60 um  
   1.50 MeV   3.919E+02  6.132E-01   38.71 um     5.49 um     6.82 um  
   1.60 MeV   3.871E+02  5.833E-01   41.19 um     5.59 um     7.03 um  
   1.70 MeV   3.821E+02  5.564E-01   43.70 um     5.69 um     7.25 um  
   1.80 MeV   3.770E+02  5.321E-01   46.25 um     5.80 um     7.46 um  
   2.00 MeV   3.667E+02  4.899E-01   51.47 um     6.02 um     7.89 um  
   2.25 MeV   3.540E+02  4.463E-01   58.22 um     6.31 um     8.43 um  
