# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.817E+01  7.049E+00    4599 A      7516 A      5543 A   
  11.00 keV   4.036E+01  6.991E+00    5038 A      8020 A      5926 A   
  12.00 keV   4.248E+01  6.928E+00    5478 A      8507 A      6297 A   
  13.00 keV   4.452E+01  6.861E+00    5919 A      8978 A      6658 A   
  14.00 keV   4.651E+01  6.793E+00    6362 A      9435 A      7010 A   
  15.00 keV   4.843E+01  6.723E+00    6806 A      9879 A      7353 A   
  16.00 keV   5.031E+01  6.653E+00    7251 A      1.03 um     7688 A   
  17.00 keV   5.213E+01  6.583E+00    7697 A      1.07 um     8017 A   
  18.00 keV   5.392E+01  6.513E+00    8144 A      1.11 um     8339 A   
  20.00 keV   5.737E+01  6.375E+00    9044 A      1.19 um     8968 A   
  22.50 keV   6.150E+01  6.208E+00    1.02 um     1.29 um     9722 A   
  25.00 keV   6.544E+01  6.048E+00    1.13 um     1.38 um     1.04 um  
  27.50 keV   6.922E+01  5.895E+00    1.24 um     1.46 um     1.11 um  
  30.00 keV   7.286E+01  5.749E+00    1.36 um     1.54 um     1.18 um  
  32.50 keV   7.638E+01  5.611E+00    1.47 um     1.62 um     1.25 um  
  35.00 keV   7.979E+01  5.480E+00    1.58 um     1.70 um     1.31 um  
  37.50 keV   8.310E+01  5.356E+00    1.70 um     1.77 um     1.37 um  
  40.00 keV   8.632E+01  5.237E+00    1.81 um     1.84 um     1.43 um  
  45.00 keV   9.251E+01  5.018E+00    2.04 um     1.97 um     1.54 um  
  50.00 keV   9.841E+01  4.818E+00    2.26 um     2.09 um     1.65 um  
  55.00 keV   1.041E+02  4.636E+00    2.48 um     2.20 um     1.75 um  
  60.00 keV   1.095E+02  4.470E+00    2.70 um     2.31 um     1.85 um  
  65.00 keV   1.147E+02  4.317E+00    2.92 um     2.41 um     1.94 um  
