# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.545E+01  8.773E+00    4343 A      6505 A      4829 A   
  11.00 keV   4.822E+01  8.668E+00    4762 A      6942 A      5164 A   
  12.00 keV   5.091E+01  8.561E+00    5181 A      7362 A      5488 A   
  13.00 keV   5.352E+01  8.452E+00    5602 A      7767 A      5803 A   
  14.00 keV   5.605E+01  8.343E+00    6023 A      8159 A      6108 A   
  15.00 keV   5.852E+01  8.235E+00    6445 A      8537 A      6405 A   
  16.00 keV   6.093E+01  8.128E+00    6867 A      8904 A      6695 A   
  17.00 keV   6.328E+01  8.023E+00    7289 A      9260 A      6978 A   
  18.00 keV   6.558E+01  7.919E+00    7712 A      9606 A      7254 A   
  20.00 keV   7.005E+01  7.718E+00    8560 A      1.03 um     7791 A   
  22.50 keV   7.542E+01  7.479E+00    9620 A      1.10 um     8430 A   
  25.00 keV   8.056E+01  7.255E+00    1.07 um     1.18 um     9038 A   
  27.50 keV   8.552E+01  7.045E+00    1.17 um     1.25 um     9619 A   
  30.00 keV   9.031E+01  6.847E+00    1.28 um     1.31 um     1.02 um  
  32.50 keV   9.495E+01  6.661E+00    1.38 um     1.38 um     1.07 um  
  35.00 keV   9.946E+01  6.486E+00    1.49 um     1.43 um     1.12 um  
  37.50 keV   1.038E+02  6.322E+00    1.59 um     1.49 um     1.17 um  
  40.00 keV   1.081E+02  6.167E+00    1.69 um     1.55 um     1.22 um  
  45.00 keV   1.164E+02  5.882E+00    1.90 um     1.65 um     1.31 um  
  50.00 keV   1.243E+02  5.626E+00    2.10 um     1.74 um     1.40 um  
  55.00 keV   1.318E+02  5.395E+00    2.30 um     1.83 um     1.48 um  
  60.00 keV   1.391E+02  5.186E+00    2.49 um     1.91 um     1.55 um  
  65.00 keV   1.462E+02  4.994E+00    2.69 um     1.98 um     1.63 um  
  70.00 keV   1.530E+02  4.819E+00    2.88 um     2.05 um     1.70 um  
  80.00 keV   1.660E+02  4.508E+00    3.25 um     2.18 um     1.83 um  
  90.00 keV   1.782E+02  4.241E+00    3.61 um     2.29 um     1.94 um  
 100.00 keV   1.898E+02  4.009E+00    3.96 um     2.39 um     2.05 um  
 110.00 keV   2.008E+02  3.805E+00    4.31 um     2.49 um     2.16 um  
 120.00 keV   2.113E+02  3.623E+00    4.64 um     2.57 um     2.25 um  
 130.00 keV   2.212E+02  3.461E+00    4.97 um     2.65 um     2.34 um  
 140.00 keV   2.307E+02  3.315E+00    5.29 um     2.72 um     2.42 um  
 150.00 keV   2.397E+02  3.182E+00    5.61 um     2.79 um     2.50 um  
 160.00 keV   2.483E+02  3.061E+00    5.92 um     2.85 um     2.58 um  
 170.00 keV   2.565E+02  2.951E+00    6.22 um     2.91 um     2.65 um  
 180.00 keV   2.644E+02  2.849E+00    6.52 um     2.96 um     2.72 um  
 200.00 keV   2.790E+02  2.668E+00    7.10 um     3.06 um     2.84 um  
 225.00 keV   2.954E+02  2.475E+00    7.80 um     3.17 um     2.99 um  
 250.00 keV   3.100E+02  2.312E+00    8.48 um     3.27 um     3.12 um  
 275.00 keV   3.229E+02  2.172E+00    9.15 um     3.35 um     3.24 um  
 300.00 keV   3.344E+02  2.050E+00    9.80 um     3.43 um     3.36 um  
 325.00 keV   3.445E+02  1.942E+00   10.43 um     3.50 um     3.47 um  
 350.00 keV   3.534E+02  1.847E+00   11.06 um     3.57 um     3.57 um  
 375.00 keV   3.613E+02  1.761E+00   11.67 um     3.63 um     3.66 um  
 400.00 keV   3.683E+02  1.684E+00   12.28 um     3.69 um     3.76 um  
 450.00 keV   3.797E+02  1.551E+00   13.48 um     3.80 um     3.93 um  
 500.00 keV   3.886E+02  1.440E+00   14.65 um     3.90 um     4.09 um  
 550.00 keV   3.954E+02  1.345E+00   15.82 um     3.98 um     4.24 um  
 600.00 keV   4.005E+02  1.263E+00   16.98 um     4.07 um     4.39 um  
 650.00 keV   4.043E+02  1.191E+00   18.13 um     4.14 um     4.52 um  
 700.00 keV   4.070E+02  1.128E+00   19.28 um     4.22 um     4.66 um  
 800.00 keV   4.101E+02  1.022E+00   21.57 um     4.36 um     4.91 um  
 900.00 keV   4.108E+02  9.362E-01   23.87 um     4.49 um     5.15 um  
   1.00 MeV   4.099E+02  8.647E-01   26.19 um     4.61 um     5.38 um  
   1.10 MeV   4.078E+02  8.043E-01   28.52 um     4.73 um     5.61 um  
   1.20 MeV   4.050E+02  7.526E-01   30.87 um     4.84 um     5.83 um  
   1.30 MeV   4.015E+02  7.077E-01   33.25 um     4.95 um     6.05 um  
   1.40 MeV   3.976E+02  6.683E-01   35.66 um     5.05 um     6.26 um  
   1.50 MeV   3.934E+02  6.334E-01   38.10 um     5.16 um     6.47 um  
   1.60 MeV   3.891E+02  6.023E-01   40.57 um     5.26 um     6.68 um  
   1.70 MeV   3.846E+02  5.744E-01   43.08 um     5.36 um     6.89 um  
   1.80 MeV   3.800E+02  5.492E-01   45.61 um     5.46 um     7.10 um  
   2.00 MeV   3.707E+02  5.054E-01   50.79 um     5.68 um     7.51 um  
   2.25 MeV   3.592E+02  4.603E-01   57.46 um     5.96 um     8.03 um  
   2.50 MeV   3.481E+02  4.232E-01   64.36 um     6.24 um     8.55 um  
   2.75 MeV   3.375E+02  3.921E-01   71.49 um     6.53 um     9.08 um  
   3.00 MeV   3.274E+02  3.655E-01   78.85 um     6.81 um     9.62 um  
   3.25 MeV   3.178E+02  3.426E-01   86.45 um     7.10 um    10.17 um  
