# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.275E+01  1.163E+01    3694 A      4267 A      3239 A   
  11.00 keV   8.718E+01  1.144E+01    4044 A      4539 A      3457 A   
  12.00 keV   9.146E+01  1.124E+01    4394 A      4799 A      3668 A   
  13.00 keV   9.560E+01  1.105E+01    4743 A      5050 A      3872 A   
  14.00 keV   9.961E+01  1.087E+01    5091 A      5291 A      4069 A   
  15.00 keV   1.035E+02  1.069E+01    5438 A      5524 A      4262 A   
  16.00 keV   1.073E+02  1.051E+01    5785 A      5749 A      4448 A   
  17.00 keV   1.110E+02  1.034E+01    6130 A      5966 A      4631 A   
  18.00 keV   1.147E+02  1.018E+01    6474 A      6176 A      4808 A   
  20.00 keV   1.217E+02  9.865E+00    7160 A      6575 A      5151 A   
  22.50 keV   1.301E+02  9.500E+00    8011 A      7041 A      5559 A   
  25.00 keV   1.382E+02  9.165E+00    8853 A      7477 A      5944 A   
  27.50 keV   1.459E+02  8.855E+00    9687 A      7885 A      6310 A   
  30.00 keV   1.534E+02  8.568E+00    1.05 um     8269 A      6659 A   
  32.50 keV   1.606E+02  8.302E+00    1.13 um     8630 A      6992 A   
  35.00 keV   1.676E+02  8.055E+00    1.21 um     8971 A      7311 A   
  37.50 keV   1.745E+02  7.824E+00    1.29 um     9294 A      7617 A   
  40.00 keV   1.811E+02  7.608E+00    1.37 um     9600 A      7911 A   
  45.00 keV   1.939E+02  7.217E+00    1.53 um     1.02 um     8468 A   
  50.00 keV   2.062E+02  6.870E+00    1.68 um     1.07 um     8986 A   
  55.00 keV   2.180E+02  6.560E+00    1.83 um     1.12 um     9470 A   
  60.00 keV   2.293E+02  6.281E+00    1.97 um     1.16 um     9924 A   
  65.00 keV   2.403E+02  6.029E+00    2.11 um     1.20 um     1.04 um  
  70.00 keV   2.509E+02  5.800E+00    2.25 um     1.24 um     1.08 um  
  80.00 keV   2.712E+02  5.397E+00    2.52 um     1.30 um     1.15 um  
  90.00 keV   2.904E+02  5.055E+00    2.78 um     1.36 um     1.22 um  
 100.00 keV   3.087E+02  4.759E+00    3.03 um     1.41 um     1.28 um  
 110.00 keV   3.262E+02  4.502E+00    3.28 um     1.46 um     1.34 um  
 120.00 keV   3.429E+02  4.274E+00    3.51 um     1.50 um     1.39 um  
 130.00 keV   3.588E+02  4.072E+00    3.74 um     1.54 um     1.44 um  
 140.00 keV   3.742E+02  3.891E+00    3.96 um     1.57 um     1.48 um  
 150.00 keV   3.889E+02  3.727E+00    4.18 um     1.61 um     1.52 um  
 160.00 keV   4.030E+02  3.579E+00    4.39 um     1.63 um     1.56 um  
 170.00 keV   4.166E+02  3.443E+00    4.59 um     1.66 um     1.60 um  
 180.00 keV   4.297E+02  3.319E+00    4.79 um     1.69 um     1.64 um  
 200.00 keV   4.543E+02  3.099E+00    5.18 um     1.73 um     1.70 um  
 225.00 keV   4.824E+02  2.867E+00    5.65 um     1.78 um     1.78 um  
 250.00 keV   5.077E+02  2.670E+00    6.10 um     1.83 um     1.84 um  
 275.00 keV   5.303E+02  2.503E+00    6.53 um     1.86 um     1.91 um  
 300.00 keV   5.505E+02  2.357E+00    6.95 um     1.90 um     1.96 um  
 325.00 keV   5.682E+02  2.229E+00    7.36 um     1.93 um     2.01 um  
 350.00 keV   5.838E+02  2.116E+00    7.76 um     1.96 um     2.06 um  
 375.00 keV   5.971E+02  2.015E+00    8.15 um     1.98 um     2.11 um  
 400.00 keV   6.085E+02  1.925E+00    8.53 um     2.01 um     2.15 um  
 450.00 keV   6.257E+02  1.768E+00    9.29 um     2.05 um     2.23 um  
 500.00 keV   6.366E+02  1.638E+00   10.04 um     2.09 um     2.31 um  
 550.00 keV   6.421E+02  1.527E+00   10.78 um     2.13 um     2.38 um  
 600.00 keV   6.434E+02  1.432E+00   11.52 um     2.17 um     2.44 um  
 650.00 keV   6.414E+02  1.349E+00   12.27 um     2.20 um     2.51 um  
 700.00 keV   6.369E+02  1.276E+00   13.02 um     2.23 um     2.57 um  
 800.00 keV   6.232E+02  1.154E+00   14.55 um     2.30 um     2.69 um  
 900.00 keV   6.065E+02  1.055E+00   16.12 um     2.36 um     2.81 um  
   1.00 MeV   5.892E+02  9.728E-01   17.74 um     2.42 um     2.93 um  
   1.10 MeV   5.726E+02  9.037E-01   19.42 um     2.48 um     3.05 um  
   1.20 MeV   5.572E+02  8.446E-01   21.14 um     2.54 um     3.17 um  
   1.30 MeV   5.432E+02  7.933E-01   22.92 um     2.60 um     3.29 um  
   1.40 MeV   5.305E+02  7.485E-01   24.74 um     2.66 um     3.41 um  
   1.50 MeV   5.190E+02  7.088E-01   26.60 um     2.72 um     3.54 um  
   1.60 MeV   5.085E+02  6.736E-01   28.51 um     2.79 um     3.66 um  
   1.70 MeV   4.989E+02  6.419E-01   30.46 um     2.85 um     3.79 um  
   1.80 MeV   4.900E+02  6.133E-01   32.44 um     2.91 um     3.91 um  
   2.00 MeV   4.738E+02  5.638E-01   36.52 um     3.06 um     4.17 um  
   2.25 MeV   4.558E+02  5.128E-01   41.81 um     3.27 um     4.51 um  
   2.50 MeV   4.395E+02  4.709E-01   47.31 um     3.48 um     4.85 um  
   2.75 MeV   4.244E+02  4.359E-01   53.01 um     3.70 um     5.20 um  
   3.00 MeV   4.104E+02  4.060E-01   58.92 um     3.91 um     5.55 um  
   3.25 MeV   3.972E+02  3.803E-01   65.04 um     4.13 um     5.92 um  
   3.50 MeV   3.848E+02  3.579E-01   71.35 um     4.35 um     6.29 um  
   3.75 MeV   3.732E+02  3.381E-01   77.87 um     4.57 um     6.67 um  
   4.00 MeV   3.623E+02  3.206E-01   84.59 um     4.80 um     7.06 um  
   4.50 MeV   3.422E+02  2.908E-01   98.64 um     5.45 um     7.87 um  
   5.00 MeV   3.243E+02  2.664E-01  113.50 um     6.09 um     8.71 um  
   5.50 MeV   3.082E+02  2.461E-01  129.16 um     6.74 um     9.59 um  
   6.00 MeV   2.938E+02  2.288E-01  145.62 um     7.39 um    10.50 um  
   6.50 MeV   2.807E+02  2.139E-01  162.88 um     8.06 um    11.45 um  
   7.00 MeV   2.687E+02  2.010E-01  180.93 um     8.73 um    12.44 um  
   8.00 MeV   2.479E+02  1.796E-01  219.36 um    10.80 um    14.51 um  
   9.00 MeV   2.299E+02  1.626E-01  260.92 um    12.82 um    16.73 um  
  10.00 MeV   2.139E+02  1.487E-01  305.67 um    14.84 um    19.09 um  
