# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.151E+01  1.305E+01    3758 A      4527 A      3423 A   
  11.00 keV   7.546E+01  1.281E+01    4126 A      4829 A      3663 A   
  12.00 keV   7.929E+01  1.258E+01    4494 A      5119 A      3896 A   
  13.00 keV   8.302E+01  1.235E+01    4862 A      5398 A      4121 A   
  14.00 keV   8.665E+01  1.212E+01    5229 A      5668 A      4340 A   
  15.00 keV   9.020E+01  1.191E+01    5597 A      5928 A      4553 A   
  16.00 keV   9.367E+01  1.170E+01    5964 A      6179 A      4761 A   
  17.00 keV   9.708E+01  1.150E+01    6330 A      6422 A      4963 A   
  18.00 keV   1.004E+02  1.130E+01    6696 A      6657 A      5160 A   
  20.00 keV   1.069E+02  1.093E+01    7426 A      7104 A      5541 A   
  22.50 keV   1.148E+02  1.051E+01    8332 A      7625 A      5994 A   
  25.00 keV   1.225E+02  1.012E+01    9229 A      8113 A      6421 A   
  27.50 keV   1.299E+02  9.762E+00    1.01 um     8569 A      6826 A   
  30.00 keV   1.372E+02  9.432E+00    1.10 um     8996 A      7212 A   
  32.50 keV   1.443E+02  9.128E+00    1.19 um     9398 A      7579 A   
  35.00 keV   1.512E+02  8.845E+00    1.27 um     9776 A      7930 A   
  37.50 keV   1.580E+02  8.583E+00    1.36 um     1.01 um     8266 A   
  40.00 keV   1.647E+02  8.338E+00    1.44 um     1.05 um     8588 A   
  45.00 keV   1.778E+02  7.895E+00    1.60 um     1.11 um     9194 A   
  50.00 keV   1.904E+02  7.504E+00    1.76 um     1.16 um     9754 A   
  55.00 keV   2.027E+02  7.156E+00    1.92 um     1.22 um     1.03 um  
  60.00 keV   2.146E+02  6.844E+00    2.07 um     1.26 um     1.08 um  
  65.00 keV   2.261E+02  6.562E+00    2.22 um     1.31 um     1.12 um  
  70.00 keV   2.373E+02  6.306E+00    2.37 um     1.34 um     1.16 um  
  80.00 keV   2.588E+02  5.859E+00    2.65 um     1.41 um     1.24 um  
  90.00 keV   2.789E+02  5.480E+00    2.91 um     1.47 um     1.31 um  
 100.00 keV   2.977E+02  5.154E+00    3.17 um     1.53 um     1.38 um  
 110.00 keV   3.152E+02  4.869E+00    3.42 um     1.58 um     1.43 um  
 120.00 keV   3.315E+02  4.619E+00    3.66 um     1.62 um     1.49 um  
 130.00 keV   3.466E+02  4.397E+00    3.90 um     1.66 um     1.54 um  
 140.00 keV   3.606E+02  4.198E+00    4.13 um     1.69 um     1.58 um  
 150.00 keV   3.737E+02  4.019E+00    4.35 um     1.72 um     1.63 um  
 160.00 keV   3.859E+02  3.857E+00    4.57 um     1.75 um     1.67 um  
 170.00 keV   3.973E+02  3.709E+00    4.78 um     1.78 um     1.71 um  
 180.00 keV   4.079E+02  3.573E+00    4.99 um     1.81 um     1.75 um  
 200.00 keV   4.275E+02  3.333E+00    5.40 um     1.86 um     1.81 um  
 225.00 keV   4.491E+02  3.080E+00    5.90 um     1.91 um     1.89 um  
 250.00 keV   4.684E+02  2.867E+00    6.38 um     1.96 um     1.96 um  
 275.00 keV   4.859E+02  2.685E+00    6.85 um     2.00 um     2.03 um  
 300.00 keV   5.017E+02  2.527E+00    7.31 um     2.03 um     2.09 um  
 325.00 keV   5.161E+02  2.389E+00    7.76 um     2.07 um     2.15 um  
 350.00 keV   5.291E+02  2.267E+00    8.20 um     2.10 um     2.20 um  
 375.00 keV   5.410E+02  2.158E+00    8.63 um     2.13 um     2.25 um  
 400.00 keV   5.518E+02  2.060E+00    9.05 um     2.16 um     2.30 um  
 450.00 keV   5.702E+02  1.891E+00    9.88 um     2.21 um     2.39 um  
 500.00 keV   5.850E+02  1.751E+00   10.70 um     2.25 um     2.48 um  
 550.00 keV   5.964E+02  1.631E+00   11.50 um     2.29 um     2.55 um  
 600.00 keV   6.051E+02  1.529E+00   12.29 um     2.33 um     2.63 um  
 650.00 keV   6.114E+02  1.440E+00   13.08 um     2.37 um     2.70 um  
 700.00 keV   6.157E+02  1.362E+00   13.86 um     2.40 um     2.76 um  
 800.00 keV   6.193E+02  1.230E+00   15.41 um     2.46 um     2.89 um  
 900.00 keV   6.181E+02  1.124E+00   16.98 um     2.53 um     3.01 um  
   1.00 MeV   6.135E+02  1.036E+00   18.55 um     2.58 um     3.12 um  
   1.10 MeV   6.065E+02  9.620E-01   20.14 um     2.64 um     3.23 um  
   1.20 MeV   5.981E+02  8.988E-01   21.76 um     2.69 um     3.34 um  
   1.30 MeV   5.887E+02  8.440E-01   23.41 um     2.75 um     3.45 um  
   1.40 MeV   5.787E+02  7.960E-01   25.08 um     2.80 um     3.56 um  
   1.50 MeV   5.683E+02  7.537E-01   26.79 um     2.85 um     3.67 um  
   1.60 MeV   5.579E+02  7.160E-01   28.53 um     2.90 um     3.77 um  
   1.70 MeV   5.475E+02  6.822E-01   30.31 um     2.95 um     3.88 um  
   1.80 MeV   5.372E+02  6.517E-01   32.12 um     3.00 um     3.99 um  
   2.00 MeV   5.173E+02  5.988E-01   35.85 um     3.13 um     4.21 um  
   2.25 MeV   4.939E+02  5.445E-01   40.72 um     3.30 um     4.49 um  
   2.50 MeV   4.722E+02  4.999E-01   45.82 um     3.48 um     4.78 um  
   2.75 MeV   4.524E+02  4.625E-01   51.16 um     3.66 um     5.08 um  
   3.00 MeV   4.341E+02  4.307E-01   56.73 um     3.85 um     5.38 um  
   3.25 MeV   4.174E+02  4.033E-01   62.53 um     4.04 um     5.70 um  
   3.50 MeV   4.021E+02  3.795E-01   68.56 um     4.24 um     6.03 um  
   3.75 MeV   3.880E+02  3.585E-01   74.82 um     4.44 um     6.37 um  
   4.00 MeV   3.749E+02  3.398E-01   81.31 um     4.65 um     6.72 um  
   4.50 MeV   3.516E+02  3.082E-01   94.94 um     5.25 um     7.45 um  
   5.00 MeV   3.315E+02  2.822E-01  109.45 um     5.86 um     8.23 um  
   5.50 MeV   3.138E+02  2.606E-01  124.82 um     6.49 um     9.04 um  
   6.00 MeV   2.983E+02  2.423E-01  141.02 um     7.12 um     9.90 um  
   6.50 MeV   2.845E+02  2.265E-01  158.04 um     7.76 um    10.79 um  
   7.00 MeV   2.721E+02  2.128E-01  175.87 um     8.41 um    11.72 um  
   8.00 MeV   2.508E+02  1.901E-01  213.86 um    10.46 um    13.69 um  
   9.00 MeV   2.356E+02  1.720E-01  254.70 um    12.43 um    15.79 um  
  10.00 MeV   2.211E+02  1.572E-01  298.20 um    14.36 um    18.01 um  
