# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.337E+01  7.403E+00    4471 A      6923 A      5125 A   
  11.00 keV   4.577E+01  7.336E+00    4897 A      7384 A      5477 A   
  12.00 keV   4.808E+01  7.264E+00    5324 A      7829 A      5819 A   
  13.00 keV   5.032E+01  7.190E+00    5751 A      8260 A      6151 A   
  14.00 keV   5.249E+01  7.114E+00    6180 A      8678 A      6476 A   
  15.00 keV   5.460E+01  7.037E+00    6609 A      9084 A      6792 A   
  16.00 keV   5.666E+01  6.959E+00    7040 A      9479 A      7101 A   
  17.00 keV   5.867E+01  6.882E+00    7471 A      9864 A      7404 A   
  18.00 keV   6.063E+01  6.806E+00    7903 A      1.02 um     7700 A   
  20.00 keV   6.443E+01  6.656E+00    8771 A      1.10 um     8279 A   
  22.50 keV   6.897E+01  6.474E+00    9859 A      1.18 um     8972 A   
  25.00 keV   7.333E+01  6.301E+00    1.09 um     1.26 um     9634 A   
  27.50 keV   7.751E+01  6.137E+00    1.20 um     1.34 um     1.03 um  
  30.00 keV   8.154E+01  5.981E+00    1.31 um     1.41 um     1.09 um  
  32.50 keV   8.544E+01  5.833E+00    1.42 um     1.48 um     1.15 um  
  35.00 keV   8.922E+01  5.693E+00    1.53 um     1.55 um     1.20 um  
  37.50 keV   9.288E+01  5.561E+00    1.64 um     1.62 um     1.26 um  
  40.00 keV   9.645E+01  5.435E+00    1.74 um     1.68 um     1.31 um  
  45.00 keV   1.033E+02  5.202E+00    1.96 um     1.79 um     1.42 um  
  50.00 keV   1.098E+02  4.991E+00    2.17 um     1.90 um     1.51 um  
  55.00 keV   1.160E+02  4.799E+00    2.38 um     2.00 um     1.61 um  
  60.00 keV   1.220E+02  4.623E+00    2.59 um     2.10 um     1.69 um  
  65.00 keV   1.277E+02  4.462E+00    2.80 um     2.19 um     1.78 um  
  70.00 keV   1.331E+02  4.314E+00    3.00 um     2.27 um     1.86 um  
  80.00 keV   1.433E+02  4.050E+00    3.41 um     2.43 um     2.01 um  
  90.00 keV   1.528E+02  3.821E+00    3.80 um     2.57 um     2.15 um  
 100.00 keV   1.615E+02  3.621E+00    4.19 um     2.70 um     2.29 um  
 110.00 keV   1.695E+02  3.443E+00    4.58 um     2.82 um     2.41 um  
 120.00 keV   1.770E+02  3.286E+00    4.96 um     2.93 um     2.53 um  
 130.00 keV   1.840E+02  3.144E+00    5.33 um     3.03 um     2.64 um  
 140.00 keV   1.905E+02  3.015E+00    5.70 um     3.12 um     2.75 um  
 150.00 keV   1.966E+02  2.899E+00    6.06 um     3.21 um     2.85 um  
 160.00 keV   2.024E+02  2.792E+00    6.42 um     3.30 um     2.95 um  
 170.00 keV   2.078E+02  2.695E+00    6.77 um     3.38 um     3.04 um  
 180.00 keV   2.130E+02  2.604E+00    7.13 um     3.46 um     3.13 um  
 200.00 keV   2.227E+02  2.444E+00    7.82 um     3.60 um     3.30 um  
 225.00 keV   2.336E+02  2.272E+00    8.67 um     3.76 um     3.50 um  
 250.00 keV   2.436E+02  2.126E+00    9.50 um     3.90 um     3.69 um  
 275.00 keV   2.528E+02  2.000E+00   10.31 um     4.03 um     3.86 um  
 300.00 keV   2.612E+02  1.890E+00   11.11 um     4.15 um     4.03 um  
 325.00 keV   2.691E+02  1.793E+00   11.89 um     4.26 um     4.18 um  
 350.00 keV   2.763E+02  1.707E+00   12.67 um     4.37 um     4.33 um  
 375.00 keV   2.830E+02  1.629E+00   13.43 um     4.47 um     4.47 um  
 400.00 keV   2.892E+02  1.559E+00   14.18 um     4.56 um     4.61 um  
 450.00 keV   3.002E+02  1.438E+00   15.65 um     4.72 um     4.86 um  
 500.00 keV   3.097E+02  1.337E+00   17.10 um     4.88 um     5.10 um  
 550.00 keV   3.177E+02  1.250E+00   18.52 um     5.02 um     5.32 um  
 600.00 keV   3.245E+02  1.175E+00   19.92 um     5.14 um     5.52 um  
 650.00 keV   3.303E+02  1.110E+00   21.31 um     5.26 um     5.72 um  
 700.00 keV   3.351E+02  1.052E+00   22.68 um     5.37 um     5.91 um  
 800.00 keV   3.424E+02  9.541E-01   25.40 um     5.58 um     6.27 um  
 900.00 keV   3.471E+02  8.747E-01   28.09 um     5.77 um     6.60 um  
   1.00 MeV   3.498E+02  8.087E-01   30.78 um     5.95 um     6.92 um  
   1.10 MeV   3.510E+02  7.529E-01   33.46 um     6.11 um     7.22 um  
   1.20 MeV   3.510E+02  7.050E-01   36.15 um     6.27 um     7.51 um  
   1.30 MeV   3.501E+02  6.634E-01   38.86 um     6.42 um     7.80 um  
   1.40 MeV   3.485E+02  6.268E-01   41.59 um     6.56 um     8.08 um  
   1.50 MeV   3.463E+02  5.945E-01   44.34 um     6.70 um     8.35 um  
   1.60 MeV   3.437E+02  5.656E-01   47.11 um     6.84 um     8.62 um  
   1.70 MeV   3.408E+02  5.396E-01   49.92 um     6.97 um     8.88 um  
   1.80 MeV   3.376E+02  5.162E-01   52.75 um     7.10 um     9.15 um  
