# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.405E+02  3.512E+01    2925 A      2195 A      1754 A   
  11.00 keV   1.485E+02  3.381E+01    3221 A      2342 A      1884 A   
  12.00 keV   1.564E+02  3.261E+01    3515 A      2481 A      2009 A   
  13.00 keV   1.642E+02  3.151E+01    3807 A      2614 A      2130 A   
  14.00 keV   1.719E+02  3.049E+01    4096 A      2739 A      2246 A   
  15.00 keV   1.794E+02  2.955E+01    4382 A      2859 A      2358 A   
  16.00 keV   1.868E+02  2.867E+01    4665 A      2972 A      2466 A   
  17.00 keV   1.941E+02  2.785E+01    4945 A      3080 A      2570 A   
  18.00 keV   2.014E+02  2.709E+01    5222 A      3184 A      2670 A   
  20.00 keV   2.156E+02  2.570E+01    5767 A      3375 A      2861 A   
  22.50 keV   2.330E+02  2.418E+01    6431 A      3592 A      3082 A   
  25.00 keV   2.500E+02  2.286E+01    7076 A      3787 A      3287 A   
  27.50 keV   2.666E+02  2.170E+01    7702 A      3963 A      3476 A   
  30.00 keV   2.828E+02  2.066E+01    8310 A      4123 A      3651 A   
  32.50 keV   2.987E+02  1.974E+01    8901 A      4269 A      3815 A   
  35.00 keV   3.143E+02  1.891E+01    9476 A      4403 A      3968 A   
  37.50 keV   3.297E+02  1.815E+01    1.00 um     4526 A      4111 A   
  40.00 keV   3.447E+02  1.746E+01    1.06 um     4640 A      4246 A   
  45.00 keV   3.741E+02  1.625E+01    1.16 um     4842 A      4493 A   
  50.00 keV   4.026E+02  1.522E+01    1.26 um     5017 A      4714 A   
  55.00 keV   4.302E+02  1.433E+01    1.36 um     5170 A      4913 A   
  60.00 keV   4.570E+02  1.355E+01    1.45 um     5305 A      5094 A   
  65.00 keV   4.830E+02  1.286E+01    1.54 um     5426 A      5259 A   
  70.00 keV   5.083E+02  1.225E+01    1.62 um     5533 A      5411 A   
  80.00 keV   5.569E+02  1.120E+01    1.78 um     5720 A      5680 A   
  90.00 keV   6.029E+02  1.034E+01    1.93 um     5875 A      5912 A   
 100.00 keV   6.466E+02  9.617E+00    2.07 um     6005 A      6116 A   
 110.00 keV   6.880E+02  8.998E+00    2.21 um     6118 A      6296 A   
 120.00 keV   7.274E+02  8.463E+00    2.34 um     6215 A      6458 A   
 130.00 keV   7.648E+02  7.995E+00    2.46 um     6301 A      6604 A   
 140.00 keV   8.004E+02  7.581E+00    2.58 um     6377 A      6736 A   
 150.00 keV   8.342E+02  7.213E+00    2.69 um     6445 A      6858 A   
 160.00 keV   8.663E+02  6.882E+00    2.80 um     6507 A      6970 A   
 170.00 keV   8.969E+02  6.584E+00    2.90 um     6563 A      7074 A   
 180.00 keV   9.259E+02  6.313E+00    3.01 um     6614 A      7171 A   
 200.00 keV   9.796E+02  5.840E+00    3.21 um     6707 A      7346 A   
 225.00 keV   1.039E+03  5.348E+00    3.44 um     6807 A      7538 A   
 250.00 keV   1.091E+03  4.940E+00    3.67 um     6892 A      7706 A   
 275.00 keV   1.137E+03  4.595E+00    3.88 um     6966 A      7856 A   
 300.00 keV   1.176E+03  4.299E+00    4.09 um     7031 A      7992 A   
 325.00 keV   1.210E+03  4.043E+00    4.29 um     7090 A      8117 A   
 350.00 keV   1.240E+03  3.818E+00    4.49 um     7143 A      8232 A   
 375.00 keV   1.264E+03  3.619E+00    4.69 um     7192 A      8339 A   
 400.00 keV   1.285E+03  3.442E+00    4.88 um     7237 A      8440 A   
 450.00 keV   1.318E+03  3.138E+00    5.25 um     7329 A      8625 A   
 500.00 keV   1.339E+03  2.888E+00    5.62 um     7411 A      8794 A   
 550.00 keV   1.352E+03  2.678E+00    5.99 um     7486 A      8951 A   
 600.00 keV   1.357E+03  2.499E+00    6.35 um     7557 A      9098 A   
 650.00 keV   1.358E+03  2.344E+00    6.72 um     7623 A      9239 A   
 700.00 keV   1.354E+03  2.208E+00    7.08 um     7687 A      9373 A   
 800.00 keV   1.338E+03  1.983E+00    7.81 um     7843 A      9629 A   
 900.00 keV   1.313E+03  1.802E+00    8.56 um     7993 A      9875 A   
   1.00 MeV   1.285E+03  1.654E+00    9.32 um     8142 A      1.01 um  
   1.10 MeV   1.254E+03  1.530E+00   10.11 um     8291 A      1.03 um  
   1.20 MeV   1.222E+03  1.424E+00   10.91 um     8440 A      1.06 um  
   1.30 MeV   1.190E+03  1.333E+00   11.73 um     8592 A      1.08 um  
   1.40 MeV   1.158E+03  1.254E+00   12.58 um     8747 A      1.11 um  
   1.50 MeV   1.128E+03  1.184E+00   13.45 um     8904 A      1.13 um  
   1.60 MeV   1.098E+03  1.122E+00   14.34 um     9066 A      1.15 um  
   1.70 MeV   1.070E+03  1.067E+00   15.26 um     9232 A      1.18 um  
   1.80 MeV   1.043E+03  1.017E+00   16.20 um     9401 A      1.20 um  
   2.00 MeV   9.923E+02  9.316E-01   18.16 um     9947 A      1.26 um  
   2.25 MeV   9.355E+02  8.438E-01   20.74 um     1.08 um     1.32 um  
   2.50 MeV   8.850E+02  7.722E-01   23.48 um     1.16 um     1.40 um  
   2.75 MeV   8.401E+02  7.124E-01   26.36 um     1.25 um     1.47 um  
   3.00 MeV   7.998E+02  6.618E-01   29.40 um     1.34 um     1.55 um  
   3.25 MeV   7.637E+02  6.183E-01   32.59 um     1.44 um     1.64 um  
   3.50 MeV   7.310E+02  5.805E-01   35.93 um     1.53 um     1.73 um  
   3.75 MeV   7.014E+02  5.474E-01   39.41 um     1.63 um     1.82 um  
   4.00 MeV   6.744E+02  5.180E-01   43.03 um     1.73 um     1.92 um  
   4.50 MeV   6.270E+02  4.683E-01   50.70 um     2.09 um     2.13 um  
   5.00 MeV   5.867E+02  4.279E-01   58.92 um     2.43 um     2.35 um  
   5.50 MeV   5.520E+02  3.942E-01   67.68 um     2.77 um     2.59 um  
   6.00 MeV   5.217E+02  3.657E-01   76.98 um     3.11 um     2.85 um  
   6.50 MeV   4.952E+02  3.413E-01   86.79 um     3.46 um     3.12 um  
   7.00 MeV   4.716E+02  3.201E-01   97.11 um     3.80 um     3.40 um  
   8.00 MeV   4.316E+02  2.851E-01  119.23 um     5.01 um     4.01 um  
   9.00 MeV   3.991E+02  2.573E-01  143.27 um     6.14 um     4.67 um  
  10.00 MeV   3.689E+02  2.348E-01  169.28 um     7.25 um     5.38 um  
