# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.853E+01  1.729E+01    3655 A      3932 A      3009 A   
  11.00 keV   8.232E+01  1.686E+01    4028 A      4206 A      3231 A   
  12.00 keV   8.598E+01  1.645E+01    4404 A      4471 A      3449 A   
  13.00 keV   8.953E+01  1.606E+01    4781 A      4727 A      3661 A   
  14.00 keV   9.297E+01  1.569E+01    5159 A      4976 A      3868 A   
  15.00 keV   9.632E+01  1.533E+01    5537 A      5216 A      4070 A   
  16.00 keV   9.960E+01  1.500E+01    5916 A      5450 A      4268 A   
  17.00 keV   1.028E+02  1.468E+01    6295 A      5676 A      4461 A   
  18.00 keV   1.060E+02  1.438E+01    6674 A      5896 A      4651 A   
  20.00 keV   1.121E+02  1.381E+01    7432 A      6314 A      5019 A   
  22.50 keV   1.195E+02  1.317E+01    8376 A      6806 A      5459 A   
  25.00 keV   1.266E+02  1.260E+01    9314 A      7267 A      5877 A   
  27.50 keV   1.336E+02  1.208E+01    1.02 um     7699 A      6275 A   
  30.00 keV   1.404E+02  1.161E+01    1.12 um     8106 A      6655 A   
  32.50 keV   1.470E+02  1.118E+01    1.21 um     8489 A      7018 A   
  35.00 keV   1.536E+02  1.079E+01    1.30 um     8849 A      7366 A   
  37.50 keV   1.600E+02  1.043E+01    1.39 um     9190 A      7699 A   
  40.00 keV   1.663E+02  1.009E+01    1.48 um     9512 A      8018 A   
  45.00 keV   1.788E+02  9.495E+00    1.65 um     1.01 um     8621 A   
  50.00 keV   1.909E+02  8.975E+00    1.82 um     1.06 um     9179 A   
  55.00 keV   2.029E+02  8.517E+00    1.98 um     1.11 um     9696 A   
  60.00 keV   2.146E+02  8.111E+00    2.14 um     1.16 um     1.02 um  
  65.00 keV   2.262E+02  7.747E+00    2.30 um     1.20 um     1.06 um  
  70.00 keV   2.376E+02  7.420E+00    2.45 um     1.23 um     1.10 um  
  80.00 keV   2.600E+02  6.852E+00    2.74 um     1.30 um     1.18 um  
  90.00 keV   2.818E+02  6.376E+00    3.01 um     1.36 um     1.25 um  
 100.00 keV   3.032E+02  5.971E+00    3.28 um     1.40 um     1.31 um  
 110.00 keV   3.240E+02  5.621E+00    3.53 um     1.45 um     1.37 um  
 120.00 keV   3.443E+02  5.315E+00    3.77 um     1.48 um     1.42 um  
 130.00 keV   3.641E+02  5.044E+00    4.00 um     1.52 um     1.46 um  
 140.00 keV   3.834E+02  4.803E+00    4.23 um     1.55 um     1.50 um  
 150.00 keV   4.021E+02  4.587E+00    4.44 um     1.58 um     1.54 um  
 160.00 keV   4.203E+02  4.393E+00    4.65 um     1.60 um     1.58 um  
 170.00 keV   4.380E+02  4.216E+00    4.85 um     1.62 um     1.61 um  
 180.00 keV   4.551E+02  4.054E+00    5.04 um     1.64 um     1.64 um  
 200.00 keV   4.875E+02  3.770E+00    5.42 um     1.68 um     1.70 um  
 225.00 keV   5.250E+02  3.472E+00    5.86 um     1.72 um     1.76 um  
 250.00 keV   5.589E+02  3.222E+00    6.28 um     1.75 um     1.81 um  
 275.00 keV   5.893E+02  3.010E+00    6.68 um     1.78 um     1.86 um  
 300.00 keV   6.165E+02  2.826E+00    7.06 um     1.80 um     1.90 um  
 325.00 keV   6.406E+02  2.666E+00    7.43 um     1.83 um     1.94 um  
 350.00 keV   6.618E+02  2.525E+00    7.79 um     1.84 um     1.98 um  
 375.00 keV   6.802E+02  2.400E+00    8.14 um     1.86 um     2.01 um  
 400.00 keV   6.962E+02  2.288E+00    8.48 um     1.88 um     2.05 um  
 450.00 keV   7.217E+02  2.095E+00    9.15 um     1.91 um     2.10 um  
 500.00 keV   7.396E+02  1.935E+00    9.80 um     1.94 um     2.16 um  
 550.00 keV   7.516E+02  1.800E+00   10.45 um     1.96 um     2.20 um  
 600.00 keV   7.587E+02  1.684E+00   11.09 um     1.98 um     2.25 um  
