# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.052E+02  1.049E+01    3522 A      3757 A      2875 A   
  11.00 keV   1.111E+02  1.033E+01    3839 A      3980 A      3056 A   
  12.00 keV   1.168E+02  1.017E+01    4154 A      4192 A      3230 A   
  13.00 keV   1.223E+02  1.001E+01    4467 A      4394 A      3397 A   
  14.00 keV   1.276E+02  9.852E+00    4777 A      4588 A      3559 A   
  15.00 keV   1.328E+02  9.699E+00    5085 A      4773 A      3715 A   
  16.00 keV   1.378E+02  9.550E+00    5391 A      4952 A      3866 A   
  17.00 keV   1.428E+02  9.405E+00    5695 A      5123 A      4013 A   
  18.00 keV   1.476E+02  9.264E+00    5997 A      5288 A      4155 A   
  20.00 keV   1.568E+02  8.994E+00    6595 A      5600 A      4428 A   
  22.50 keV   1.679E+02  8.678E+00    7332 A      5961 A      4750 A   
  25.00 keV   1.785E+02  8.386E+00    8057 A      6295 A      5052 A   
  27.50 keV   1.886E+02  8.114E+00    8770 A      6606 A      5338 A   
  30.00 keV   1.983E+02  7.862E+00    9472 A      6896 A      5608 A   
  32.50 keV   2.077E+02  7.627E+00    1.02 um     7168 A      5865 A   
  35.00 keV   2.168E+02  7.408E+00    1.08 um     7424 A      6110 A   
  37.50 keV   2.255E+02  7.204E+00    1.15 um     7665 A      6344 A   
  40.00 keV   2.341E+02  7.012E+00    1.22 um     7893 A      6568 A   
  45.00 keV   2.504E+02  6.662E+00    1.35 um     8311 A      6991 A   
  50.00 keV   2.659E+02  6.351E+00    1.47 um     8691 A      7382 A   
  55.00 keV   2.806E+02  6.072E+00    1.60 um     9036 A      7747 A   
  60.00 keV   2.946E+02  5.820E+00    1.72 um     9353 A      8088 A   
  65.00 keV   3.081E+02  5.593E+00    1.83 um     9645 A      8409 A   
  70.00 keV   3.209E+02  5.385E+00    1.95 um     9916 A      8712 A   
