# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.138E+02  6.297E+01    2488 A       681 A       644 A   
  11.00 keV   3.311E+02  5.921E+01    2717 A       716 A       688 A   
  12.00 keV   3.475E+02  5.593E+01    2940 A       748 A       730 A   
  13.00 keV   3.629E+02  5.304E+01    3158 A       778 A       769 A   
  14.00 keV   3.772E+02  5.047E+01    3371 A       805 A       806 A   
  15.00 keV   3.906E+02  4.817E+01    3579 A       831 A       840 A   
  16.00 keV   4.028E+02  4.609E+01    3784 A       854 A       873 A   
  17.00 keV   4.139E+02  4.421E+01    3985 A       877 A       905 A   
  18.00 keV   4.238E+02  4.249E+01    4183 A       898 A       935 A   
  20.00 keV   4.407E+02  3.947E+01    4573 A       937 A       992 A   
  22.50 keV   4.583E+02  3.631E+01    5049 A       982 A      1057 A   
  25.00 keV   4.759E+02  3.367E+01    5515 A      1023 A      1118 A   
  27.50 keV   4.965E+02  3.143E+01    5968 A      1059 A      1173 A   
  30.00 keV   5.207E+02  2.949E+01    6407 A      1092 A      1225 A   
  32.50 keV   5.476E+02  2.781E+01    6828 A      1121 A      1272 A   
  35.00 keV   5.760E+02  2.632E+01    7233 A      1147 A      1316 A   
  37.50 keV   6.050E+02  2.501E+01    7620 A      1170 A      1356 A   
  40.00 keV   6.340E+02  2.383E+01    7992 A      1191 A      1393 A   
  45.00 keV   6.909E+02  2.180E+01    8694 A      1229 A      1459 A   
  50.00 keV   7.456E+02  2.012E+01    9348 A      1261 A      1517 A   
  55.00 keV   7.980E+02  1.871E+01    9960 A      1287 A      1567 A   
  60.00 keV   8.482E+02  1.749E+01    1.05 um     1310 A      1612 A   
  65.00 keV   8.964E+02  1.644E+01    1.11 um     1330 A      1651 A   
  70.00 keV   9.428E+02  1.552E+01    1.16 um     1347 A      1687 A   
  80.00 keV   1.031E+03  1.398E+01    1.26 um     1380 A      1748 A   
  90.00 keV   1.113E+03  1.274E+01    1.35 um     1406 A      1800 A   
 100.00 keV   1.189E+03  1.172E+01    1.43 um     1428 A      1844 A   
 110.00 keV   1.261E+03  1.086E+01    1.51 um     1446 A      1882 A   
 120.00 keV   1.329E+03  1.013E+01    1.59 um     1462 A      1915 A   
 130.00 keV   1.392E+03  9.496E+00    1.66 um     1477 A      1945 A   
 140.00 keV   1.452E+03  8.944E+00    1.73 um     1489 A      1972 A   
 150.00 keV   1.508E+03  8.458E+00    1.80 um     1500 A      1996 A   
 160.00 keV   1.561E+03  8.026E+00    1.86 um     1510 A      2018 A   
 170.00 keV   1.610E+03  7.639E+00    1.92 um     1519 A      2038 A   
 180.00 keV   1.657E+03  7.291E+00    1.98 um     1528 A      2057 A   
 200.00 keV   1.741E+03  6.688E+00    2.10 um     1547 A      2090 A   
 225.00 keV   1.832E+03  6.070E+00    2.24 um     1571 A      2126 A   
 250.00 keV   1.909E+03  5.563E+00    2.37 um     1591 A      2158 A   
 275.00 keV   1.973E+03  5.140E+00    2.50 um     1610 A      2185 A   
 300.00 keV   2.026E+03  4.781E+00    2.62 um     1627 A      2210 A   
 325.00 keV   2.069E+03  4.472E+00    2.75 um     1642 A      2233 A   
 350.00 keV   2.104E+03  4.204E+00    2.86 um     1657 A      2254 A   
 375.00 keV   2.131E+03  3.967E+00    2.98 um     1670 A      2274 A   
 400.00 keV   2.152E+03  3.758E+00    3.10 um     1684 A      2292 A   
 450.00 keV   2.178E+03  3.403E+00    3.33 um     1724 A      2326 A   
 500.00 keV   2.188E+03  3.113E+00    3.56 um     1762 A      2357 A   
 550.00 keV   2.185E+03  2.871E+00    3.78 um     1799 A      2385 A   
 600.00 keV   2.173E+03  2.666E+00    4.01 um     1835 A      2413 A   
 650.00 keV   2.153E+03  2.491E+00    4.24 um     1870 A      2439 A   
 700.00 keV   2.129E+03  2.338E+00    4.48 um     1906 A      2464 A   
 800.00 keV   2.072E+03  2.085E+00    4.95 um     2033 A      2512 A   
 900.00 keV   2.008E+03  1.885E+00    5.44 um     2158 A      2559 A   
   1.00 MeV   1.942E+03  1.721E+00    5.95 um     2285 A      2605 A   
   1.10 MeV   1.877E+03  1.586E+00    6.47 um     2412 A      2651 A   
   1.20 MeV   1.813E+03  1.471E+00    7.01 um     2541 A      2697 A   
   1.30 MeV   1.753E+03  1.372E+00    7.57 um     2672 A      2745 A   
   1.40 MeV   1.695E+03  1.287E+00    8.15 um     2805 A      2793 A   
   1.50 MeV   1.640E+03  1.212E+00    8.75 um     2941 A      2842 A   
   1.60 MeV   1.589E+03  1.146E+00    9.37 um     3079 A      2893 A   
   1.70 MeV   1.540E+03  1.087E+00   10.01 um     3219 A      2945 A   
   1.80 MeV   1.494E+03  1.034E+00   10.67 um     3362 A      2999 A   
   2.00 MeV   1.411E+03  9.431E-01   12.04 um     3905 A      3111 A   
   2.25 MeV   1.319E+03  8.507E-01   13.87 um     4710 A      3262 A   
   2.50 MeV   1.239E+03  7.756E-01   15.83 um     5486 A      3425 A   
   2.75 MeV   1.168E+03  7.133E-01   17.91 um     6246 A      3601 A   
   3.00 MeV   1.106E+03  6.608E-01   20.10 um     7001 A      3790 A   
   3.25 MeV   1.051E+03  6.158E-01   22.42 um     7754 A      3992 A   
   3.50 MeV   1.002E+03  5.768E-01   24.85 um     8510 A      4206 A   
   3.75 MeV   9.576E+02  5.427E-01   27.41 um     9269 A      4434 A   
   4.00 MeV   9.174E+02  5.126E-01   30.07 um     1.00 um     4674 A   
   4.50 MeV   8.474E+02  4.619E-01   35.74 um     1.29 um     5193 A   
   5.00 MeV   7.884E+02  4.207E-01   41.86 um     1.56 um     5761 A   
   5.50 MeV   7.380E+02  3.865E-01   48.41 um     1.82 um     6375 A   
   6.00 MeV   6.944E+02  3.577E-01   55.39 um     2.07 um     7035 A   
   6.50 MeV   6.563E+02  3.331E-01   62.79 um     2.33 um     7737 A   
   7.00 MeV   6.226E+02  3.118E-01   70.61 um     2.58 um     8482 A   
   8.00 MeV   5.658E+02  2.768E-01   87.46 um     3.53 um     1.01 um  
   9.00 MeV   5.159E+02  2.491E-01  105.96 um     4.40 um     1.19 um  
  10.00 MeV   4.702E+02  2.267E-01  126.26 um     5.27 um     1.38 um  
