# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.772E+01  8.255E+00    4318 A      6370 A      4733 A   
  11.00 keV   5.028E+01  8.167E+00    4734 A      6798 A      5062 A   
  12.00 keV   5.280E+01  8.075E+00    5150 A      7211 A      5381 A   
  13.00 keV   5.528E+01  7.980E+00    5566 A      7611 A      5692 A   
  14.00 keV   5.773E+01  7.885E+00    5983 A      7998 A      5994 A   
  15.00 keV   6.015E+01  7.790E+00    6400 A      8373 A      6289 A   
  16.00 keV   6.254E+01  7.695E+00    6818 A      8737 A      6576 A   
  17.00 keV   6.490E+01  7.601E+00    7235 A      9091 A      6856 A   
  18.00 keV   6.724E+01  7.509E+00    7652 A      9434 A      7130 A   
  20.00 keV   7.183E+01  7.329E+00    8487 A      1.01 um     7662 A   
  22.50 keV   7.746E+01  7.113E+00    9527 A      1.09 um     8294 A   
  25.00 keV   8.295E+01  6.910E+00    1.06 um     1.16 um     8892 A   
  27.50 keV   8.833E+01  6.718E+00    1.16 um     1.23 um     9461 A   
  30.00 keV   9.360E+01  6.536E+00    1.26 um     1.29 um     1.00 um  
  32.50 keV   9.877E+01  6.366E+00    1.36 um     1.35 um     1.05 um  
  35.00 keV   1.039E+02  6.205E+00    1.46 um     1.41 um     1.10 um  
  37.50 keV   1.088E+02  6.053E+00    1.56 um     1.46 um     1.15 um  
  40.00 keV   1.137E+02  5.909E+00    1.66 um     1.52 um     1.20 um  
  45.00 keV   1.233E+02  5.644E+00    1.86 um     1.61 um     1.28 um  
  50.00 keV   1.326E+02  5.405E+00    2.05 um     1.70 um     1.36 um  
  55.00 keV   1.416E+02  5.189E+00    2.23 um     1.78 um     1.44 um  
  60.00 keV   1.503E+02  4.992E+00    2.42 um     1.85 um     1.51 um  
  65.00 keV   1.588E+02  4.812E+00    2.60 um     1.92 um     1.58 um  
  70.00 keV   1.670E+02  4.647E+00    2.77 um     1.99 um     1.64 um  
  80.00 keV   1.828E+02  4.354E+00    3.12 um     2.10 um     1.75 um  
  90.00 keV   1.978E+02  4.101E+00    3.45 um     2.20 um     1.86 um  
 100.00 keV   2.120E+02  3.880E+00    3.77 um     2.29 um     1.96 um  
 110.00 keV   2.255E+02  3.686E+00    4.08 um     2.37 um     2.05 um  
 120.00 keV   2.383E+02  3.513E+00    4.39 um     2.44 um     2.13 um  
 130.00 keV   2.504E+02  3.358E+00    4.68 um     2.51 um     2.20 um  
 140.00 keV   2.619E+02  3.218E+00    4.97 um     2.57 um     2.28 um  
