# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.238E+02  4.734E+01    2088 A      1037 A       882 A   
  11.00 keV   3.385E+02  4.522E+01    2280 A      1093 A       938 A   
  12.00 keV   3.524E+02  4.332E+01    2468 A      1144 A       991 A   
  13.00 keV   3.657E+02  4.159E+01    2655 A      1193 A      1043 A   
  14.00 keV   3.784E+02  4.002E+01    2838 A      1239 A      1092 A   
  15.00 keV   3.907E+02  3.858E+01    3020 A      1282 A      1139 A   
  16.00 keV   4.025E+02  3.726E+01    3199 A      1323 A      1184 A   
  17.00 keV   4.139E+02  3.604E+01    3376 A      1362 A      1228 A   
  18.00 keV   4.250E+02  3.492E+01    3551 A      1399 A      1270 A   
  20.00 keV   4.460E+02  3.289E+01    3894 A      1468 A      1350 A   
  22.50 keV   4.708E+02  3.071E+01    4312 A      1546 A      1443 A   
  25.00 keV   4.940E+02  2.884E+01    4720 A      1616 A      1529 A   
  27.50 keV   5.159E+02  2.721E+01    5116 A      1680 A      1610 A   
  30.00 keV   5.367E+02  2.579E+01    5503 A      1738 A      1685 A   
  32.50 keV   5.565E+02  2.452E+01    5881 A      1792 A      1755 A   
  35.00 keV   5.754E+02  2.339E+01    6251 A      1841 A      1822 A   
  37.50 keV   5.935E+02  2.238E+01    6613 A      1887 A      1885 A   
  40.00 keV   6.109E+02  2.146E+01    6968 A      1930 A      1944 A   
  45.00 keV   6.438E+02  1.985E+01    7659 A      2008 A      2055 A   
  50.00 keV   6.744E+02  1.850E+01    8325 A      2077 A      2156 A   
  55.00 keV   7.031E+02  1.734E+01    8971 A      2139 A      2249 A   
  60.00 keV   7.302E+02  1.634E+01    9597 A      2195 A      2335 A   
  65.00 keV   7.558E+02  1.545E+01    1.02 um     2246 A      2415 A   
  70.00 keV   7.800E+02  1.467E+01    1.08 um     2292 A      2490 A   
  80.00 keV   8.251E+02  1.335E+01    1.19 um     2376 A      2626 A   
  90.00 keV   8.661E+02  1.227E+01    1.30 um     2449 A      2747 A   
 100.00 keV   9.038E+02  1.136E+01    1.41 um     2513 A      2857 A   
 110.00 keV   9.385E+02  1.060E+01    1.51 um     2570 A      2957 A   
 120.00 keV   9.707E+02  9.940E+00    1.61 um     2621 A      3048 A   
 130.00 keV   1.001E+03  9.366E+00    1.71 um     2668 A      3134 A   
 140.00 keV   1.028E+03  8.861E+00    1.80 um     2710 A      3213 A   
 150.00 keV   1.054E+03  8.413E+00    1.90 um     2749 A      3287 A   
 160.00 keV   1.079E+03  8.012E+00    1.99 um     2786 A      3357 A   
 170.00 keV   1.101E+03  7.652E+00    2.07 um     2819 A      3422 A   
 180.00 keV   1.123E+03  7.325E+00    2.16 um     2851 A      3485 A   
 200.00 keV   1.162E+03  6.757E+00    2.33 um     2913 A      3601 A   
 225.00 keV   1.204E+03  6.169E+00    2.54 um     2985 A      3732 A   
 250.00 keV   1.240E+03  5.683E+00    2.74 um     3049 A      3851 A   
 275.00 keV   1.272E+03  5.275E+00    2.93 um     3106 A      3960 A   
 300.00 keV   1.298E+03  4.926E+00    3.12 um     3159 A      4062 A   
 325.00 keV   1.322E+03  4.624E+00    3.31 um     3208 A      4156 A   
 350.00 keV   1.341E+03  4.359E+00    3.49 um     3254 A      4245 A   
 375.00 keV   1.358E+03  4.126E+00    3.67 um     3297 A      4330 A   
 400.00 keV   1.372E+03  3.919E+00    3.86 um     3338 A      4410 A   
 450.00 keV   1.394E+03  3.565E+00    4.21 um     3431 A      4561 A   
 500.00 keV   1.408E+03  3.274E+00    4.56 um     3518 A      4701 A   
 550.00 keV   1.417E+03  3.031E+00    4.91 um     3600 A      4833 A   
 600.00 keV   1.420E+03  2.823E+00    5.26 um     3678 A      4958 A   
 650.00 keV   1.420E+03  2.645E+00    5.61 um     3752 A      5078 A   
 700.00 keV   1.417E+03  2.489E+00    5.96 um     3824 A      5194 A   
 800.00 keV   1.404E+03  2.230E+00    6.67 um     4024 A      5415 A   
 900.00 keV   1.384E+03  2.023E+00    7.38 um     4216 A      5628 A   
   1.00 MeV   1.360E+03  1.853E+00    8.10 um     4403 A      5835 A   
   1.10 MeV   1.334E+03  1.712E+00    8.84 um     4587 A      6037 A   
   1.20 MeV   1.306E+03  1.592E+00    9.60 um     4770 A      6238 A   
   1.30 MeV   1.277E+03  1.489E+00   10.37 um     4952 A      6438 A   
   1.40 MeV   1.249E+03  1.399E+00   11.15 um     5134 A      6637 A   
   1.50 MeV   1.220E+03  1.320E+00   11.96 um     5317 A      6838 A   
   1.60 MeV   1.192E+03  1.250E+00   12.79 um     5502 A      7040 A   
   1.70 MeV   1.165E+03  1.187E+00   13.63 um     5688 A      7244 A   
   1.80 MeV   1.139E+03  1.131E+00   14.50 um     5877 A      7450 A   
   2.00 MeV   1.088E+03  1.035E+00   16.29 um     6509 A      7872 A   
   2.25 MeV   1.030E+03  9.360E-01   18.64 um     7443 A      8416 A   
   2.50 MeV   9.772E+02  8.555E-01   21.13 um     8361 A      8983 A   
   2.75 MeV   9.290E+02  7.885E-01   23.75 um     9273 A      9575 A   
   3.00 MeV   8.852E+02  7.318E-01   26.50 um     1.02 um     1.02 um  
   3.25 MeV   8.454E+02  6.831E-01   29.38 um     1.11 um     1.08 um  
   3.50 MeV   8.089E+02  6.409E-01   32.39 um     1.20 um     1.15 um  
   3.75 MeV   7.756E+02  6.039E-01   35.54 um     1.30 um     1.22 um  
   4.00 MeV   7.449E+02  5.712E-01   38.83 um     1.39 um     1.29 um  
   4.50 MeV   6.906E+02  5.158E-01   45.78 um     1.73 um     1.45 um  
   5.00 MeV   6.441E+02  4.708E-01   53.27 um     2.05 um     1.61 um  
   5.50 MeV   6.037E+02  4.333E-01   61.27 um     2.37 um     1.79 um  
   6.00 MeV   5.684E+02  4.017E-01   69.79 um     2.69 um     1.98 um  
   6.50 MeV   5.372E+02  3.746E-01   78.83 um     3.01 um     2.17 um  
   7.00 MeV   5.095E+02  3.512E-01   88.37 um     3.33 um     2.38 um  
   8.00 MeV   4.624E+02  3.124E-01  108.94 um     4.47 um     2.83 um  
   9.00 MeV   4.287E+02  2.818E-01  131.37 um     5.54 um     3.32 um  
  10.00 MeV   3.969E+02  2.568E-01  155.58 um     6.57 um     3.84 um  
