#
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.385E+02  2.564E+01     406 A       333 A       263 A   
  11.00 keV   1.461E+02  2.481E+01     446 A       354 A       281 A   
  12.00 keV   1.534E+02  2.405E+01     486 A       374 A       299 A   
  13.00 keV   1.605E+02  2.333E+01     525 A       393 A       316 A   
  14.00 keV   1.674E+02  2.266E+01     564 A       411 A       332 A   
  15.00 keV   1.741E+02  2.204E+01     603 A       428 A       348 A   
  16.00 keV   1.806E+02  2.145E+01     641 A       445 A       364 A   
  17.00 keV   1.871E+02  2.090E+01     679 A       461 A       378 A   
  18.00 keV   1.933E+02  2.039E+01     717 A       476 A       393 A   
  20.00 keV   2.055E+02  1.944E+01     791 A       504 A       420 A   
  22.50 keV   2.201E+02  1.839E+01     883 A       537 A       452 A   
  25.00 keV   2.341E+02  1.746E+01     972 A       567 A       482 A   
  27.50 keV   2.475E+02  1.664E+01    1060 A       594 A       510 A   
  30.00 keV   2.605E+02  1.591E+01    1146 A       619 A       537 A   
  32.50 keV   2.730E+02  1.524E+01    1230 A       642 A       562 A   
  35.00 keV   2.851E+02  1.464E+01    1312 A       663 A       585 A   
  37.50 keV   2.968E+02  1.409E+01    1392 A       683 A       607 A   
  40.00 keV   3.082E+02  1.359E+01    1472 A       702 A       628 A   
  45.00 keV   3.300E+02  1.270E+01    1625 A       736 A       668 A   
  50.00 keV   3.504E+02  1.194E+01    1774 A       766 A       704 A   
  55.00 keV   3.698E+02  1.128E+01    1918 A       793 A       737 A   
  60.00 keV   3.880E+02  1.069E+01    2058 A       817 A       767 A   
  65.00 keV   4.052E+02  1.017E+01    2193 A       839 A       796 A   
  70.00 keV   4.214E+02  9.710E+00    2326 A       859 A       822 A   
  80.00 keV   4.510E+02  8.914E+00    2581 A       895 A       871 A   
  90.00 keV   4.775E+02  8.254E+00    2827 A       926 A       915 A   
 100.00 keV   5.012E+02  7.696E+00    3063 A       954 A       954 A   
 110.00 keV   5.225E+02  7.218E+00    3293 A       978 A       991 A   
 120.00 keV   5.420E+02  6.802E+00    3516 A      1000 A      1024 A   
 130.00 keV   5.599E+02  6.437E+00    3734 A      1020 A      1055 A   
 140.00 keV   5.766E+02  6.114E+00    3947 A      1038 A      1085 A   
 150.00 keV   5.922E+02  5.826E+00    4156 A      1055 A      1112 A   
 160.00 keV   6.070E+02  5.566E+00    4360 A      1071 A      1138 A   
 170.00 keV   6.211E+02  5.332E+00    4561 A      1085 A      1163 A   
 180.00 keV   6.345E+02  5.118E+00    4759 A      1099 A      1186 A   
 200.00 keV   6.597E+02  4.744E+00    5144 A      1124 A      1230 A   
