# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.111E+02  1.575E+01    3278 A      3286 A      2533 A   
  11.00 keV   1.170E+02  1.541E+01    3589 A      3491 A      2702 A   
  12.00 keV   1.226E+02  1.508E+01    3898 A      3687 A      2865 A   
  13.00 keV   1.281E+02  1.476E+01    4207 A      3875 A      3023 A   
  14.00 keV   1.333E+02  1.446E+01    4514 A      4055 A      3176 A   
  15.00 keV   1.384E+02  1.416E+01    4820 A      4228 A      3325 A   
  16.00 keV   1.433E+02  1.388E+01    5124 A      4395 A      3468 A   
  17.00 keV   1.481E+02  1.362E+01    5428 A      4556 A      3608 A   
  18.00 keV   1.528E+02  1.336E+01    5729 A      4711 A      3745 A   
  20.00 keV   1.618E+02  1.288E+01    6329 A      5004 A      4008 A   
  22.50 keV   1.725E+02  1.233E+01    7071 A      5344 A      4319 A   
  25.00 keV   1.826E+02  1.183E+01    7803 A      5661 A      4612 A   
  27.50 keV   1.923E+02  1.138E+01    8526 A      5956 A      4891 A   
  30.00 keV   2.015E+02  1.097E+01    9239 A      6232 A      5155 A   
  32.50 keV   2.104E+02  1.059E+01    9943 A      6491 A      5407 A   
  35.00 keV   2.190E+02  1.024E+01    1.06 um     6735 A      5649 A   
  37.50 keV   2.273E+02  9.912E+00    1.13 um     6966 A      5880 A   
  40.00 keV   2.353E+02  9.611E+00    1.20 um     7183 A      6101 A   
  45.00 keV   2.506E+02  9.070E+00    1.33 um     7585 A      6520 A   
  50.00 keV   2.651E+02  8.597E+00    1.46 um     7949 A      6910 A   
  55.00 keV   2.789E+02  8.177E+00    1.59 um     8282 A      7273 A   
  60.00 keV   2.919E+02  7.803E+00    1.71 um     8587 A      7614 A   
  65.00 keV   3.045E+02  7.468E+00    1.84 um     8869 A      7936 A   
  70.00 keV   3.164E+02  7.164E+00    1.95 um     9130 A      8239 A   
  80.00 keV   3.390E+02  6.635E+00    2.19 um     9600 A      8802 A   
  90.00 keV   3.599E+02  6.190E+00    2.41 um     1.00 um     9312 A   
 100.00 keV   3.795E+02  5.808E+00    2.63 um     1.04 um     9779 A   
 110.00 keV   3.978E+02  5.477E+00    2.83 um     1.07 um     1.02 um  
 120.00 keV   4.149E+02  5.187E+00    3.04 um     1.10 um     1.06 um  
 130.00 keV   4.311E+02  4.930E+00    3.24 um     1.13 um     1.10 um  
 140.00 keV   4.463E+02  4.701E+00    3.43 um     1.15 um     1.13 um  
 150.00 keV   4.608E+02  4.495E+00    3.62 um     1.18 um     1.17 um  
 160.00 keV   4.744E+02  4.308E+00    3.81 um     1.20 um     1.20 um  
 170.00 keV   4.873E+02  4.139E+00    3.99 um     1.22 um     1.23 um  
 180.00 keV   4.996E+02  3.984E+00    4.17 um     1.24 um     1.25 um  
 200.00 keV   5.223E+02  3.710E+00    4.51 um     1.27 um     1.31 um  
 225.00 keV   5.476E+02  3.422E+00    4.93 um     1.31 um     1.37 um  
 250.00 keV   5.700E+02  3.181E+00    5.34 um     1.34 um     1.42 um  
 275.00 keV   5.897E+02  2.975E+00    5.74 um     1.37 um     1.47 um  
 300.00 keV   6.072E+02  2.797E+00    6.12 um     1.40 um     1.52 um  
 325.00 keV   6.227E+02  2.641E+00    6.50 um     1.42 um     1.56 um  
 350.00 keV   6.364E+02  2.503E+00    6.87 um     1.45 um     1.60 um  
 375.00 keV   6.484E+02  2.381E+00    7.24 um     1.47 um     1.64 um  
 400.00 keV   6.590E+02  2.271E+00    7.60 um     1.49 um     1.68 um  
 450.00 keV   6.765E+02  2.082E+00    8.31 um     1.52 um     1.75 um  
