# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.040E+02  6.228E+01    2218 A       905 A       792 A   
  11.00 keV   3.188E+02  5.906E+01    2428 A       956 A       847 A   
  12.00 keV   3.329E+02  5.621E+01    2634 A      1004 A       900 A   
  13.00 keV   3.465E+02  5.366E+01    2838 A      1048 A       949 A   
  14.00 keV   3.596E+02  5.136E+01    3038 A      1090 A       997 A   
  15.00 keV   3.721E+02  4.928E+01    3235 A      1129 A      1043 A   
  16.00 keV   3.843E+02  4.739E+01    3429 A      1166 A      1086 A   
  17.00 keV   3.961E+02  4.566E+01    3620 A      1200 A      1128 A   
  18.00 keV   4.076E+02  4.407E+01    3808 A      1233 A      1168 A   
  20.00 keV   4.296E+02  4.124E+01    4177 A      1294 A      1244 A   
  22.50 keV   4.555E+02  3.824E+01    4624 A      1362 A      1331 A   
  25.00 keV   4.801E+02  3.570E+01    5057 A      1423 A      1411 A   
  27.50 keV   5.035E+02  3.351E+01    5476 A      1477 A      1485 A   
  30.00 keV   5.258E+02  3.161E+01    5883 A      1527 A      1554 A   
  32.50 keV   5.472E+02  2.994E+01    6280 A      1571 A      1618 A   
  35.00 keV   5.677E+02  2.846E+01    6665 A      1613 A      1678 A   
  37.50 keV   5.876E+02  2.713E+01    7041 A      1650 A      1734 A   
  40.00 keV   6.067E+02  2.594E+01    7408 A      1685 A      1787 A   
  45.00 keV   6.433E+02  2.388E+01    8118 A      1749 A      1884 A   
  50.00 keV   6.778E+02  2.215E+01    8798 A      1804 A      1972 A   
  55.00 keV   7.107E+02  2.068E+01    9453 A      1853 A      2051 A   
  60.00 keV   7.419E+02  1.942E+01    1.01 um     1897 A      2124 A   
  65.00 keV   7.719E+02  1.831E+01    1.07 um     1936 A      2190 A   
  70.00 keV   8.007E+02  1.734E+01    1.13 um     1971 A      2252 A   
  80.00 keV   8.551E+02  1.570E+01    1.24 um     2035 A      2363 A   
  90.00 keV   9.059E+02  1.437E+01    1.35 um     2090 A      2460 A   
 100.00 keV   9.537E+02  1.327E+01    1.45 um     2137 A      2545 A   
 110.00 keV   9.988E+02  1.234E+01    1.55 um     2178 A      2623 A   
 120.00 keV   1.042E+03  1.154E+01    1.64 um     2214 A      2692 A   
 130.00 keV   1.082E+03  1.085E+01    1.73 um     2247 A      2756 A   
 140.00 keV   1.121E+03  1.025E+01    1.82 um     2276 A      2814 A   
 150.00 keV   1.159E+03  9.709E+00    1.91 um     2302 A      2868 A   
 160.00 keV   1.194E+03  9.231E+00    1.99 um     2326 A      2918 A   
 170.00 keV   1.228E+03  8.802E+00    2.07 um     2349 A      2964 A   
 180.00 keV   1.261E+03  8.414E+00    2.15 um     2369 A      3007 A   
 200.00 keV   1.323E+03  7.741E+00    2.30 um     2410 A      3087 A   
 225.00 keV   1.393E+03  7.049E+00    2.48 um     2458 A      3174 A   
 250.00 keV   1.458E+03  6.479E+00    2.65 um     2498 A      3251 A   
 275.00 keV   1.516E+03  6.000E+00    2.82 um     2535 A      3319 A   
 300.00 keV   1.569E+03  5.593E+00    2.98 um     2567 A      3381 A   
 325.00 keV   1.617E+03  5.242E+00    3.13 um     2596 A      3438 A   
 350.00 keV   1.661E+03  4.935E+00    3.28 um     2623 A      3490 A   
 375.00 keV   1.700E+03  4.665E+00    3.43 um     2647 A      3538 A   
 400.00 keV   1.735E+03  4.425E+00    3.57 um     2670 A      3584 A   
 450.00 keV   1.793E+03  4.017E+00    3.85 um     2727 A      3666 A   
 500.00 keV   1.838E+03  3.683E+00    4.13 um     2777 A      3740 A   
 550.00 keV   1.871E+03  3.403E+00    4.40 um     2824 A      3808 A   
 600.00 keV   1.893E+03  3.166E+00    4.66 um     2868 A      3870 A   
 650.00 keV   1.905E+03  2.962E+00    4.92 um     2910 A      3929 A   
 700.00 keV   1.909E+03  2.784E+00    5.18 um     2950 A      3985 A   
 800.00 keV   1.899E+03  2.489E+00    5.71 um     3071 A      4090 A   
 900.00 keV   1.870E+03  2.254E+00    6.23 um     3188 A      4189 A   
   1.00 MeV   1.829E+03  2.063E+00    6.77 um     3305 A      4283 A   
   1.10 MeV   1.782E+03  1.903E+00    7.32 um     3421 A      4376 A   
   1.20 MeV   1.731E+03  1.767E+00    7.89 um     3539 A      4468 A   
   1.30 MeV   1.680E+03  1.651E+00    8.48 um     3659 A      4560 A   
   1.40 MeV   1.629E+03  1.550E+00    9.08 um     3781 A      4652 A   
   1.50 MeV   1.580E+03  1.461E+00    9.70 um     3907 A      4745 A   
   1.60 MeV   1.534E+03  1.383E+00   10.34 um     4036 A      4840 A   
   1.70 MeV   1.489E+03  1.313E+00   11.00 um     4167 A      4936 A   
   1.80 MeV   1.447E+03  1.250E+00   11.68 um     4302 A      5034 A   
   2.00 MeV   1.370E+03  1.142E+00   13.10 um     4795 A      5238 A   
   2.25 MeV   1.286E+03  1.031E+00   14.98 um     5542 A      5506 A   
   2.50 MeV   1.211E+03  9.417E-01   16.98 um     6280 A      5790 A   
   2.75 MeV   1.146E+03  8.671E-01   19.10 um     7017 A      6093 A   
   3.00 MeV   1.088E+03  8.041E-01   21.34 um     7756 A      6414 A   
   3.25 MeV   1.035E+03  7.501E-01   23.69 um     8500 A      6754 A   
   3.50 MeV   9.883E+02  7.032E-01   26.16 um     9251 A      7112 A   
   3.75 MeV   9.456E+02  6.622E-01   28.74 um     1.00 um     7490 A   
   4.00 MeV   9.066E+02  6.259E-01   31.44 um     1.08 um     7887 A   
   4.50 MeV   8.381E+02  5.647E-01   37.17 um     1.36 um     8738 A   
   5.00 MeV   7.797E+02  5.149E-01   43.35 um     1.63 um     9664 A   
   5.50 MeV   7.292E+02  4.736E-01   49.97 um     1.89 um     1.07 um  
   6.00 MeV   6.851E+02  4.387E-01   57.04 um     2.15 um     1.17 um  
   6.50 MeV   6.462E+02  4.089E-01   64.55 um     2.41 um     1.29 um  
   7.00 MeV   6.116E+02  3.830E-01   72.49 um     2.68 um     1.41 um  
   8.00 MeV   5.526E+02  3.404E-01   89.68 um     3.64 um     1.67 um  
   9.00 MeV   5.155E+02  3.067E-01  108.41 um     4.53 um     1.96 um  
  10.00 MeV   4.783E+02  2.794E-01  128.53 um     5.38 um     2.27 um  
