#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.792E+02  4.661E+01    2314 A      1161 A       987 A   
  11.00 keV   2.936E+02  4.447E+01    2529 A      1225 A      1052 A   
  12.00 keV   3.075E+02  4.254E+01    2740 A      1285 A      1114 A   
  13.00 keV   3.209E+02  4.080E+01    2948 A      1341 A      1173 A   
  14.00 keV   3.338E+02  3.922E+01    3153 A      1393 A      1229 A   
  15.00 keV   3.463E+02  3.778E+01    3354 A      1442 A      1283 A   
  16.00 keV   3.584E+02  3.646E+01    3553 A      1488 A      1334 A   
  17.00 keV   3.702E+02  3.524E+01    3748 A      1532 A      1383 A   
  18.00 keV   3.816E+02  3.411E+01    3940 A      1573 A      1431 A   
  20.00 keV   4.037E+02  3.209E+01    4316 A      1650 A      1520 A   
  22.50 keV   4.298E+02  2.992E+01    4772 A      1735 A      1623 A   
  25.00 keV   4.547E+02  2.807E+01    5213 A      1811 A      1717 A   
  27.50 keV   4.784E+02  2.646E+01    5640 A      1879 A      1804 A   
  30.00 keV   5.011E+02  2.505E+01    6054 A      1941 A      1885 A   
  32.50 keV   5.229E+02  2.380E+01    6456 A      1997 A      1960 A   
  35.00 keV   5.439E+02  2.269E+01    6848 A      2049 A      2030 A   
  37.50 keV   5.642E+02  2.169E+01    7229 A      2096 A      2096 A   
  40.00 keV   5.839E+02  2.079E+01    7601 A      2140 A      2158 A   
  45.00 keV   6.215E+02  1.922E+01    8320 A      2218 A      2272 A   
  50.00 keV   6.570E+02  1.789E+01    9007 A      2287 A      2374 A   
  55.00 keV   6.907E+02  1.676E+01    9668 A      2347 A      2467 A   
  60.00 keV   7.228E+02  1.577E+01    1.03 um     2401 A      2552 A   
  65.00 keV   7.535E+02  1.491E+01    1.09 um     2449 A      2630 A   
  70.00 keV   7.829E+02  1.415E+01    1.15 um     2493 A      2702 A   
  80.00 keV   8.381E+02  1.286E+01    1.27 um     2571 A      2831 A   
