# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.324E+02  1.633E+01    3084 A      2893 A      2247 A   
  11.00 keV   1.393E+02  1.597E+01    3371 A      3068 A      2393 A   
  12.00 keV   1.459E+02  1.562E+01    3657 A      3234 A      2534 A   
  13.00 keV   1.523E+02  1.529E+01    3940 A      3393 A      2669 A   
  14.00 keV   1.585E+02  1.497E+01    4221 A      3545 A      2801 A   
  15.00 keV   1.645E+02  1.466E+01    4501 A      3690 A      2928 A   
  16.00 keV   1.704E+02  1.437E+01    4779 A      3830 A      3051 A   
  17.00 keV   1.761E+02  1.409E+01    5055 A      3964 A      3170 A   
  18.00 keV   1.818E+02  1.382E+01    5329 A      4094 A      3286 A   
  20.00 keV   1.926E+02  1.331E+01    5872 A      4337 A      3508 A   
  22.50 keV   2.057E+02  1.274E+01    6540 A      4619 A      3771 A   
  25.00 keV   2.182E+02  1.222E+01    7196 A      4878 A      4017 A   
  27.50 keV   2.303E+02  1.174E+01    7840 A      5119 A      4248 A   
  30.00 keV   2.420E+02  1.131E+01    8473 A      5342 A      4467 A   
  32.50 keV   2.533E+02  1.092E+01    9095 A      5550 A      4675 A   
  35.00 keV   2.643E+02  1.055E+01    9705 A      5744 A      4872 A   
  37.50 keV   2.750E+02  1.021E+01    1.03 um     5926 A      5060 A   
  40.00 keV   2.854E+02  9.901E+00    1.09 um     6098 A      5239 A   
  45.00 keV   3.055E+02  9.340E+00    1.20 um     6411 A      5575 A   
  50.00 keV   3.246E+02  8.848E+00    1.32 um     6692 A      5884 A   
  55.00 keV   3.427E+02  8.413E+00    1.42 um     6946 A      6170 A   
  60.00 keV   3.600E+02  8.026E+00    1.53 um     7176 A      6436 A   
  65.00 keV   3.763E+02  7.678E+00    1.63 um     7388 A      6685 A   
  70.00 keV   3.919E+02  7.364E+00    1.73 um     7582 A      6919 A   
  80.00 keV   4.204E+02  6.817E+00    1.93 um     7929 A      7348 A   
  90.00 keV   4.458E+02  6.357E+00    2.11 um     8232 A      7735 A   
 100.00 keV   4.685E+02  5.963E+00    2.29 um     8500 A      8088 A   
 110.00 keV   4.887E+02  5.622E+00    2.47 um     8741 A      8414 A   
 120.00 keV   5.069E+02  5.323E+00    2.64 um     8959 A      8717 A   
 130.00 keV   5.235E+02  5.058E+00    2.81 um     9158 A      9001 A   
 140.00 keV   5.388E+02  4.822E+00    2.97 um     9342 A      9268 A   
 150.00 keV   5.532E+02  4.610E+00    3.13 um     9512 A      9521 A   
 160.00 keV   5.669E+02  4.418E+00    3.29 um     9671 A      9761 A   
 170.00 keV   5.799E+02  4.243E+00    3.45 um     9819 A      9989 A   
 180.00 keV   5.925E+02  4.083E+00    3.60 um     9959 A      1.02 um  
 200.00 keV   6.164E+02  3.802E+00    3.90 um     1.02 um     1.06 um  
 225.00 keV   6.445E+02  3.506E+00    4.26 um     1.05 um     1.11 um  
 250.00 keV   6.706E+02  3.258E+00    4.61 um     1.08 um     1.15 um  
 275.00 keV   6.947E+02  3.046E+00    4.95 um     1.10 um     1.19 um  
 300.00 keV   7.166E+02  2.863E+00    5.28 um     1.12 um     1.23 um  
 325.00 keV   7.365E+02  2.704E+00    5.61 um     1.14 um     1.26 um  
 350.00 keV   7.543E+02  2.563E+00    5.92 um     1.16 um     1.29 um  
 375.00 keV   7.701E+02  2.437E+00    6.23 um     1.17 um     1.32 um  
 400.00 keV   7.840E+02  2.324E+00    6.54 um     1.19 um     1.35 um  
