# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.007E+01  1.025E+01    3757 A      4490 A      3396 A   
  11.00 keV   8.443E+01  1.011E+01    4108 A      4772 A      3620 A   
  12.00 keV   8.864E+01  9.961E+00    4457 A      5042 A      3837 A   
  13.00 keV   9.273E+01  9.815E+00    4805 A      5301 A      4047 A   
  14.00 keV   9.671E+01  9.670E+00    5152 A      5551 A      4250 A   
  15.00 keV   1.006E+02  9.528E+00    5498 A      5792 A      4447 A   
  16.00 keV   1.044E+02  9.389E+00    5842 A      6024 A      4638 A   
  17.00 keV   1.081E+02  9.253E+00    6186 A      6248 A      4825 A   
  18.00 keV   1.117E+02  9.120E+00    6528 A      6465 A      5006 A   
  20.00 keV   1.188E+02  8.865E+00    7209 A      6877 A      5357 A   
  22.50 keV   1.273E+02  8.566E+00    8052 A      7358 A      5772 A   
  25.00 keV   1.356E+02  8.287E+00    8886 A      7806 A      6164 A   
  27.50 keV   1.435E+02  8.028E+00    9710 A      8226 A      6536 A   
  30.00 keV   1.513E+02  7.786E+00    1.05 um     8620 A      6889 A   
  32.50 keV   1.588E+02  7.560E+00    1.13 um     8990 A      7225 A   
  35.00 keV   1.662E+02  7.349E+00    1.21 um     9339 A      7547 A   
  37.50 keV   1.734E+02  7.151E+00    1.29 um     9669 A      7855 A   
  40.00 keV   1.804E+02  6.965E+00    1.37 um     9981 A      8150 A   
  45.00 keV   1.941E+02  6.626E+00    1.52 um     1.06 um     8707 A   
  50.00 keV   2.073E+02  6.323E+00    1.67 um     1.11 um     9223 A   
  55.00 keV   2.199E+02  6.051E+00    1.81 um     1.16 um     9703 A   
  60.00 keV   2.322E+02  5.806E+00    1.95 um     1.20 um     1.02 um  
  65.00 keV   2.440E+02  5.582E+00    2.09 um     1.24 um     1.06 um  
  70.00 keV   2.553E+02  5.378E+00    2.23 um     1.28 um     1.10 um  
  80.00 keV   2.768E+02  5.019E+00    2.49 um     1.34 um     1.17 um  
  90.00 keV   2.966E+02  4.711E+00    2.74 um     1.40 um     1.24 um  
 100.00 keV   3.147E+02  4.445E+00    2.98 um     1.45 um     1.30 um  
 110.00 keV   3.311E+02  4.212E+00    3.22 um     1.50 um     1.35 um  
 120.00 keV   3.460E+02  4.005E+00    3.45 um     1.54 um     1.41 um  
 130.00 keV   3.593E+02  3.821E+00    3.67 um     1.58 um     1.45 um  
 140.00 keV   3.713E+02  3.655E+00    3.89 um     1.62 um     1.50 um  
 150.00 keV   3.821E+02  3.505E+00    4.11 um     1.65 um     1.54 um  
 160.00 keV   3.917E+02  3.369E+00    4.32 um     1.68 um     1.58 um  
 170.00 keV   4.003E+02  3.244E+00    4.53 um     1.71 um     1.62 um  
 180.00 keV   4.081E+02  3.130E+00    4.74 um     1.74 um     1.66 um  
 200.00 keV   4.217E+02  2.927E+00    5.15 um     1.79 um     1.73 um  
 225.00 keV   4.359E+02  2.712E+00    5.66 um     1.85 um     1.82 um  
 250.00 keV   4.481E+02  2.530E+00    6.15 um     1.90 um     1.90 um  
 275.00 keV   4.591E+02  2.374E+00    6.64 um     1.95 um     1.97 um  
 300.00 keV   4.691E+02  2.238E+00    7.12 um     1.99 um     2.04 um  
 325.00 keV   4.783E+02  2.119E+00    7.60 um     2.03 um     2.11 um  
