# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.926E+02  5.227E+01    2687 A      1435 A      1203 A   
  11.00 keV   2.021E+02  4.980E+01    2960 A      1529 A      1295 A   
  12.00 keV   2.112E+02  4.759E+01    3230 A      1618 A      1383 A   
  13.00 keV   2.199E+02  4.560E+01    3498 A      1702 A      1468 A   
  14.00 keV   2.283E+02  4.379E+01    3764 A      1782 A      1550 A   
  15.00 keV   2.365E+02  4.214E+01    4027 A      1858 A      1629 A   
  16.00 keV   2.444E+02  4.063E+01    4288 A      1930 A      1706 A   
  17.00 keV   2.520E+02  3.925E+01    4546 A      1999 A      1780 A   
  18.00 keV   2.595E+02  3.797E+01    4802 A      2064 A      1851 A   
  20.00 keV   2.739E+02  3.567E+01    5306 A      2187 A      1988 A   
  22.50 keV   2.909E+02  3.322E+01    5923 A      2326 A      2147 A   
  25.00 keV   3.072E+02  3.113E+01    6524 A      2452 A      2295 A   
  27.50 keV   3.227E+02  2.932E+01    7111 A      2566 A      2433 A   
  30.00 keV   3.375E+02  2.774E+01    7684 A      2671 A      2562 A   
  32.50 keV   3.519E+02  2.634E+01    8244 A      2767 A      2684 A   
  35.00 keV   3.657E+02  2.509E+01    8791 A      2856 A      2798 A   
  37.50 keV   3.791E+02  2.397E+01    9327 A      2938 A      2906 A   
  40.00 keV   3.921E+02  2.296E+01    9851 A      3014 A      3009 A   
  45.00 keV   4.170E+02  2.120E+01    1.09 um     3153 A      3199 A   
  50.00 keV   4.407E+02  1.973E+01    1.18 um     3275 A      3371 A   
  55.00 keV   4.632E+02  1.846E+01    1.28 um     3383 A      3528 A   
  60.00 keV   4.848E+02  1.737E+01    1.37 um     3480 A      3673 A   
  65.00 keV   5.055E+02  1.641E+01    1.46 um     3568 A      3806 A   
  70.00 keV   5.253E+02  1.557E+01    1.54 um     3647 A      3931 A   
  80.00 keV   5.628E+02  1.414E+01    1.71 um     3789 A      4155 A   
  90.00 keV   5.976E+02  1.297E+01    1.87 um     3909 A      4352 A   
 100.00 keV   6.301E+02  1.200E+01    2.02 um     4013 A      4528 A   
 110.00 keV   6.604E+02  1.118E+01    2.16 um     4104 A      4687 A   
 120.00 keV   6.887E+02  1.048E+01    2.30 um     4185 A      4832 A   
 130.00 keV   7.154E+02  9.864E+00    2.43 um     4258 A      4964 A   
 140.00 keV   7.405E+02  9.325E+00    2.56 um     4323 A      5086 A   
 150.00 keV   7.643E+02  8.848E+00    2.69 um     4383 A      5199 A   
 160.00 keV   7.869E+02  8.421E+00    2.81 um     4437 A      5305 A   
 170.00 keV   8.085E+02  8.038E+00    2.93 um     4487 A      5403 A   
 180.00 keV   8.291E+02  7.691E+00    3.05 um     4534 A      5496 A   
 200.00 keV   8.679E+02  7.087E+00    3.27 um     4623 A      5666 A   
 225.00 keV   9.126E+02  6.464E+00    3.54 um     4721 A      5855 A   
 250.00 keV   9.539E+02  5.950E+00    3.80 um     4807 A      6023 A   
 275.00 keV   9.922E+02  5.518E+00    4.05 um     4883 A      6174 A   
 300.00 keV   1.028E+03  5.149E+00    4.29 um     4950 A      6311 A   
 325.00 keV   1.061E+03  4.831E+00    4.53 um     5011 A      6436 A   
 350.00 keV   1.092E+03  4.552E+00    4.76 um     5066 A      6552 A   
 375.00 keV   1.121E+03  4.307E+00    4.98 um     5116 A      6659 A   
 400.00 keV   1.148E+03  4.088E+00    5.19 um     5163 A      6759 A   
 450.00 keV   1.195E+03  3.716E+00    5.61 um     5263 A      6941 A   
 500.00 keV   1.234E+03  3.411E+00    6.02 um     5352 A      7104 A   
 550.00 keV   1.267E+03  3.155E+00    6.41 um     5432 A      7252 A   
 600.00 keV   1.293E+03  2.938E+00    6.80 um     5506 A      7389 A   
 650.00 keV   1.314E+03  2.751E+00    7.18 um     5574 A      7515 A   
 700.00 keV   1.329E+03  2.587E+00    7.56 um     5638 A      7634 A   
 800.00 keV   1.347E+03  2.316E+00    8.30 um     5804 A      7854 A   
 900.00 keV   1.352E+03  2.100E+00    9.03 um     5959 A      8056 A   
   1.00 MeV   1.347E+03  1.923E+00    9.77 um     6107 A      8246 A   
   1.10 MeV   1.334E+03  1.776E+00   10.51 um     6250 A      8426 A   
   1.20 MeV   1.317E+03  1.650E+00   11.26 um     6391 A      8601 A   
   1.30 MeV   1.296E+03  1.543E+00   12.02 um     6531 A      8771 A   
   1.40 MeV   1.272E+03  1.449E+00   12.80 um     6671 A      8939 A   
   1.50 MeV   1.248E+03  1.367E+00   13.59 um     6812 A      9105 A   
   1.60 MeV   1.222E+03  1.294E+00   14.40 um     6954 A      9270 A   
   1.70 MeV   1.196E+03  1.229E+00   15.22 um     7098 A      9436 A   
   1.80 MeV   1.171E+03  1.171E+00   16.06 um     7244 A      9601 A   
   2.00 MeV   1.121E+03  1.070E+00   17.80 um     7741 A      9937 A   
   2.25 MeV   1.062E+03  9.678E-01   20.09 um     8498 A      1.04 um  
   2.50 MeV   1.008E+03  8.842E-01   22.50 um     9264 A      1.08 um  
   2.75 MeV   9.585E+02  8.146E-01   25.03 um     1.00 um     1.13 um  
   3.00 MeV   9.134E+02  7.558E-01   27.70 um     1.08 um     1.18 um  
   3.25 MeV   8.724E+02  7.054E-01   30.49 um     1.16 um     1.23 um  
   3.50 MeV   8.350E+02  6.616E-01   33.42 um     1.25 um     1.28 um  
   3.75 MeV   8.008E+02  6.232E-01   36.47 um     1.33 um     1.34 um  
   4.00 MeV   7.695E+02  5.893E-01   39.65 um     1.42 um     1.39 um  
   4.50 MeV   7.141E+02  5.320E-01   46.38 um     1.73 um     1.52 um  
   5.00 MeV   6.669E+02  4.854E-01   53.62 um     2.03 um     1.65 um  
   5.50 MeV   6.261E+02  4.467E-01   61.34 um     2.33 um     1.80 um  
   6.00 MeV   5.905E+02  4.140E-01   69.55 um     2.63 um     1.95 um  
