# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.097E+02  2.588E+01    3124 A      2868 A      2233 A   
  11.00 keV   1.157E+02  2.510E+01    3440 A      3063 A      2397 A   
  12.00 keV   1.215E+02  2.438E+01    3755 A      3250 A      2556 A   
  13.00 keV   1.271E+02  2.370E+01    4070 A      3429 A      2709 A   
  14.00 keV   1.325E+02  2.306E+01    4384 A      3601 A      2858 A   
  15.00 keV   1.378E+02  2.246E+01    4697 A      3766 A      3003 A   
  16.00 keV   1.430E+02  2.190E+01    5009 A      3924 A      3144 A   
  17.00 keV   1.480E+02  2.137E+01    5320 A      4077 A      3280 A   
  18.00 keV   1.529E+02  2.086E+01    5629 A      4224 A      3413 A   
  20.00 keV   1.624E+02  1.994E+01    6243 A      4501 A      3669 A   
  22.50 keV   1.738E+02  1.891E+01    7002 A      4822 A      3972 A   
  25.00 keV   1.847E+02  1.800E+01    7751 A      5118 A      4256 A   
  27.50 keV   1.951E+02  1.718E+01    8488 A      5392 A      4525 A   
  30.00 keV   2.053E+02  1.645E+01    9214 A      5648 A      4779 A   
  32.50 keV   2.150E+02  1.579E+01    9928 A      5885 A      5021 A   
  35.00 keV   2.245E+02  1.519E+01    1.06 um     6108 A      5251 A   
  37.50 keV   2.337E+02  1.464E+01    1.13 um     6317 A      5470 A   
  40.00 keV   2.427E+02  1.413E+01    1.20 um     6513 A      5679 A   
  45.00 keV   2.599E+02  1.323E+01    1.33 um     6871 A      6072 A   
  50.00 keV   2.763E+02  1.246E+01    1.46 um     7193 A      6433 A   
  55.00 keV   2.920E+02  1.178E+01    1.59 um     7483 A      6768 A   
  60.00 keV   3.070E+02  1.119E+01    1.71 um     7746 A      7079 A   
  65.00 keV   3.214E+02  1.066E+01    1.83 um     7987 A      7370 A   
  70.00 keV   3.352E+02  1.018E+01    1.95 um     8208 A      7643 A   
  80.00 keV   3.613E+02  9.365E+00    2.17 um     8601 A      8142 A   
  90.00 keV   3.855E+02  8.684E+00    2.39 um     8942 A      8590 A   
 100.00 keV   4.079E+02  8.108E+00    2.60 um     9240 A      8995 A   
 110.00 keV   4.286E+02  7.612E+00    2.80 um     9505 A      9366 A   
 120.00 keV   4.479E+02  7.181E+00    2.99 um     9743 A      9707 A   
 130.00 keV   4.657E+02  6.802E+00    3.18 um     9958 A      1.00 um  
 140.00 keV   4.823E+02  6.466E+00    3.36 um     1.02 um     1.03 um  
 150.00 keV   4.977E+02  6.165E+00    3.54 um     1.03 um     1.06 um  
 160.00 keV   5.120E+02  5.894E+00    3.72 um     1.05 um     1.09 um  
 170.00 keV   5.254E+02  5.649E+00    3.89 um     1.07 um     1.11 um  
 180.00 keV   5.379E+02  5.426E+00    4.06 um     1.08 um     1.13 um  
 200.00 keV   5.607E+02  5.034E+00    4.39 um     1.11 um     1.18 um  
 225.00 keV   5.857E+02  4.625E+00    4.79 um     1.14 um     1.23 um  
 250.00 keV   6.076E+02  4.283E+00    5.18 um     1.16 um     1.27 um  
 275.00 keV   6.271E+02  3.994E+00    5.55 um     1.18 um     1.31 um  
 300.00 keV   6.446E+02  3.745E+00    5.92 um     1.21 um     1.35 um  
 325.00 keV   6.604E+02  3.528E+00    6.28 um     1.23 um     1.39 um  
 350.00 keV   6.748E+02  3.337E+00    6.64 um     1.24 um     1.42 um  
 375.00 keV   6.878E+02  3.168E+00    6.99 um     1.26 um     1.45 um  
 400.00 keV   6.997E+02  3.017E+00    7.33 um     1.27 um     1.48 um  
 450.00 keV   7.202E+02  2.758E+00    8.01 um     1.30 um     1.54 um  
 500.00 keV   7.372E+02  2.543E+00    8.67 um     1.33 um     1.59 um  
 550.00 keV   7.509E+02  2.362E+00    9.32 um     1.35 um     1.64 um  
 600.00 keV   7.620E+02  2.208E+00    9.96 um     1.38 um     1.68 um  
 650.00 keV   7.707E+02  2.074E+00   10.59 um     1.40 um     1.73 um  
 700.00 keV   7.774E+02  1.956E+00   11.22 um     1.42 um     1.77 um  
 800.00 keV   7.856E+02  1.760E+00   12.47 um     1.46 um     1.84 um  
 900.00 keV   7.885E+02  1.603E+00   13.71 um     1.50 um     1.92 um  
   1.00 MeV   7.874E+02  1.473E+00   14.96 um     1.53 um     1.98 um  
   1.10 MeV   7.834E+02  1.365E+00   16.21 um     1.57 um     2.05 um  
   1.20 MeV   7.771E+02  1.272E+00   17.47 um     1.60 um     2.11 um  
   1.30 MeV   7.692E+02  1.192E+00   18.75 um     1.63 um     2.18 um  
   1.40 MeV   7.602E+02  1.122E+00   20.04 um     1.66 um     2.24 um  
   1.50 MeV   7.504E+02  1.061E+00   21.34 um     1.70 um     2.30 um  
   1.60 MeV   7.400E+02  1.007E+00   22.67 um     1.73 um     2.36 um  
   1.70 MeV   7.292E+02  9.577E-01   24.02 um     1.76 um     2.42 um  
   1.80 MeV   7.183E+02  9.137E-01   25.38 um     1.79 um     2.48 um  
   2.00 MeV   6.962E+02  8.377E-01   28.18 um     1.87 um     2.59 um  
   2.25 MeV   6.690E+02  7.599E-01   31.81 um     1.99 um     2.74 um  
   2.50 MeV   6.429E+02  6.962E-01   35.59 um     2.10 um     2.90 um  
   2.75 MeV   6.182E+02  6.430E-01   39.53 um     2.22 um     3.05 um  
   3.00 MeV   5.949E+02  5.978E-01   43.62 um     2.35 um     3.21 um  
   3.25 MeV   5.732E+02  5.590E-01   47.88 um     2.47 um     3.38 um  
   3.50 MeV   5.529E+02  5.252E-01   52.29 um     2.60 um     3.54 um  
   3.75 MeV   5.339E+02  4.956E-01   56.86 um     2.72 um     3.72 um  
   4.00 MeV   5.162E+02  4.693E-01   61.59 um     2.86 um     3.90 um  
   4.50 MeV   4.841E+02  4.247E-01   71.54 um     3.28 um     4.27 um  
   5.00 MeV   4.559E+02  3.884E-01   82.13 um     3.70 um     4.66 um  
   5.50 MeV   4.310E+02  3.581E-01   93.36 um     4.13 um     5.08 um  
   6.00 MeV   4.088E+02  3.325E-01  105.21 um     4.56 um     5.51 um  
   6.50 MeV   3.890E+02  3.105E-01  117.70 um     4.99 um     5.97 um  
   7.00 MeV   3.711E+02  2.914E-01  130.80 um     5.43 um     6.45 um  
   8.00 MeV   3.403E+02  2.598E-01  158.82 um     6.92 um     7.47 um  
   9.00 MeV   3.186E+02  2.347E-01  189.07 um     8.33 um     8.56 um  
  10.00 MeV   2.979E+02  2.143E-01  221.41 um     9.70 um     9.72 um  
