#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.608E+02  5.893E+01    2371 A      1067 A       919 A   
  11.00 keV   2.736E+02  5.597E+01    2601 A      1130 A       985 A   
  12.00 keV   2.859E+02  5.335E+01    2828 A      1190 A      1048 A   
  13.00 keV   2.976E+02  5.099E+01    3052 A      1245 A      1108 A   
  14.00 keV   3.089E+02  4.887E+01    3272 A      1298 A      1165 A   
  15.00 keV   3.198E+02  4.694E+01    3490 A      1347 A      1221 A   
  16.00 keV   3.304E+02  4.518E+01    3705 A      1394 A      1274 A   
  17.00 keV   3.406E+02  4.357E+01    3917 A      1438 A      1325 A   
  18.00 keV   3.506E+02  4.208E+01    4126 A      1480 A      1374 A   
  20.00 keV   3.697E+02  3.944E+01    4537 A      1558 A      1468 A   
  22.50 keV   3.923E+02  3.663E+01    5036 A      1646 A      1575 A   
  25.00 keV   4.136E+02  3.424E+01    5520 A      1724 A      1675 A   
  27.50 keV   4.340E+02  3.218E+01    5991 A      1795 A      1767 A   
  30.00 keV   4.534E+02  3.039E+01    6449 A      1859 A      1853 A   
  32.50 keV   4.721E+02  2.880E+01    6895 A      1918 A      1933 A   
  35.00 keV   4.900E+02  2.740E+01    7329 A      1972 A      2008 A   
  37.50 keV   5.073E+02  2.614E+01    7754 A      2021 A      2079 A   
  40.00 keV   5.241E+02  2.501E+01    8169 A      2067 A      2146 A   
  45.00 keV   5.560E+02  2.305E+01    8972 A      2151 A      2269 A   
  50.00 keV   5.862E+02  2.140E+01    9743 A      2224 A      2380 A   
  55.00 keV   6.150E+02  2.000E+01    1.05 um     2289 A      2481 A   
  60.00 keV   6.424E+02  1.879E+01    1.12 um     2346 A      2573 A   
  65.00 keV   6.686E+02  1.773E+01    1.19 um     2398 A      2659 A   
  70.00 keV   6.938E+02  1.680E+01    1.26 um     2445 A      2738 A   
  80.00 keV   7.415E+02  1.523E+01    1.39 um     2530 A      2880 A   
  90.00 keV   7.860E+02  1.395E+01    1.51 um     2602 A      3004 A   
 100.00 keV   8.279E+02  1.289E+01    1.62 um     2664 A      3115 A   
 110.00 keV   8.675E+02  1.200E+01    1.74 um     2718 A      3215 A   
 120.00 keV   9.050E+02  1.123E+01    1.84 um     2766 A      3305 A   
 130.00 keV   9.407E+02  1.056E+01    1.95 um     2809 A      3387 A   
 140.00 keV   9.747E+02  9.976E+00    2.05 um     2847 A      3463 A   
 150.00 keV   1.007E+03  9.457E+00    2.14 um     2882 A      3533 A   
 160.00 keV   1.038E+03  8.995E+00    2.24 um     2914 A      3598 A   
 170.00 keV   1.068E+03  8.580E+00    2.33 um     2943 A      3658 A   
 180.00 keV   1.097E+03  8.205E+00    2.42 um     2971 A      3715 A   
 200.00 keV   1.150E+03  7.553E+00    2.59 um     3024 A      3818 A   
 225.00 keV   1.212E+03  6.881E+00    2.80 um     3084 A      3932 A   
 250.00 keV   1.267E+03  6.328E+00    3.00 um     3136 A      4033 A   
 275.00 keV   1.318E+03  5.864E+00    3.19 um     3182 A      4123 A   
 300.00 keV   1.363E+03  5.468E+00    3.37 um     3223 A      4205 A   
