# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.361E+01  7.465E+00    4654 A      7881 A      5801 A   
  11.00 keV   3.553E+01  7.396E+00    5108 A      8427 A      6213 A   
  12.00 keV   3.742E+01  7.322E+00    5564 A      8956 A      6614 A   
  13.00 keV   3.928E+01  7.245E+00    6022 A      9469 A      7005 A   
  14.00 keV   4.110E+01  7.167E+00    6482 A      9967 A      7386 A   
  15.00 keV   4.289E+01  7.088E+00    6943 A      1.05 um     7758 A   
  16.00 keV   4.466E+01  7.009E+00    7406 A      1.09 um     8121 A   
  17.00 keV   4.640E+01  6.930E+00    7870 A      1.14 um     8477 A   
  18.00 keV   4.812E+01  6.852E+00    8336 A      1.18 um     8825 A   
  20.00 keV   5.150E+01  6.698E+00    9272 A      1.27 um     9504 A   
  22.50 keV   5.562E+01  6.513E+00    1.04 um     1.37 um     1.03 um  
  25.00 keV   5.965E+01  6.337E+00    1.16 um     1.47 um     1.11 um  
  27.50 keV   6.359E+01  6.170E+00    1.28 um     1.56 um     1.18 um  
  30.00 keV   6.745E+01  6.012E+00    1.40 um     1.64 um     1.25 um  
  32.50 keV   7.124E+01  5.862E+00    1.51 um     1.72 um     1.32 um  
  35.00 keV   7.496E+01  5.720E+00    1.63 um     1.80 um     1.39 um  
  37.50 keV   7.863E+01  5.586E+00    1.75 um     1.88 um     1.45 um  
  40.00 keV   8.224E+01  5.458E+00    1.86 um     1.95 um     1.51 um  
  45.00 keV   8.930E+01  5.222E+00    2.09 um     2.08 um     1.63 um  
  50.00 keV   9.617E+01  5.009E+00    2.32 um     2.21 um     1.73 um  
  55.00 keV   1.029E+02  4.815E+00    2.54 um     2.32 um     1.84 um  
  60.00 keV   1.094E+02  4.638E+00    2.76 um     2.42 um     1.93 um  
  65.00 keV   1.158E+02  4.476E+00    2.98 um     2.52 um     2.02 um  
