# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.422E+02  4.031E+01    2382 A      1390 A      1152 A   
  11.00 keV   2.514E+02  3.865E+01    2610 A      1471 A      1230 A   
  12.00 keV   2.612E+02  3.714E+01    2838 A      1549 A      1305 A   
  13.00 keV   2.723E+02  3.576E+01    3062 A      1622 A      1377 A   
  14.00 keV   2.847E+02  3.450E+01    3284 A      1691 A      1447 A   
  15.00 keV   2.980E+02  3.334E+01    3501 A      1755 A      1513 A   
  16.00 keV   3.117E+02  3.226E+01    3713 A      1816 A      1576 A   
  17.00 keV   3.255E+02  3.127E+01    3920 A      1873 A      1637 A   
  18.00 keV   3.392E+02  3.035E+01    4122 A      1926 A      1695 A   
  20.00 keV   3.661E+02  2.868E+01    4514 A      2023 A      1802 A   
  22.50 keV   3.982E+02  2.687E+01    4982 A      2130 A      1924 A   
  25.00 keV   4.287E+02  2.531E+01    5428 A      2223 A      2034 A   
  27.50 keV   4.577E+02  2.395E+01    5856 A      2306 A      2134 A   
  30.00 keV   4.853E+02  2.274E+01    6267 A      2380 A      2225 A   
  32.50 keV   5.118E+02  2.167E+01    6663 A      2446 A      2309 A   
  35.00 keV   5.372E+02  2.071E+01    7046 A      2506 A      2387 A   
  37.50 keV   5.616E+02  1.985E+01    7418 A      2561 A      2459 A   
  40.00 keV   5.852E+02  1.906E+01    7778 A      2611 A      2527 A   
  45.00 keV   6.299E+02  1.768E+01    8470 A      2700 A      2649 A   
  50.00 keV   6.717E+02  1.651E+01    9129 A      2776 A      2758 A   
  55.00 keV   7.110E+02  1.551E+01    9758 A      2843 A      2856 A   
  60.00 keV   7.481E+02  1.464E+01    1.04 um     2902 A      2945 A   
  65.00 keV   7.831E+02  1.387E+01    1.09 um     2954 A      3026 A   
  70.00 keV   8.163E+02  1.318E+01    1.15 um     3001 A      3100 A   
  80.00 keV   8.775E+02  1.202E+01    1.26 um     3084 A      3233 A   
  90.00 keV   9.327E+02  1.107E+01    1.36 um     3153 A      3349 A   
 100.00 keV   9.827E+02  1.027E+01    1.46 um     3213 A      3452 A   
 110.00 keV   1.028E+03  9.595E+00    1.55 um     3265 A      3544 A   
 120.00 keV   1.069E+03  9.010E+00    1.64 um     3311 A      3628 A   
 130.00 keV   1.107E+03  8.499E+00    1.73 um     3353 A      3705 A   
 140.00 keV   1.141E+03  8.050E+00    1.81 um     3390 A      3776 A   
 150.00 keV   1.172E+03  7.650E+00    1.89 um     3424 A      3841 A   
 160.00 keV   1.201E+03  7.292E+00    1.97 um     3456 A      3903 A   
 170.00 keV   1.226E+03  6.969E+00    2.05 um     3485 A      3961 A   
 180.00 keV   1.250E+03  6.677E+00    2.13 um     3512 A      4016 A   
 200.00 keV   1.291E+03  6.166E+00    2.28 um     3564 A      4117 A   
 225.00 keV   1.332E+03  5.638E+00    2.47 um     3623 A      4232 A   
 250.00 keV   1.365E+03  5.200E+00    2.65 um     3676 A      4337 A   
 275.00 keV   1.390E+03  4.831E+00    2.83 um     3725 A      4433 A   
 300.00 keV   1.409E+03  4.515E+00    3.00 um     3769 A      4523 A   
 325.00 keV   1.422E+03  4.242E+00    3.17 um     3811 A      4607 A   
 350.00 keV   1.432E+03  4.003E+00    3.35 um     3850 A      4688 A   
 375.00 keV   1.438E+03  3.791E+00    3.52 um     3887 A      4765 A   
 400.00 keV   1.442E+03  3.602E+00    3.69 um     3922 A      4839 A   
 450.00 keV   1.442E+03  3.281E+00    4.03 um     4004 A      4980 A   
 500.00 keV   1.435E+03  3.016E+00    4.37 um     4082 A      5113 A   
 550.00 keV   1.424E+03  2.794E+00    4.72 um     4156 A      5242 A   
 600.00 keV   1.410E+03  2.605E+00    5.07 um     4229 A      5367 A   
 650.00 keV   1.393E+03  2.441E+00    5.42 um     4301 A      5489 A   
 700.00 keV   1.375E+03  2.299E+00    5.78 um     4372 A      5609 A   
 800.00 keV   1.336E+03  2.061E+00    6.51 um     4570 A      5846 A   
 900.00 keV   1.297E+03  1.872E+00    7.27 um     4768 A      6081 A   
