# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.699E+01  5.993E+00    4385 A      6189 A      4610 A   
  11.00 keV   5.989E+01  5.959E+00    4781 A      6575 A      4909 A   
  12.00 keV   6.268E+01  5.920E+00    5176 A      6947 A      5198 A   
  13.00 keV   6.537E+01  5.876E+00    5571 A      7307 A      5479 A   
  14.00 keV   6.796E+01  5.830E+00    5965 A      7656 A      5753 A   
  15.00 keV   7.048E+01  5.782E+00    6358 A      7994 A      6020 A   
  16.00 keV   7.293E+01  5.732E+00    6751 A      8323 A      6280 A   
  17.00 keV   7.531E+01  5.682E+00    7144 A      8643 A      6535 A   
  18.00 keV   7.764E+01  5.631E+00    7536 A      8955 A      6784 A   
  20.00 keV   8.213E+01  5.529E+00    8321 A      9550 A      7270 A   
  22.50 keV   8.749E+01  5.403E+00    9299 A      1.03 um     7850 A   
  25.00 keV   9.261E+01  5.280E+00    1.03 um     1.09 um     8405 A   
  27.50 keV   9.752E+01  5.161E+00    1.12 um     1.16 um     8936 A   
  30.00 keV   1.023E+02  5.047E+00    1.22 um     1.22 um     9447 A   
  32.50 keV   1.068E+02  4.937E+00    1.32 um     1.28 um     9939 A   
  35.00 keV   1.113E+02  4.832E+00    1.41 um     1.33 um     1.04 um  
  37.50 keV   1.156E+02  4.732E+00    1.51 um     1.38 um     1.09 um  
  40.00 keV   1.198E+02  4.636E+00    1.60 um     1.44 um     1.13 um  
  45.00 keV   1.279E+02  4.456E+00    1.79 um     1.53 um     1.22 um  
  50.00 keV   1.357E+02  4.292E+00    1.97 um     1.62 um     1.30 um  
  55.00 keV   1.432E+02  4.141E+00    2.16 um     1.70 um     1.37 um  
  60.00 keV   1.504E+02  4.001E+00    2.34 um     1.78 um     1.45 um  
  65.00 keV   1.573E+02  3.873E+00    2.52 um     1.85 um     1.52 um  
  70.00 keV   1.640E+02  3.753E+00    2.69 um     1.92 um     1.58 um  
