#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.218E+01  6.764E+00    4396 A      6376 A      4741 A   
  11.00 keV   5.499E+01  6.711E+00    4802 A      6783 A      5055 A   
  12.00 keV   5.771E+01  6.654E+00    5208 A      7176 A      5359 A   
  13.00 keV   6.033E+01  6.593E+00    5614 A      7555 A      5655 A   
  14.00 keV   6.287E+01  6.530E+00    6020 A      7923 A      5942 A   
  15.00 keV   6.534E+01  6.465E+00    6426 A      8279 A      6222 A   
  16.00 keV   6.775E+01  6.400E+00    6831 A      8624 A      6496 A   
  17.00 keV   7.009E+01  6.335E+00    7237 A      8960 A      6763 A   
  18.00 keV   7.239E+01  6.270E+00    7642 A      9287 A      7024 A   
  20.00 keV   7.682E+01  6.141E+00    8454 A      9911 A      7532 A   
  22.50 keV   8.212E+01  5.984E+00    9467 A      1.07 um     8139 A   
  25.00 keV   8.719E+01  5.833E+00    1.05 um     1.14 um     8718 A   
  27.50 keV   9.207E+01  5.688E+00    1.15 um     1.20 um     9272 A   
  30.00 keV   9.676E+01  5.551E+00    1.25 um     1.26 um     9804 A   
  32.50 keV   1.013E+02  5.420E+00    1.35 um     1.33 um     1.03 um  
  35.00 keV   1.057E+02  5.295E+00    1.45 um     1.38 um     1.08 um  
  37.50 keV   1.100E+02  5.177E+00    1.55 um     1.44 um     1.13 um  
  40.00 keV   1.141E+02  5.064E+00    1.64 um     1.49 um     1.18 um  
  45.00 keV   1.221E+02  4.855E+00    1.84 um     1.59 um     1.26 um  
  50.00 keV   1.297E+02  4.664E+00    2.03 um     1.68 um     1.35 um  
  55.00 keV   1.370E+02  4.491E+00    2.22 um     1.77 um     1.43 um  
  60.00 keV   1.440E+02  4.331E+00    2.41 um     1.85 um     1.50 um  
  65.00 keV   1.508E+02  4.185E+00    2.60 um     1.92 um     1.57 um  
  70.00 keV   1.572E+02  4.049E+00    2.78 um     1.99 um     1.64 um  
  80.00 keV   1.695E+02  3.807E+00    3.14 um     2.12 um     1.77 um  
  90.00 keV   1.811E+02  3.597E+00    3.49 um     2.24 um     1.89 um  
 100.00 keV   1.919E+02  3.413E+00    3.83 um     2.34 um     2.00 um  
 110.00 keV   2.022E+02  3.249E+00    4.17 um     2.44 um     2.10 um  
 120.00 keV   2.119E+02  3.103E+00    4.50 um     2.53 um     2.20 um  
 130.00 keV   2.210E+02  2.971E+00    4.82 um     2.61 um     2.29 um  
 140.00 keV   2.298E+02  2.852E+00    5.14 um     2.69 um     2.37 um  
 150.00 keV   2.381E+02  2.744E+00    5.45 um     2.76 um     2.46 um  
 160.00 keV   2.459E+02  2.644E+00    5.76 um     2.82 um     2.53 um  
 170.00 keV   2.535E+02  2.553E+00    6.06 um     2.88 um     2.61 um  
 180.00 keV   2.607E+02  2.469E+00    6.36 um     2.94 um     2.68 um  
 200.00 keV   2.741E+02  2.319E+00    6.94 um     3.05 um     2.82 um  
 225.00 keV   2.892E+02  2.158E+00    7.64 um     3.17 um     2.97 um  
 250.00 keV   3.027E+02  2.021E+00    8.33 um     3.28 um     3.11 um  
 275.00 keV   3.148E+02  1.902E+00    9.00 um     3.38 um     3.25 um  
 300.00 keV   3.257E+02  1.799E+00    9.66 um     3.47 um     3.37 um  
 325.00 keV   3.354E+02  1.708E+00   10.30 um     3.55 um     3.49 um  
 350.00 keV   3.441E+02  1.626E+00   10.94 um     3.62 um     3.60 um  
 375.00 keV   3.519E+02  1.553E+00   11.56 um     3.69 um     3.70 um  
 400.00 keV   3.589E+02  1.487E+00   12.18 um     3.76 um     3.80 um  
 450.00 keV   3.706E+02  1.373E+00   13.39 um     3.88 um     3.99 um  
 500.00 keV   3.798E+02  1.277E+00   14.58 um     3.99 um     4.17 um  
 550.00 keV   3.870E+02  1.194E+00   15.76 um     4.10 um     4.33 um  
 600.00 keV   3.924E+02  1.123E+00   16.94 um     4.19 um     4.49 um  
 650.00 keV   3.964E+02  1.061E+00   18.10 um     4.28 um     4.64 um  
 700.00 keV   3.992E+02  1.006E+00   19.26 um     4.36 um     4.79 um  
 800.00 keV   4.019E+02  9.134E-01   21.58 um     4.52 um     5.07 um  
 900.00 keV   4.019E+02  8.379E-01   23.92 um     4.67 um     5.33 um  
   1.00 MeV   3.998E+02  7.750E-01   26.27 um     4.81 um     5.59 um  
   1.10 MeV   3.964E+02  7.218E-01   28.65 um     4.95 um     5.84 um  
   1.20 MeV   3.921E+02  6.761E-01   31.07 um     5.08 um     6.09 um  
   1.30 MeV   3.871E+02  6.364E-01   33.52 um     5.20 um     6.33 um  
   1.40 MeV   3.818E+02  6.015E-01   36.01 um     5.33 um     6.57 um  
   1.50 MeV   3.762E+02  5.706E-01   38.54 um     5.45 um     6.81 um  
   1.60 MeV   3.704E+02  5.430E-01   41.12 um     5.57 um     7.05 um  
   1.70 MeV   3.646E+02  5.182E-01   43.74 um     5.69 um     7.29 um  
   1.80 MeV   3.589E+02  4.958E-01   46.41 um     5.81 um     7.53 um  
   2.00 MeV   3.476E+02  4.567E-01   51.89 um     6.07 um     8.02 um  
   2.25 MeV   3.340E+02  4.165E-01   59.00 um     6.41 um     8.63 um  
   2.50 MeV   3.214E+02  3.833E-01   66.42 um     6.75 um     9.26 um  
   2.75 MeV   3.096E+02  3.554E-01   74.14 um     7.10 um     9.90 um  
   3.00 MeV   2.987E+02  3.316E-01   82.15 um     7.46 um    10.56 um  
   3.25 MeV   2.887E+02  3.110E-01   90.47 um     7.81 um    11.23 um  
   3.50 MeV   2.793E+02  2.930E-01   99.07 um     8.18 um    11.92 um  
   3.75 MeV   2.707E+02  2.772E-01  107.97 um     8.55 um    12.63 um  
   4.00 MeV   2.626E+02  2.631E-01  117.15 um     8.93 um    13.35 um  
   4.50 MeV   2.482E+02  2.391E-01  136.34 um     9.89 um    14.85 um  
   5.00 MeV   2.356E+02  2.194E-01  156.64 um    10.87 um    16.41 um  
   5.50 MeV   2.245E+02  2.030E-01  177.99 um    11.86 um    18.03 um  
   6.00 MeV   2.146E+02  1.890E-01  200.39 um    12.87 um    19.72 um  
   6.50 MeV   2.058E+02  1.769E-01  223.79 um    13.90 um    21.47 um  
   7.00 MeV   1.978E+02  1.664E-01  248.18 um    14.95 um    23.28 um  
   8.00 MeV   1.840E+02  1.489E-01  299.81 um    17.83 um    27.06 um  
   9.00 MeV   1.740E+02  1.350E-01  354.89 um    20.68 um    31.04 um  
  10.00 MeV   1.643E+02  1.236E-01  413.21 um    23.51 um    35.19 um  
