# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.779E+01  1.418E+01    3431 A      3653 A      2797 A   
  11.00 keV   1.030E+02  1.390E+01    3758 A      3885 A      2986 A   
  12.00 keV   1.080E+02  1.363E+01    4084 A      4107 A      3168 A   
  13.00 keV   1.129E+02  1.336E+01    4409 A      4320 A      3345 A   
  14.00 keV   1.177E+02  1.311E+01    4733 A      4525 A      3516 A   
  15.00 keV   1.225E+02  1.286E+01    5055 A      4721 A      3681 A   
  16.00 keV   1.271E+02  1.262E+01    5376 A      4911 A      3842 A   
  17.00 keV   1.317E+02  1.240E+01    5695 A      5093 A      3998 A   
  18.00 keV   1.361E+02  1.218E+01    6012 A      5269 A      4150 A   
  20.00 keV   1.449E+02  1.176E+01    6642 A      5600 A      4442 A   
  22.50 keV   1.555E+02  1.129E+01    7419 A      5985 A      4787 A   
  25.00 keV   1.658E+02  1.085E+01    8184 A      6341 A      5111 A   
  27.50 keV   1.757E+02  1.046E+01    8936 A      6671 A      5416 A   
  30.00 keV   1.854E+02  1.009E+01    9677 A      6978 A      5704 A   
  32.50 keV   1.948E+02  9.755E+00    1.04 um     7265 A      5978 A   
  35.00 keV   2.039E+02  9.445E+00    1.11 um     7534 A      6238 A   
  37.50 keV   2.127E+02  9.157E+00    1.18 um     7786 A      6486 A   
  40.00 keV   2.214E+02  8.889E+00    1.25 um     8024 A      6723 A   
  45.00 keV   2.378E+02  8.405E+00    1.39 um     8459 A      7167 A   
  50.00 keV   2.533E+02  7.979E+00    1.52 um     8851 A      7577 A   
  55.00 keV   2.679E+02  7.601E+00    1.65 um     9206 A      7958 A   
  60.00 keV   2.815E+02  7.263E+00    1.77 um     9531 A      8314 A   
  65.00 keV   2.942E+02  6.958E+00    1.90 um     9830 A      8648 A   
  70.00 keV   3.060E+02  6.682E+00    2.02 um     1.01 um     8963 A   
  80.00 keV   3.271E+02  6.200E+00    2.25 um     1.06 um     9548 A   
  90.00 keV   3.453E+02  5.792E+00    2.48 um     1.10 um     1.01 um  
 100.00 keV   3.611E+02  5.442E+00    2.70 um     1.14 um     1.06 um  
 110.00 keV   3.750E+02  5.138E+00    2.92 um     1.18 um     1.10 um  
 120.00 keV   3.877E+02  4.871E+00    3.14 um     1.21 um     1.15 um  
 130.00 keV   3.993E+02  4.634E+00    3.35 um     1.24 um     1.19 um  
 140.00 keV   4.103E+02  4.422E+00    3.55 um     1.27 um     1.23 um  
 150.00 keV   4.207E+02  4.231E+00    3.76 um     1.30 um     1.26 um  
 160.00 keV   4.308E+02  4.058E+00    3.96 um     1.32 um     1.30 um  
 170.00 keV   4.405E+02  3.900E+00    4.16 um     1.35 um     1.33 um  
 180.00 keV   4.499E+02  3.756E+00    4.35 um     1.37 um     1.36 um  
 200.00 keV   4.680E+02  3.502E+00    4.73 um     1.41 um     1.42 um  
 225.00 keV   4.890E+02  3.233E+00    5.20 um     1.45 um     1.49 um  
 250.00 keV   5.083E+02  3.008E+00    5.65 um     1.49 um     1.56 um  
 275.00 keV   5.258E+02  2.815E+00    6.09 um     1.53 um     1.62 um  
 300.00 keV   5.416E+02  2.648E+00    6.52 um     1.56 um     1.67 um  
 325.00 keV   5.557E+02  2.502E+00    6.94 um     1.59 um     1.73 um  
 350.00 keV   5.682E+02  2.373E+00    7.35 um     1.62 um     1.78 um  
