# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.238E+01  9.907E+00    3877 A      4801 A      3620 A   
  11.00 keV   7.624E+01  9.770E+00    4243 A      5108 A      3863 A   
  12.00 keV   8.002E+01  9.631E+00    4608 A      5404 A      4098 A   
  13.00 keV   8.371E+01  9.493E+00    4972 A      5688 A      4326 A   
  14.00 keV   8.735E+01  9.356E+00    5335 A      5962 A      4547 A   
  15.00 keV   9.091E+01  9.221E+00    5697 A      6226 A      4761 A   
  16.00 keV   9.443E+01  9.088E+00    6058 A      6481 A      4970 A   
  17.00 keV   9.788E+01  8.958E+00    6418 A      6728 A      5173 A   
  18.00 keV   1.013E+02  8.832E+00    6777 A      6966 A      5371 A   
  20.00 keV   1.080E+02  8.588E+00    7491 A      7418 A      5753 A   
  22.50 keV   1.161E+02  8.302E+00    8374 A      7946 A      6204 A   
  25.00 keV   1.240E+02  8.035E+00    9247 A      8438 A      6630 A   
  27.50 keV   1.317E+02  7.786E+00    1.01 um     8897 A      7032 A   
  30.00 keV   1.393E+02  7.554E+00    1.10 um     9327 A      7414 A   
  32.50 keV   1.466E+02  7.337E+00    1.18 um     9731 A      7777 A   
  35.00 keV   1.538E+02  7.134E+00    1.26 um     1.01 um     8124 A   
  37.50 keV   1.609E+02  6.944E+00    1.34 um     1.05 um     8455 A   
  40.00 keV   1.678E+02  6.765E+00    1.43 um     1.08 um     8771 A   
  45.00 keV   1.812E+02  6.437E+00    1.58 um     1.14 um     9368 A   
  50.00 keV   1.941E+02  6.145E+00    1.74 um     1.20 um     9919 A   
  55.00 keV   2.065E+02  5.883E+00    1.89 um     1.25 um     1.04 um  
  60.00 keV   2.185E+02  5.645E+00    2.03 um     1.30 um     1.09 um  
  65.00 keV   2.301E+02  5.430E+00    2.18 um     1.34 um     1.14 um  
  70.00 keV   2.412E+02  5.232E+00    2.32 um     1.38 um     1.18 um  
  80.00 keV   2.622E+02  4.884E+00    2.59 um     1.45 um     1.26 um  
  90.00 keV   2.818E+02  4.587E+00    2.85 um     1.51 um     1.33 um  
 100.00 keV   3.000E+02  4.329E+00    3.10 um     1.57 um     1.39 um  
 110.00 keV   3.170E+02  4.102E+00    3.35 um     1.62 um     1.45 um  
 120.00 keV   3.328E+02  3.902E+00    3.58 um     1.66 um     1.50 um  
