# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.243E+01  6.733E+00    4217 A      5745 A      4292 A   
  11.00 keV   6.587E+01  6.684E+00    4597 A      6099 A      4568 A   
  12.00 keV   6.918E+01  6.630E+00    4976 A      6440 A      4834 A   
  13.00 keV   7.237E+01  6.572E+00    5354 A      6768 A      5092 A   
  14.00 keV   7.546E+01  6.512E+00    5730 A      7084 A      5342 A   
  15.00 keV   7.845E+01  6.450E+00    6106 A      7390 A      5586 A   
  16.00 keV   8.135E+01  6.387E+00    6481 A      7686 A      5822 A   
  17.00 keV   8.417E+01  6.324E+00    6855 A      7974 A      6053 A   
  18.00 keV   8.692E+01  6.261E+00    7228 A      8252 A      6278 A   
  20.00 keV   9.222E+01  6.136E+00    7973 A      8784 A      6716 A   
  22.50 keV   9.853E+01  5.983E+00    8900 A      9411 A      7237 A   
  25.00 keV   1.045E+02  5.835E+00    9822 A      1.00 um     7733 A   
  27.50 keV   1.103E+02  5.694E+00    1.07 um     1.06 um     8206 A   
  30.00 keV   1.157E+02  5.559E+00    1.16 um     1.11 um     8660 A   
  32.50 keV   1.210E+02  5.430E+00    1.25 um     1.16 um     9096 A   
  35.00 keV   1.261E+02  5.308E+00    1.34 um     1.21 um     9517 A   
  37.50 keV   1.310E+02  5.191E+00    1.43 um     1.25 um     9923 A   
  40.00 keV   1.358E+02  5.080E+00    1.52 um     1.30 um     1.03 um  
  45.00 keV   1.449E+02  4.873E+00    1.70 um     1.38 um     1.11 um  
  50.00 keV   1.536E+02  4.684E+00    1.87 um     1.46 um     1.18 um  
  55.00 keV   1.618E+02  4.512E+00    2.04 um     1.53 um     1.24 um  
  60.00 keV   1.696E+02  4.354E+00    2.21 um     1.60 um     1.31 um  
  65.00 keV   1.771E+02  4.208E+00    2.38 um     1.66 um     1.37 um  
  70.00 keV   1.843E+02  4.073E+00    2.54 um     1.72 um     1.43 um  
  80.00 keV   1.979E+02  3.832E+00    2.86 um     1.82 um     1.54 um  
  90.00 keV   2.105E+02  3.623E+00    3.18 um     1.92 um     1.64 um  
 100.00 keV   2.223E+02  3.438E+00    3.49 um     2.01 um     1.73 um  
 110.00 keV   2.334E+02  3.275E+00    3.79 um     2.09 um     1.82 um  
 120.00 keV   2.439E+02  3.129E+00    4.08 um     2.17 um     1.90 um  
 130.00 keV   2.537E+02  2.997E+00    4.37 um     2.23 um     1.98 um  
 140.00 keV   2.630E+02  2.878E+00    4.66 um     2.30 um     2.05 um  
 150.00 keV   2.719E+02  2.769E+00    4.94 um     2.36 um     2.12 um  
 160.00 keV   2.803E+02  2.669E+00    5.21 um     2.41 um     2.19 um  
 170.00 keV   2.882E+02  2.578E+00    5.49 um     2.47 um     2.25 um  
 180.00 keV   2.958E+02  2.493E+00    5.75 um     2.52 um     2.32 um  
 200.00 keV   3.099E+02  2.342E+00    6.28 um     2.61 um     2.43 um  
 225.00 keV   3.256E+02  2.181E+00    6.92 um     2.71 um     2.57 um  
 250.00 keV   3.396E+02  2.043E+00    7.54 um     2.80 um     2.69 um  
 275.00 keV   3.521E+02  1.924E+00    8.14 um     2.89 um     2.81 um  
 300.00 keV   3.631E+02  1.820E+00    8.74 um     2.96 um     2.91 um  
 325.00 keV   3.729E+02  1.728E+00    9.33 um     3.04 um     3.02 um  
 350.00 keV   3.816E+02  1.646E+00    9.90 um     3.10 um     3.11 um  
 375.00 keV   3.893E+02  1.572E+00   10.47 um     3.16 um     3.21 um  
 400.00 keV   3.961E+02  1.505E+00   11.04 um     3.22 um     3.30 um  
 450.00 keV   4.073E+02  1.390E+00   12.15 um     3.33 um     3.46 um  
 500.00 keV   4.158E+02  1.293E+00   13.25 um     3.43 um     3.62 um  
