# From SRIM
#  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.383E+01  1.056E+01    3817 A      4722 A      3561 A   
  11.00 keV   7.834E+01  1.040E+01    4174 A      5020 A      3797 A   
  12.00 keV   8.270E+01  1.025E+01    4530 A      5305 A      4024 A   
  13.00 keV   8.694E+01  1.010E+01    4884 A      5577 A      4242 A   
  14.00 keV   9.106E+01  9.945E+00    5236 A      5838 A      4454 A   
  15.00 keV   9.509E+01  9.796E+00    5587 A      6089 A      4658 A   
  16.00 keV   9.902E+01  9.650E+00    5937 A      6331 A      4856 A   
  17.00 keV   1.029E+02  9.508E+00    6285 A      6563 A      5048 A   
  18.00 keV   1.066E+02  9.370E+00    6632 A      6788 A      5235 A   
  20.00 keV   1.140E+02  9.104E+00    7321 A      7211 A      5595 A   
  22.50 keV   1.228E+02  8.793E+00    8174 A      7705 A      6020 A   
  25.00 keV   1.312E+02  8.504E+00    9017 A      8163 A      6419 A   
  27.50 keV   1.394E+02  8.235E+00    9849 A      8591 A      6796 A   
  30.00 keV   1.473E+02  7.984E+00    1.07 um     8991 A      7155 A   
  32.50 keV   1.549E+02  7.750E+00    1.15 um     9367 A      7495 A   
  35.00 keV   1.624E+02  7.532E+00    1.23 um     9720 A      7821 A   
  37.50 keV   1.696E+02  7.327E+00    1.31 um     1.01 um     8131 A   
  40.00 keV   1.767E+02  7.135E+00    1.39 um     1.04 um     8429 A   
  45.00 keV   1.904E+02  6.785E+00    1.54 um     1.10 um     8992 A   
  50.00 keV   2.034E+02  6.473E+00    1.69 um     1.15 um     9512 A   
  55.00 keV   2.160E+02  6.192E+00    1.83 um     1.20 um     9997 A   
  60.00 keV   2.280E+02  5.939E+00    1.98 um     1.24 um     1.05 um  
  65.00 keV   2.397E+02  5.710E+00    2.12 um     1.28 um     1.09 um  
  70.00 keV   2.509E+02  5.500E+00    2.25 um     1.32 um     1.13 um  
  80.00 keV   2.722E+02  5.130E+00    2.52 um     1.38 um     1.20 um  
  90.00 keV   2.922E+02  4.815E+00    2.77 um     1.44 um     1.27 um  
 100.00 keV   3.110E+02  4.541E+00    3.02 um     1.50 um     1.33 um  
 110.00 keV   3.287E+02  4.302E+00    3.25 um     1.54 um     1.39 um  
 120.00 keV   3.453E+02  4.090E+00    3.48 um     1.58 um     1.44 um  
 130.00 keV   3.610E+02  3.901E+00    3.71 um     1.62 um     1.49 um  
 140.00 keV   3.758E+02  3.731E+00    3.92 um     1.66 um     1.53 um  
 150.00 keV   3.896E+02  3.578E+00    4.14 um     1.69 um     1.57 um  
 160.00 keV   4.027E+02  3.438E+00    4.35 um     1.72 um     1.61 um  
 170.00 keV   4.150E+02  3.310E+00    4.55 um     1.75 um     1.65 um  
 180.00 keV   4.266E+02  3.193E+00    4.75 um     1.77 um     1.69 um  
 200.00 keV   4.478E+02  2.986E+00    5.14 um     1.82 um     1.76 um  
 225.00 keV   4.708E+02  2.765E+00    5.61 um     1.87 um     1.83 um  
 250.00 keV   4.906E+02  2.579E+00    6.07 um     1.92 um     1.90 um  
 275.00 keV   5.074E+02  2.420E+00    6.52 um     1.96 um     1.97 um  
 300.00 keV   5.218E+02  2.281E+00    6.95 um     2.00 um     2.03 um  
 325.00 keV   5.340E+02  2.159E+00    7.38 um     2.03 um     2.08 um  
 350.00 keV   5.444E+02  2.051E+00    7.81 um     2.07 um     2.14 um  
 375.00 keV   5.532E+02  1.955E+00    8.22 um     2.10 um     2.19 um  
 400.00 keV   5.607E+02  1.868E+00    8.64 um     2.12 um     2.24 um  
 450.00 keV   5.721E+02  1.718E+00    9.46 um     2.18 um     2.33 um  
 500.00 keV   5.799E+02  1.593E+00   10.27 um     2.23 um     2.42 um  
 550.00 keV   5.850E+02  1.486E+00   11.08 um     2.27 um     2.50 um  
 600.00 keV   5.878E+02  1.395E+00   11.89 um     2.31 um     2.58 um  
