# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.757E+01  7.275E+00    4410 A      6588 A      4889 A   
  11.00 keV   5.003E+01  7.211E+00    4827 A      7022 A      5222 A   
  12.00 keV   5.239E+01  7.143E+00    5244 A      7442 A      5546 A   
  13.00 keV   5.466E+01  7.071E+00    5663 A      7849 A      5861 A   
  14.00 keV   5.685E+01  6.998E+00    6083 A      8244 A      6170 A   
  15.00 keV   5.896E+01  6.923E+00    6504 A      8629 A      6471 A   
  16.00 keV   6.101E+01  6.849E+00    6926 A      9004 A      6766 A   
  17.00 keV   6.300E+01  6.774E+00    7349 A      9370 A      7055 A   
  18.00 keV   6.494E+01  6.700E+00    7772 A      9727 A      7338 A   
  20.00 keV   6.866E+01  6.554E+00    8624 A      1.04 um     7894 A   
  22.50 keV   7.308E+01  6.378E+00    9691 A      1.12 um     8561 A   
  25.00 keV   7.727E+01  6.209E+00    1.08 um     1.20 um     9201 A   
  27.50 keV   8.127E+01  6.049E+00    1.18 um     1.28 um     9818 A   
  30.00 keV   8.510E+01  5.897E+00    1.29 um     1.35 um     1.04 um  
  32.50 keV   8.878E+01  5.752E+00    1.40 um     1.42 um     1.10 um  
  35.00 keV   9.233E+01  5.616E+00    1.50 um     1.48 um     1.16 um  
  37.50 keV   9.575E+01  5.486E+00    1.61 um     1.55 um     1.21 um  
  40.00 keV   9.907E+01  5.363E+00    1.72 um     1.61 um     1.26 um  
  45.00 keV   1.054E+02  5.134E+00    1.93 um     1.72 um     1.36 um  
  50.00 keV   1.114E+02  4.928E+00    2.14 um     1.83 um     1.46 um  
  55.00 keV   1.172E+02  4.739E+00    2.35 um     1.93 um     1.55 um  
  60.00 keV   1.226E+02  4.567E+00    2.56 um     2.03 um     1.64 um  
  65.00 keV   1.279E+02  4.409E+00    2.77 um     2.12 um     1.73 um  
  70.00 keV   1.329E+02  4.263E+00    2.98 um     2.20 um     1.81 um  
  80.00 keV   1.425E+02  4.003E+00    3.38 um     2.36 um     1.97 um  
  90.00 keV   1.515E+02  3.778E+00    3.78 um     2.51 um     2.11 um  
 100.00 keV   1.599E+02  3.581E+00    4.18 um     2.64 um     2.25 um  
 110.00 keV   1.679E+02  3.406E+00    4.57 um     2.76 um     2.37 um  
 120.00 keV   1.755E+02  3.251E+00    4.95 um     2.87 um     2.49 um  
 130.00 keV   1.828E+02  3.111E+00    5.32 um     2.98 um     2.61 um  
 140.00 keV   1.897E+02  2.985E+00    5.69 um     3.08 um     2.72 um  
 150.00 keV   1.964E+02  2.870E+00    6.06 um     3.17 um     2.82 um  
 160.00 keV   2.027E+02  2.764E+00    6.41 um     3.25 um     2.92 um  
 170.00 keV   2.088E+02  2.668E+00    6.77 um     3.34 um     3.01 um  
 180.00 keV   2.147E+02  2.579E+00    7.12 um     3.41 um     3.10 um  
 200.00 keV   2.259E+02  2.420E+00    7.80 um     3.55 um     3.28 um  
 225.00 keV   2.387E+02  2.251E+00    8.63 um     3.71 um     3.48 um  
 250.00 keV   2.505E+02  2.106E+00    9.44 um     3.86 um     3.66 um  
 275.00 keV   2.613E+02  1.982E+00   10.23 um     3.98 um     3.83 um  
 300.00 keV   2.713E+02  1.873E+00   11.00 um     4.10 um     3.99 um  
 325.00 keV   2.805E+02  1.777E+00   11.76 um     4.21 um     4.14 um  
 350.00 keV   2.890E+02  1.692E+00   12.50 um     4.31 um     4.28 um  
 375.00 keV   2.968E+02  1.615E+00   13.23 um     4.40 um     4.41 um  
 400.00 keV   3.040E+02  1.546E+00   13.94 um     4.49 um     4.54 um  
