# From SRIM
#   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#  Energy      Elec.      Nuclear     Range     Straggling   Straggling
#-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.590E+01  6.073E+00    4434 A      6302 A      4693 A   
  11.00 keV   5.912E+01  6.034E+00    4833 A      6691 A      4993 A   
  12.00 keV   6.223E+01  5.990E+00    5230 A      7065 A      5284 A   
  13.00 keV   6.524E+01  5.943E+00    5626 A      7423 A      5564 A   
  14.00 keV   6.815E+01  5.893E+00    6021 A      7769 A      5836 A   
  15.00 keV   7.098E+01  5.841E+00    6414 A      8103 A      6099 A   
  16.00 keV   7.373E+01  5.788E+00    6807 A      8426 A      6356 A   
  17.00 keV   7.642E+01  5.735E+00    7198 A      8739 A      6605 A   
  18.00 keV   7.904E+01  5.681E+00    7589 A      9043 A      6849 A   
  20.00 keV   8.412E+01  5.573E+00    8369 A      9620 A      7321 A   
  22.50 keV   9.018E+01  5.441E+00    9338 A      1.03 um     7882 A   
  25.00 keV   9.597E+01  5.313E+00    1.03 um     1.09 um     8415 A   
  27.50 keV   1.015E+02  5.190E+00    1.13 um     1.15 um     8923 A   
  30.00 keV   1.069E+02  5.071E+00    1.22 um     1.21 um     9408 A   
  32.50 keV   1.120E+02  4.958E+00    1.31 um     1.27 um     9875 A   
  35.00 keV   1.170E+02  4.850E+00    1.41 um     1.32 um     1.03 um  
  37.50 keV   1.219E+02  4.747E+00    1.50 um     1.37 um     1.08 um  
  40.00 keV   1.266E+02  4.648E+00    1.59 um     1.42 um     1.12 um  
  45.00 keV   1.357E+02  4.464E+00    1.78 um     1.50 um     1.20 um  
  50.00 keV   1.444E+02  4.296E+00    1.96 um     1.59 um     1.27 um  
  55.00 keV   1.527E+02  4.142E+00    2.13 um     1.66 um     1.34 um  
  60.00 keV   1.606E+02  4.000E+00    2.31 um     1.73 um     1.41 um  
  65.00 keV   1.683E+02  3.869E+00    2.48 um     1.80 um     1.47 um  
  70.00 keV   1.757E+02  3.748E+00    2.65 um     1.86 um     1.53 um  
  80.00 keV   1.897E+02  3.530E+00    2.98 um     1.97 um     1.65 um  
  90.00 keV   2.030E+02  3.341E+00    3.30 um     2.07 um     1.75 um  
 100.00 keV   2.155E+02  3.173E+00    3.62 um     2.17 um     1.85 um  
 110.00 keV   2.274E+02  3.025E+00    3.92 um     2.25 um     1.94 um  
 120.00 keV   2.387E+02  2.892E+00    4.22 um     2.33 um     2.02 um  
 130.00 keV   2.495E+02  2.772E+00    4.51 um     2.40 um     2.10 um  
 140.00 keV   2.598E+02  2.663E+00    4.80 um     2.46 um     2.17 um  
 150.00 keV   2.697E+02  2.564E+00    5.08 um     2.52 um     2.25 um  
 160.00 keV   2.792E+02  2.473E+00    5.36 um     2.58 um     2.31 um  
 170.00 keV   2.882E+02  2.389E+00    5.63 um     2.63 um     2.38 um  
